분류,항목,기간,수치,단위
손익계산서(연결),매출액,2020-12-31,5.08363E+12,원
손익계산서(연결),매출원가,2020-12-31,4.04179E+12,원
손익계산서(연결),매출총이익,2020-12-31,1.04184E+12,원
손익계산서(연결),판매비와관리비,2020-12-31,9.07999E+11,원
손익계산서(연결),영업이익,2020-12-31,1.33846E+11,원
손익계산서(연결),지분법손익,2020-12-31,11213434522,원
손익계산서(연결),순금융손익,2020-12-31,3.1462E+11,원
손익계산서(연결),금융수익,2020-12-31,7.59E+11,원
손익계산서(연결),금융원가,2020-12-31,4.4438E+11,원
손익계산서(연결),기타영업외손익,2020-12-31,2.34442E+11,원
손익계산서(연결),기타이익,2020-12-31,3.60914E+11,원
손익계산서(연결),기타손실,2020-12-31,1.26472E+11,원
손익계산서(연결),법인세비용차감전이익,2020-12-31,6.94121E+11,원
손익계산서(연결),법인세비용(수익),2020-12-31,1.80043E+11,원
손익계산서(연결),당기순손익,2020-12-31,5.60873E+11,원
손익계산서(연결),계속영업당기순손익,2020-12-31,5.14079E+11,원
손익계산서(연결),중단영업당기순손익,2020-12-31,46794252877,원
손익계산서(연결),기타포괄손익,2020-12-31,-1.51766E+11,원
손익계산서(연결),후속기간에 당기손익으로 재분류되는 항목,2020-12-31,-95425240624,원
손익계산서(연결),지분법자본변동,2020-12-31,31581097860,원
손익계산서(연결),현금흐름위험회피,2020-12-31,-1.15631E+11,원
손익계산서(연결),해외사업환산손익,2020-12-31,-11375305517,원
손익계산서(연결),후속기간에 당기손익으로 재분류되지 않는 항목,2020-12-31,-56341071866,원
손익계산서(연결),확정급여제도의 재측정요소,2020-12-31,-22539842312,원
손익계산서(연결),지분법이익잉여금변동,2020-12-31,-991065677,원
손익계산서(연결),기타포괄손익-공정가치측정금융자산평가이익(손실),2020-12-31,-32810163877,원
손익계산서(연결),총포괄손익,2020-12-31,4.09107E+11,원
손익계산서(연결),지배기업소유주지분,2020-12-31,5.96399E+11,원
손익계산서(연결),비지배지분,2020-12-31,-35526321970,원
손익계산서(연결),지배기업소유주지분,2020-12-31,5.19173E+11,원
손익계산서(연결),비지배지분,2020-12-31,-1.10066E+11,원
손익계산서(연결),계속영업기본주당이익(손실),2020-12-31,67221,원
손익계산서(연결),중단영업기본주당이익(손실),2020-12-31,5724,원
