분류,항목,기간,수치,단위
재무상태표(연결),유동자산,2020-12-31,3.37216E+12,원
재무상태표(연결),현금및현금성자산,2020-12-31,4.92512E+11,원
재무상태표(연결),단기금융상품,2020-12-31,9.04435E+11,원
재무상태표(연결),매출채권,2020-12-31,9.16899E+11,원
재무상태표(연결),기타채권,2020-12-31,95276316477,원
재무상태표(연결),선급금,2020-12-31,13844348432,원
재무상태표(연결),선급비용,2020-12-31,29499738038,원
재무상태표(연결),기타유동금융자산,2020-12-31,7278804728,원
재무상태표(연결),미수법인세환급액,2020-12-31,897424956,원
재무상태표(연결),재고자산,2020-12-31,9.11513E+11,원
재무상태표(연결),비유동자산,2020-12-31,8.97542E+12,원
재무상태표(연결),장기매출채권,2020-12-31,749131998,원
재무상태표(연결),기타채권,2020-12-31,78638296263,원
재무상태표(연결),기타비유동금융자산,2020-12-31,3.03418E+12,원
재무상태표(연결),지분법적용투자지분,2020-12-31,1.83103E+11,원
재무상태표(연결),사용권자산,2020-12-31,1.38321E+11,원
재무상태표(연결),유형자산,2020-12-31,3.68856E+12,원
재무상태표(연결),무형자산,2020-12-31,4.4799E+11,원
재무상태표(연결),영업권,2020-12-31,7.39728E+11,원
재무상태표(연결),투자부동산,2020-12-31,6.13179E+11,원
재무상태표(연결),이연법인세자산,2020-12-31,34876063175,원
재무상태표(연결),순확정급여자산,2020-12-31,16089495805,원
재무상태표(연결),자산총계,2020-12-31,1.23476E+13,원
재무상태표(연결),유동부채,2020-12-31,3.01406E+12,원
재무상태표(연결),매입채무,2020-12-31,5.57473E+11,원
재무상태표(연결),기타부채,2020-12-31,6.29979E+11,원
재무상태표(연결),단기차입금,2020-12-31,9.72445E+11,원
재무상태표(연결),유동성장기차입금,2020-12-31,1.09174E+11,원
재무상태표(연결),유동성사채,2020-12-31,5.79748E+11,원
재무상태표(연결),유동충당부채,2020-12-31,13833054041,원
재무상태표(연결),기타유동금융부채,2020-12-31,255925566,원
재무상태표(연결),미지급법인세,2020-12-31,1.51151E+11,원
재무상태표(연결),비유동부채,2020-12-31,4.08752E+12,원
재무상태표(연결),장기차입금,2020-12-31,1.97622E+12,원
재무상태표(연결),비유동사채,2020-12-31,7.18669E+11,원
재무상태표(연결),기타부채,2020-12-31,1.85528E+11,원
재무상태표(연결),기타비유동금융부채,2020-12-31,1.9316E+11,원
재무상태표(연결),기타장기종업원급여부채,2020-12-31,4.47701E+11,원
재무상태표(연결),비유동충당부채,2020-12-31,15212056653,원
재무상태표(연결),이연법인세부채,2020-12-31,5.51026E+11,원
재무상태표(연결),부채총계,2020-12-31,7.10158E+12,원
재무상태표(연결),지배기업소유지분,2020-12-31,4.87084E+12,원
재무상태표(연결),자본금,2020-12-31,48084660000,원
재무상태표(연결),자본잉여금,2020-12-31,4.92899E+11,원
재무상태표(연결),자본조정,2020-12-31,-1.13007E+12,원
재무상태표(연결),기타포괄손익누계액,2020-12-31,-2.06782E+11,원
재무상태표(연결),이익잉여금,2020-12-31,5.66671E+12,원
재무상태표(연결),비지배지분,2020-12-31,3.7515E+11,원
재무상태표(연결),자본총계,2020-12-31,5.246E+12,원
재무상태표(연결),부채및자본총계,2020-12-31,1.23476E+13,원
재무상태표(연결),유동자산,2021-12-31,3.66813E+12,원
재무상태표(연결),현금및현금성자산,2021-12-31,5.41201E+11,원
재무상태표(연결),단기금융상품,2021-12-31,6.04745E+11,원
재무상태표(연결),매출채권,2021-12-31,1.02426E+12,원
재무상태표(연결),기타채권,2021-12-31,1.03883E+11,원
재무상태표(연결),선급금,2021-12-31,21880211833,원
재무상태표(연결),선급비용,2021-12-31,39685841398,원
재무상태표(연결),기타유동금융자산,2021-12-31,2441155065,원
재무상태표(연결),미수법인세환급액,2021-12-31,1131351460,원
재무상태표(연결),재고자산,2021-12-31,1.30642E+12,원
재무상태표(연결),매각예정분류자산,2021-12-31,22482063000,원
재무상태표(연결),비유동자산,2021-12-31,9.21074E+12,원
재무상태표(연결),장기매출채권,2021-12-31,259736709,원
재무상태표(연결),기타채권,2021-12-31,92853695496,원
재무상태표(연결),기타비유동금융자산,2021-12-31,2.67593E+12,원
재무상태표(연결),지분법적용투자지분,2021-12-31,7.97189E+11,원
재무상태표(연결),사용권자산,2021-12-31,1.55293E+11,원
재무상태표(연결),유형자산,2021-12-31,3.56028E+12,원
재무상태표(연결),무형자산,2021-12-31,4.41658E+11,원
재무상태표(연결),영업권,2021-12-31,8.2146E+11,원
재무상태표(연결),투자부동산,2021-12-31,6.19037E+11,원
재무상태표(연결),이연법인세자산,2021-12-31,23929932221,원
재무상태표(연결),순확정급여자산,2021-12-31,22848003937,원
재무상태표(연결),자산총계,2021-12-31,1.28789E+13,원
재무상태표(연결),유동부채,2021-12-31,2.69997E+12,원
재무상태표(연결),매입채무,2021-12-31,7.8846E+11,원
재무상태표(연결),기타부채,2021-12-31,7.47507E+11,원
재무상태표(연결),단기차입금,2021-12-31,8.42905E+11,원
재무상태표(연결),유동성장기차입금,2021-12-31,1.89935E+11,원
재무상태표(연결),유동충당부채,2021-12-31,10505335906,원
재무상태표(연결),미지급법인세,2021-12-31,1.20659E+11,원
재무상태표(연결),비유동부채,2021-12-31,4.80282E+12,원
