data_type,account_name,date,year,quarter,value_raw
재무상태표,자산,2020-12-31,2020,Q4,
재무상태표,유동자산,2020-12-31,2020,Q4,"2,111,475,986,463"
재무상태표,현금및현금성자산,2020-12-31,2020,Q4,"200,762,132,840"
재무상태표,단기금융상품,2020-12-31,2020,Q4,"884,325,143,502"
재무상태표,매출채권,2020-12-31,2020,Q4,"423,072,586,072"
재무상태표,기타채권,2020-12-31,2020,Q4,"90,746,960,910"
재무상태표,매출채권 및 기타유동채권,2020-12-31,2020,Q4,
재무상태표,선급금,2020-12-31,2020,Q4,"6,736,683,828"
재무상태표,선급비용,2020-12-31,2020,Q4,"4,053,048,099"
재무상태표,기타유동금융자산,2020-12-31,2020,Q4,"7,278,804,728"
재무상태표,미수법인세환급액,2020-12-31,2020,Q4,
재무상태표,재고자산,2020-12-31,2020,Q4,"302,050,995,781"
재무상태표,매각예정분류자산,2020-12-31,2020,Q4,"192,449,630,703"
재무상태표,소유주분배예정자산집단,2020-12-31,2020,Q4,
재무상태표,비유동자산,2020-12-31,2020,Q4,"6,653,843,474,826"
재무상태표,장기매출채권,2020-12-31,2020,Q4,"749,131,998"
재무상태표,장기매출채권 및 기타비유동채권,2020-12-31,2020,Q4,
재무상태표,기타채권,2020-12-31,2020,Q4,"50,581,801,145"
재무상태표,기타비유동금융자산,2020-12-31,2020,Q4,"3,034,175,234,666"
재무상태표,관계기업 및 공동기업투자,2020-12-31,2020,Q4,"85,749,985,759"
재무상태표,종속기업투자,2020-12-31,2020,Q4,"1,089,488,344,859"
재무상태표,사용권자산,2020-12-31,2020,Q4,"5,801,769,615"
재무상태표,유형자산,2020-12-31,2020,Q4,"1,806,942,479,638"
재무상태표,무형자산,2020-12-31,2020,Q4,"6,794,067,471"
재무상태표,투자부동산,2020-12-31,2020,Q4,"557,625,240,594"
재무상태표,순확정급여자산,2020-12-31,2020,Q4,"15,935,419,081"
재무상태표,자산총계,2020-12-31,2020,Q4,"8,765,319,461,289"
재무상태표,부채,2020-12-31,2020,Q4,
재무상태표,유동부채,2020-12-31,2020,Q4,"2,301,595,142,282"
재무상태표,매입채무,2020-12-31,2020,Q4,"182,909,044,101"
재무상태표,매입채무 및 기타유동채무,2020-12-31,2020,Q4,
재무상태표,기타부채,2020-12-31,2020,Q4,"389,900,724,347"
재무상태표,단기차입금,2020-12-31,2020,Q4,"959,429,427,842"
재무상태표,유동성장기차입금,2020-12-31,2020,Q4,"100,000,000,000"
재무상태표,유동성사채,2020-12-31,2020,Q4,"579,747,850,589"
재무상태표,유동파생상품부채,2020-12-31,2020,Q4,
재무상태표,유동충당부채,2020-12-31,2020,Q4,"5,537,689,418"
재무상태표,기타유동금융부채,2020-12-31,2020,Q4,"255,925,566"
재무상태표,미지급법인세,2020-12-31,2020,Q4,"83,814,480,419"
재무상태표,소유주분배예정부채집단,2020-12-31,2020,Q4,
재무상태표,비유동부채,2020-12-31,2020,Q4,"1,437,434,131,586"
재무상태표,장기차입금,2020-12-31,2020,Q4,"180,000,000,000"
재무상태표,비유동사채,2020-12-31,2020,Q4,"718,668,794,178"
재무상태표,기타부채,2020-12-31,2020,Q4,"79,491,181,108"
재무상태표,기타비유동금융부채,2020-12-31,2020,Q4,"86,605,645,850"
재무상태표,순확정급여부채,2020-12-31,2020,Q4,
재무상태표,기타장기종업원급여부채,2020-12-31,2020,Q4,"3,644,098,457"
재무상태표,비유동충당부채,2020-12-31,2020,Q4,"555,478,093"
재무상태표,이연법인세부채,2020-12-31,2020,Q4,"368,468,933,900"
재무상태표,종업원급여부채,2020-12-31,2020,Q4,
재무상태표,부채총계,2020-12-31,2020,Q4,"3,739,029,273,868"
재무상태표,자본,2020-12-31,2020,Q4,
재무상태표,자본금,2020-12-31,2020,Q4,"48,084,660,000"
재무상태표,자본잉여금,2020-12-31,2020,Q4,"553,070,812,612"
재무상태표,자본조정,2020-12-31,2020,Q4,"-1,130,067,287,950"
재무상태표,기타포괄손익누계액,2020-12-31,2020,Q4,"-32,810,163,877"
재무상태표,이익잉여금,2020-12-31,2020,Q4,"5,588,012,166,636"
재무상태표,자본총계,2020-12-31,2020,Q4,"5,026,290,187,421"
재무상태표,부채및자본총계,2020-12-31,2020,Q4,"8,765,319,461,289"
재무상태표,nan,2020-12-31,2020,Q4,
재무상태표,"검증1 (부채, 자본)",2020-12-31,2020,Q4,TRUE
재무상태표,검증2 (자산),2020-12-31,2020,Q4,TRUE
재무상태표,nan,2020-12-31,2020,Q4,
재무상태표,nan,2020-12-31,2020,Q4,
재무상태표,자산,2021-12-31,2021,Q4,
재무상태표,유동자산,2021-12-31,2021,Q4,"1,704,546,266,298"
재무상태표,현금및현금성자산,2021-12-31,2021,Q4,"182,739,801,860"
재무상태표,단기금융상품,2021-12-31,2021,Q4,"592,331,143,724"
재무상태표,매출채권,2021-12-31,2021,Q4,"458,683,843,335"
재무상태표,기타채권,2021-12-31,2021,Q4,"43,121,932,255"
재무상태표,매출채권 및 기타유동채권,2021-12-31,2021,Q4,
재무상태표,선급금,2021-12-31,2021,Q4,"4,242,460,985"
재무상태표,선급비용,2021-12-31,2021,Q4,"10,702,398,383"
재무상태표,기타유동금융자산,2021-12-31,2021,Q4,"2,441,155,065"
재무상태표,미수법인세환급액,2021-12-31,2021,Q4,
재무상태표,재고자산,2021-12-31,2021,Q4,"387,801,467,691"
재무상태표,매각예정분류자산,2021-12-31,2021,Q4,"22,482,063,000"
재무상태표,소유주분배예정자산집단,2021-12-31,2021,Q4,
재무상태표,비유동자산,2021-12-31,2021,Q4,"7,105,826,145,265"
재무상태표,장기매출채권,2021-12-31,2021,Q4,"259,736,709"
재무상태표,장기매출채권 및 기타비유동채권,2021-12-31,2021,Q4,
재무상태표,기타채권,2021-12-31,2021,Q4,"59,963,077,803"
재무상태표,기타비유동금융자산,2021-12-31,2021,Q4,"2,666,973,706,880"
재무상태표,관계기업 및 공동기업투자,2021-12-31,2021,Q4,"536,266,509,518"
재무상태표,종속기업투자,2021-12-31,2021,Q4,"1,540,094,632,910"
재무상태표,사용권자산,2021-12-31,2021,Q4,"24,633,006,518"
재무상태표,유형자산,2021-12-31,2021,Q4,"1,686,066,608,547"
재무상태표,무형자산,2021-12-31,2021,Q4,"8,389,551,952"
