분류,항목,기간,수치,단위
현금흐름표(연결),영업활동현금흐름,2023-12-31,7.88266E+11,원
현금흐름표(연결),당기순이익(손실),2023-12-31,92502625102,원
현금흐름표(연결),당기순이익조정을 위한 가감,2023-12-31,7.59553E+11,원
현금흐름표(연결),법인세비용,2023-12-31,1.51933E+11,원
현금흐름표(연결),이자비용,2023-12-31,2.54645E+11,원
현금흐름표(연결),이자수익,2023-12-31,33625432678,원
현금흐름표(연결),배당금수익,2023-12-31,-44285161100,원
현금흐름표(연결),금융보증비용,2023-12-31,1373619740,원
현금흐름표(연결),외화환산손실,2023-12-31,76665382000,원
현금흐름표(연결),외화환산이익,2023-12-31,40311070454,원
현금흐름표(연결),파생상품평가손실,2023-12-31,1.13131E+11,원
현금흐름표(연결),파생상품평가이익,2023-12-31,13101778412,원
현금흐름표(연결),파생상품거래손실,2023-12-31,2156788239,원
현금흐름표(연결),파생상품거래이익,2023-12-31,11118752767,원
현금흐름표(연결),당기손익인식금융자산평가손실,2023-12-31,22608838229,원
현금흐름표(연결),당기손익인식금융자산평가이익,2023-12-31,4.52438E+11,원
현금흐름표(연결),금융자산처분손실,2023-12-31,528440655,원
현금흐름표(연결),금융자산처분이익,2023-12-31,29823775485,원
현금흐름표(연결),지분법손실,2023-12-31,2.5601E+11,원
현금흐름표(연결),지분법이익,2023-12-31,55707242219,원
현금흐름표(연결),감가상각비,2023-12-31,3.64948E+11,원
현금흐름표(연결),운휴자산상각비,2023-12-31,522612333,원
현금흐름표(연결),무형자산상각비,2023-12-31,46594590760,원
현금흐름표(연결),사용권자산상각비,2023-12-31,32056621203,원
현금흐름표(연결),대손상각비,2023-12-31,5404934202,원
현금흐름표(연결),퇴직급여,2023-12-31,68949770117,원
현금흐름표(연결),기타장기종업원급여,2023-12-31,3104628907,원
현금흐름표(연결),유형자산처분손실,2023-12-31,3983212033,원
현금흐름표(연결),무형자산처분손실,2023-12-31,3238272818,원
현금흐름표(연결),유형자산처분이익,2023-12-31,18601564420,원
현금흐름표(연결),사용권자산처분이익,2023-12-31,34248422,원
현금흐름표(연결),수선비 등,2023-12-31,3708545092,원
현금흐름표(연결),유형자산손상차손환입,2023-12-31,1037449580,원
현금흐름표(연결),유형자산손상차손,2023-12-31,24476878285,원
현금흐름표(연결),충당부채전입액,2023-12-31,23498685065,원
현금흐름표(연결),사업처분손실,2023-12-31,99477904,원
현금흐름표(연결),영업활동으로인한자산ㆍ부채의변동,2023-12-31,86893918777,원
현금흐름표(연결),매출채권의 감소(증가),2023-12-31,43450367755,원
현금흐름표(연결),(유동)기타채권의 감소(증가),2023-12-31,56162508776,원
현금흐름표(연결),선급금의 감소(증가),2023-12-31,193779192,원
현금흐름표(연결),선급비용의 감소(증가),2023-12-31,-972069415,원
현금흐름표(연결),재고자산의 감소(증가),2023-12-31,1.89397E+11,원
현금흐름표(연결),장기매출채권의 감소(증가),2023-12-31,-726047474,원
현금흐름표(연결),기타비유동채권의 감소(증가),2023-12-31,-4354526590,원
현금흐름표(연결),장기선급비용의 감소(증가),2023-12-31,-1887100696,원
현금흐름표(연결),매입채무의 증가(감소),2023-12-31,-66641735932,원
현금흐름표(연결),(유동)기타부채의 증가(감소),2023-12-31,-44385098776,원
현금흐름표(연결),(비유동)기타부채의 증가(감소),2023-12-31,-596674770,원
현금흐름표(연결),국민연금전환금의 감소(증가),2023-12-31,13499800,원
현금흐름표(연결),퇴직금의 지급,2023-12-31,-73685806524,원
