account_name,year,quarter,value,unit
영업활동현금흐름,2020,Q1,97207339265,KRW
영업활동현금흐름,2020,Q2,2.13099E+11,KRW
영업활동현금흐름,2020,Q3,3.25471E+11,KRW
영업활동현금흐름,2020,Q4,6.79854E+11,KRW
영업활동현금흐름,2021,Q1,1573667237,KRW
영업활동현금흐름,2021,Q2,1.20009E+11,KRW
영업활동현금흐름,2021,Q3,2.34276E+11,KRW
영업활동현금흐름,2021,Q4,4.24043E+11,KRW
영업활동현금흐름,2022,Q1,-76357971358,KRW
영업활동현금흐름,2022,Q2,-40044012159,KRW
영업활동현금흐름,2022,Q3,1.66892E+11,KRW
영업활동현금흐름,2022,Q4,3.84566E+11,KRW
영업활동현금흐름,2023,Q1,19425330231,KRW
영업활동현금흐름,2023,Q2,2.84586E+11,KRW
영업활동현금흐름,2023,Q3,4.61486E+11,KRW
영업활동현금흐름,2023,Q4,7.88266E+11,KRW
영업활동현금흐름,2024,Q1,1.13738E+11,KRW
영업활동현금흐름,2024,Q2,3.23627E+11,KRW
영업활동현금흐름,2024,Q3,4.57715E+11,KRW
영업활동현금흐름,2024,Q4,5.96801E+11,KRW
영업활동현금흐름,2025,Q1,1.09138E+11,KRW
영업활동현금흐름,2025,Q2,2.76313E+11,KRW
영업활동현금흐름,2025,Q3,4.11601E+11,KRW
당기순이익(손실),2020,Q1,-2.70247E+11,KRW
당기순이익(손실),2020,Q2,78133372429,KRW
당기순이익(손실),2020,Q3,-47718164514,KRW
당기순이익(손실),2020,Q4,5.60873E+11,KRW
당기순이익(손실),2021,Q1,30431137644,KRW
당기순이익(손실),2021,Q2,4.1135E+11,KRW
당기순이익(손실),2021,Q3,1.7897E+11,KRW
당기순이익(손실),2021,Q4,-53211168479,KRW
당기순이익(손실),2022,Q1,32197301757,KRW
당기순이익(손실),2022,Q2,2.14397E+11,KRW
당기순이익(손실),2022,Q3,-50944715047,KRW
당기순이익(손실),2022,Q4,28661656966,KRW
당기순이익(손실),2023,Q1,-15452013086,KRW
당기순이익(손실),2023,Q2,51871870062,KRW
당기순이익(손실),2023,Q3,63109834860,KRW
당기순이익(손실),2023,Q4,92502625102,KRW
당기순이익(손실),2024,Q1,4.54911E+11,KRW
당기순이익(손실),2024,Q2,4.2207E+11,KRW
당기순이익(손실),2024,Q3,3.79762E+11,KRW
당기순이익(손실),2024,Q4,2.93295E+11,KRW
당기순이익(손실),2025,Q1,44050087099,KRW
당기순이익(손실),2025,Q2,9.37321E+11,KRW
당기순이익(손실),2025,Q3,1.26366E+12,KRW
당기순이익조정을 위한 가감,2020,Q1,4.26693E+11,KRW
당기순이익조정을 위한 가감,2020,Q2,2.48526E+11,KRW
당기순이익조정을 위한 가감,2020,Q3,5.1913E+11,KRW
당기순이익조정을 위한 가감,2020,Q4,96201592536,KRW
당기순이익조정을 위한 가감,2021,Q1,1.76773E+11,KRW
당기순이익조정을 위한 가감,2021,Q2,47961880272,KRW
당기순이익조정을 위한 가감,2021,Q3,5.28513E+11,KRW
당기순이익조정을 위한 가감,2021,Q4,9.61734E+11,KRW
당기순이익조정을 위한 가감,2022,Q1,2.55564E+11,KRW
당기순이익조정을 위한 가감,2022,Q2,3.58089E+11,KRW
당기순이익조정을 위한 가감,2022,Q3,8.71103E+11,KRW
당기순이익조정을 위한 가감,2022,Q4,9.74398E+11,KRW
당기순이익조정을 위한 가감,2023,Q1,2.15962E+11,KRW
당기순이익조정을 위한 가감,2023,Q2,3.71213E+11,KRW
당기순이익조정을 위한 가감,2023,Q3,5.78994E+11,KRW
당기순이익조정을 위한 가감,2023,Q4,7.59553E+11,KRW
당기순이익조정을 위한 가감,2024,Q1,-1.95818E+11,KRW
당기순이익조정을 위한 가감,2024,Q2,1.32575E+11,KRW
당기순이익조정을 위한 가감,2024,Q3,4.19761E+11,KRW
당기순이익조정을 위한 가감,2024,Q4,7.8287E+11,KRW
당기순이익조정을 위한 가감,2025,Q1,2.31454E+11,KRW
당기순이익조정을 위한 가감,2025,Q2,-3.81424E+11,KRW
당기순이익조정을 위한 가감,2025,Q3,-4.61029E+11,KRW
법인세비용,2020,Q1,-1.07553E+11,KRW
법인세비용,2020,Q2,42659997542,KRW
법인세비용,2020,Q3,28680526165,KRW
법인세비용,2020,Q4,1.80043E+11,KRW
법인세비용,2021,Q1,34055941723,KRW
법인세비용,2021,Q2,2.10834E+11,KRW
법인세비용,2021,Q3,1.62965E+11,KRW
법인세비용,2021,Q4,1.66065E+11,KRW
법인세비용,2022,Q1,52638494579,KRW
법인세비용,2022,Q2,1.5014E+11,KRW
법인세비용,2022,Q3,1.12352E+11,KRW
법인세비용,2022,Q4,83292295663,KRW
법인세비용,2023,Q1,43537280930,KRW
법인세비용,2023,Q2,94576871266,KRW
법인세비용,2023,Q3,1.48307E+11,KRW
법인세비용,2023,Q4,1.51933E+11,KRW
법인세비용,2024,Q1,1.72151E+11,KRW
법인세비용,2024,Q2,2.12318E+11,KRW
법인세비용,2024,Q3,2.47525E+11,KRW
법인세비용,2024,Q4,1.76574E+11,KRW
법인세비용,2025,Q1,31345333788,KRW
법인세비용,2025,Q2,4.04843E+11,KRW
법인세비용,2025,Q3,5.57894E+11,KRW
이자비용,2020,Q1,46097170649,KRW
이자비용,2020,Q2,85225880558,KRW
이자비용,2020,Q3,1.24898E+11,KRW
이자비용,2020,Q4,1.62285E+11,KRW
이자비용,2021,Q1,35746748771,KRW
이자비용,2021,Q2,66040191161,KRW
이자비용,2021,Q3,1.0236E+11,KRW
이자비용,2021,Q4,1.42369E+11,KRW
이자비용,2022,Q1,35914986276,KRW
이자비용,2022,Q2,80985239855,KRW
이자비용,2022,Q3,1.28526E+11,KRW
이자비용,2022,Q4,1.78331E+11,KRW
이자비용,2023,Q1,51779300541,KRW
이자비용,2023,Q2,1.25281E+11,KRW
이자비용,2023,Q3,1.88276E+11,KRW
이자비용,2023,Q4,2.54645E+11,KRW
이자비용,2024,Q1,66011168987,KRW
이자비용,2024,Q2,1.58363E+11,KRW
이자비용,2024,Q3,2.5257E+11,KRW
이자비용,2024,Q4,3.47807E+11,KRW
이자비용,2025,Q1,78864286522,KRW
이자비용,2025,Q2,1.57799E+11,KRW
