데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text,variant
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,당기순이익,42300.0,백만원,2017Q4|주요재무지표|전사|당기순이익|백만원|expanded,2017년 4분기 전사 기준 당기순이익 | 2017 Q4 전사 당기순이익 | 2017-12-31 기준 당기순이익 | 전사 당기순이익 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 순이익 | net income | net profit | profit | 백만원 | 억원 환산 참고 | KRW mn | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 당기순이익 | 약 423.0억원 | 2017년 Q4 당기순이익 얼마야? | 당기순이익 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,부채비율,62.7,%,2017Q4|주요재무지표|전사|부채비율|%|expanded,2017년 4분기 전사 기준 부채비율 | 2017 Q4 전사 부채비율 | 2017-12-31 기준 부채비율 | 전사 부채비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | debt ratio | 부채/자본 | ratio | % | 비율 | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 부채비율 | 2017년 Q4 부채비율 얼마야? | 부채비율 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,부채총계,3677520.0,백만원,2017Q4|주요재무지표|전사|부채총계|백만원|expanded,2017년 4분기 전사 기준 부채총계 | 2017 Q4 전사 부채총계 | 2017-12-31 기준 부채총계 | 전사 부채총계 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 총부채 | liabilities | 백만원 | 억원 환산 참고 | KRW mn | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 부채총계 | 약 36775.2억원 | 2017년 Q4 부채총계 얼마야? | 부채총계 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,유동부채,2603527.0,백만원,2017Q4|주요재무지표|전사|유동부채|백만원|expanded,2017년 4분기 전사 기준 유동부채 | 2017 Q4 전사 유동부채 | 2017-12-31 기준 유동부채 | 전사 유동부채 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 백만원 | 억원 환산 참고 | KRW mn | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 유동부채 | 약 26035.3억원 | 2017년 Q4 유동부채 얼마야? | 유동부채 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,유동비율,94.2,%,2017Q4|주요재무지표|전사|유동비율|%|expanded,2017년 4분기 전사 기준 유동비율 | 2017 Q4 전사 유동비율 | 2017-12-31 기준 유동비율 | 전사 유동비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | current ratio | ratio | % | 비율 | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 유동비율 | 2017년 Q4 유동비율 얼마야? | 유동비율 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,유동자산,2452254.0,백만원,2017Q4|주요재무지표|전사|유동자산|백만원|expanded,2017년 4분기 전사 기준 유동자산 | 2017 Q4 전사 유동자산 | 2017-12-31 기준 유동자산 | 전사 유동자산 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 백만원 | 억원 환산 참고 | KRW mn | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 유동자산 | 약 24522.5억원 | 2017년 Q4 유동자산 얼마야? | 유동자산 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,자기자본,5866257.0,백만원,2017Q4|주요재무지표|전사|자기자본|백만원|expanded,2017년 4분기 전사 기준 자기자본 | 2017 Q4 전사 자기자본 | 2017-12-31 기준 자기자본 | 전사 자기자본 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | equity | 자본 | 백만원 | 억원 환산 참고 | KRW mn | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 자기자본 | 약 58662.6억원 | 2017년 Q4 자기자본 얼마야? | 자기자본 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,자기자본비율,61.5,%,2017Q4|주요재무지표|전사|자기자본비율|%|expanded,2017년 4분기 전사 기준 자기자본비율 | 2017 Q4 전사 자기자본비율 | 2017-12-31 기준 자기자본비율 | 전사 자기자본비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | equity | 자본 | ratio | % | 비율 | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 자기자본비율 | 2017년 Q4 자기자본비율 얼마야? | 자기자본비율 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,자기자본순이익률(roe),0.7,%,2017Q4|주요재무지표|전사|자기자본순이익률(roe)|%|expanded,2017년 4분기 전사 기준 자기자본순이익률(roe) | 2017 Q4 전사 자기자본순이익률(roe) | 2017-12-31 기준 자기자본순이익률(roe) | 전사 자기자본순이익률(roe) | 주요재무지표 | 재무지표 | financial indicators | financial metrics | equity | 자본 | profit | % | 비율 | ratio | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 자기자본순이익률(roe) | 2017년 Q4 자기자본순이익률(roe) 얼마야? | 자기자본순이익률(roe) 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,자산총계,9543777.0,백만원,2017Q4|주요재무지표|전사|자산총계|백만원|expanded,2017년 4분기 전사 기준 자산총계 | 2017 Q4 전사 자산총계 | 2017-12-31 기준 자산총계 | 전사 자산총계 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 총자산 | assets | 백만원 | 억원 환산 참고 | KRW mn | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 자산총계 | 약 95437.8억원 | 2017년 Q4 자산총계 얼마야? | 자산총계 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,차입금,2248606.0,백만원,2017Q4|주요재무지표|전사|차입금|백만원|expanded,2017년 4분기 전사 기준 차입금 | 2017 Q4 전사 차입금 | 2017-12-31 기준 차입금 | 전사 차입금 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | borrowings dependence | borrowings | 백만원 | 억원 환산 참고 | KRW mn | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 차입금 | 약 22486.1억원 | 2017년 Q4 차입금 얼마야? | 차입금 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,차입금의존도,23.6,%,2017Q4|주요재무지표|전사|차입금의존도|%|expanded,2017년 4분기 전사 기준 차입금의존도 | 2017 Q4 전사 차입금의존도 | 2017-12-31 기준 차입금의존도 | 전사 차입금의존도 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | borrowings dependence | borrowings | % | 비율 | ratio | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 차입금의존도 | 2017년 Q4 차입금의존도 얼마야? | 차입금의존도 수치 확인,expanded
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,전체,총자산이익률,0.4,%,2017Q4|주요재무지표|전사|총자산이익률|%|expanded,2017년 4분기 전사 기준 총자산이익률 | 2017 Q4 전사 총자산이익률 | 2017-12-31 기준 총자산이익률 | 전사 총자산이익률 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | profit | % | 비율 | ratio | 2017 Q4 | 2017년 Q4 | 2017년 4분기 | 2017-12-31 | 전사 | 총자산이익률 | 2017년 Q4 총자산이익률 얼마야? | 총자산이익률 수치 확인,expanded
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,전체,당기순이익,-23104.0,백만원,2018Q4|주요재무지표|전사|당기순이익|백만원|expanded,2018년 4분기 전사 기준 당기순이익 | 2018 Q4 전사 당기순이익 | 2018-12-31 기준 당기순이익 | 전사 당기순이익 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 순이익 | net income | net profit | profit | 백만원 | 억원 환산 참고 | KRW mn | 2018 Q4 | 2018년 Q4 | 2018년 4분기 | 2018-12-31 | 전사 | 당기순이익 | 약 -231.0억원 | 2018년 Q4 당기순이익 얼마야? | 당기순이익 수치 확인,expanded
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,전체,부채비율,56.2,%,2018Q4|주요재무지표|전사|부채비율|%|expanded,2018년 4분기 전사 기준 부채비율 | 2018 Q4 전사 부채비율 | 2018-12-31 기준 부채비율 | 전사 부채비율 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | debt ratio | 부채/자본 | ratio | % | 비율 | 2018 Q4 | 2018년 Q4 | 2018년 4분기 | 2018-12-31 | 전사 | 부채비율 | 2018년 Q4 부채비율 얼마야? | 부채비율 수치 확인,expanded
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,전체,부채총계,3224072.0,백만원,2018Q4|주요재무지표|전사|부채총계|백만원|expanded,2018년 4분기 전사 기준 부채총계 | 2018 Q4 전사 부채총계 | 2018-12-31 기준 부채총계 | 전사 부채총계 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 총부채 | liabilities | 백만원 | 억원 환산 참고 | KRW mn | 2018 Q4 | 2018년 Q4 | 2018년 4분기 | 2018-12-31 | 전사 | 부채총계 | 약 32240.7억원 | 2018년 Q4 부채총계 얼마야? | 부채총계 수치 확인,expanded
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,전체,유동부채,1422169.0,백만원,2018Q4|주요재무지표|전사|유동부채|백만원|expanded,2018년 4분기 전사 기준 유동부채 | 2018 Q4 전사 유동부채 | 2018-12-31 기준 유동부채 | 전사 유동부채 | 주요재무지표 | 재무지표 | financial indicators | financial metrics | 백만원 | 억원 환산 참고 | KRW mn | 2018 Q4 | 2018년 Q4 | 2018년 4분기 | 2018-12-31 | 전사 | 유동부채 | 약 14221.7억원 | 2018년 Q4 유동부채 얼마야? | 유동부채 수치 확인,expanded
