기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2025-12-31,2025,YTD,2025 YTD,건자재,매출액,매출액,966581,백만원,2025YTD|건자재|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 건자재의 매출액은 966581백만원이며 기준일은 2025-12-31입니다.,966581
2025-12-31,2025,YTD,2025 YTD,건자재,영업이익,영업이익,115096,백만원,2025YTD|건자재|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 건자재의 영업이익은 115096백만원이며 기준일은 2025-12-31입니다.,115096
2025-12-31,2025,YTD,2025 YTD,기타,매출액,매출액,540282,백만원,2025YTD|기타|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 기타 매출액 | 사업부 | 부문정보 | 기타 | 매출액 | other | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 기타의 매출액은 540282백만원이며 기준일은 2025-12-31입니다.,540282
2025-12-31,2025,YTD,2025 YTD,기타,영업이익,영업이익,-10854,백만원,2025YTD|기타|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | other | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 기타의 영업이익은 -10854백만원이며 기준일은 2025-12-31입니다.,-10854
2025-12-31,2025,YTD,2025 YTD,도료,매출액,매출액,1909829,백만원,2025YTD|도료|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 도료 매출액 | 사업부 | 부문정보 | 도료 | 매출액 | 도료사업부 | paint | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 도료의 매출액은 1909829백만원이며 기준일은 2025-12-31입니다.,1909829
2025-12-31,2025,YTD,2025 YTD,도료,영업이익,영업이익,219442,백만원,2025YTD|도료|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 도료 영업이익 | 사업부 | 부문정보 | 도료 | 영업이익 | 도료사업부 | paint | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 도료의 영업이익은 219442백만원이며 기준일은 2025-12-31입니다.,219442
2025-12-31,2025,YTD,2025 YTD,실리콘,매출액,매출액,3067128,백만원,2025YTD|실리콘|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 실리콘의 매출액은 3067128백만원이며 기준일은 2025-12-31입니다.,3067128
2025-12-31,2025,YTD,2025 YTD,실리콘,영업이익,영업이익,81053,백만원,2025YTD|실리콘|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 실리콘의 영업이익은 81053백만원이며 기준일은 2025-12-31입니다.,81053
2025-12-31,2025,YTD,2025 YTD,연결조정,영업이익,영업이익,22879,백만원,2025YTD|연결조정|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 연결조정 영업이익 | 사업부 | 부문정보 | 연결조정 | 영업이익 | 조정 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 연결조정의 영업이익은 22879백만원이며 기준일은 2025-12-31입니다.,22879
2025-12-31,2025,YTD,2025 YTD,전사(공통),매출액,매출액,6483820,백만원,2025YTD|전사(공통)|매출액|매출액|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2025년 YTD분기 사업부 부문정보 기준 전사(공통)의 매출액은 6483820백만원이며 기준일은 2025-12-31입니다.,6483820
2025-12-31,2025,YTD,2025 YTD,전사(공통),영업이익,영업이익,427616,백만원,2025YTD|전사(공통)|영업이익|영업이익|백만원,2025 YTD | 2025년 YTD | 2025년 YTD분기 | 2025-12-31 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 YTD분기 사업부 부문정보 기준 전사(공통)의 영업이익은 427616백만원이며 기준일은 2025-12-31입니다.,427616
2025-12-31,2025,Q4,2025 Q4,건자재,매출액,매출액,235436,백만원,2025Q4|건자재|매출액|매출액|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2025년 4분기 사업부 부문정보 기준 건자재의 매출액은 235436백만원이며 기준일은 2025-12-31입니다.,235436
2025-12-31,2025,Q4,2025 Q4,건자재,영업이익,영업이익,25972,백만원,2025Q4|건자재|영업이익|영업이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 4분기 사업부 부문정보 기준 건자재의 영업이익은 25972백만원이며 기준일은 2025-12-31입니다.,25972
2025-12-31,2025,Q4,2025 Q4,건자재,영업이익,영업이익률(%),11.03,%,2025Q4|건자재|영업이익|영업이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 4분기 사업부 부문정보 기준 건자재의 영업이익은 25972백만원이며 기준일은 2025-12-31입니다.,11.03
2025-12-31,2025,Q4,2025 Q4,기타,매출액,매출액,122471,백만원,2025Q4|기타|매출액|매출액|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타 매출액 | 사업부 | 부문정보 | 기타 | 매출액 | other | 매출 | sales | revenue | 백만원,2025년 4분기 사업부 부문정보 기준 기타의 매출액은 122471백만원이며 기준일은 2025-12-31입니다.,122471
2025-12-31,2025,Q4,2025 Q4,기타,영업이익,영업이익,-5265,백만원,2025Q4|기타|영업이익|영업이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타 영업이익 | 사업부 | 부문정보 | 기타 | 영업이익 | other | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 4분기 사업부 부문정보 기준 기타의 영업이익은 -5265백만원이며 기준일은 2025-12-31입니다.,-5265
2025-12-31,2025,Q4,2025 Q4,기타,영업이익,영업이익률(%),-4.30,%,2025Q4|건자재|영업이익|영업이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2025년 4분기 사업부 부문정보 기준 건자재의 영업이익은 25972백만원이며 기준일은 2025-12-31입니다.,-4.30
