기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,search_tag,search_text,fact_text,수치표시
2021-12-31,2021,YTD,2021 YTD,전사(공통),매출액,매출액,5874899,백만원,2021YTD|전사(공통)|매출액|매출액|백만원,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 전사(공통) 매출액 | 사업부 | 부문정보 | 전사(공통) | 매출액 | 전사 | 공통 | 매출 | sales | revenue | 백만원,2021년 YTD분기 사업부 부문정보 기준 전사(공통)의 매출액은 5874899백만원이며 기준일은 2021-12-31입니다.,5874899
2021-12-31,2021,YTD,2021 YTD,전사(공통),영업이익,영업이익,388770,백만원,2021YTD|전사(공통)|영업이익|영업이익|백만원,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 전사(공통) 영업이익 | 사업부 | 부문정보 | 전사(공통) | 영업이익 | 전사 | 공통 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2021년 YTD분기 사업부 부문정보 기준 전사(공통)의 영업이익은 388770백만원이며 기준일은 2021-12-31입니다.,388770
2021-12-31,2021,YTD,2021 YTD,전사(공통),영업이익,영업이익률(%),6.6,%,2021YTD|전사(공통)|영업이익|영업이익률(%)|%,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 전사(공통) 영업이익률(%) | 사업부 | 부문정보 | 전사(공통) | 영업이익률(%) | 전사 | 공통 | operating margin | op margin | 이익률 | 수익성 | margin | %,2021년 YTD분기 사업부 부문정보 기준 전사(공통)의 영업이익률은 6.6%이며 기준일은 2021-12-31입니다.,6.6
2021-12-31,2021,YTD,2021 YTD,전사(공통),당기순이익,당기순이익,-53211,백만원,2021YTD|전사(공통)|당기순이익|당기순이익|백만원,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 전사(공통) 당기순이익 | 사업부 | 부문정보 | 전사(공통) | 당기순이익 | 전사 | 공통 | 순이익 | net income | net profit | 당기순익 | 백만원,2021년 YTD분기 사업부 부문정보 기준 전사(공통)의 당기순이익은 -53211백만원이며 기준일은 2021-12-31입니다.,-53211
2021-12-31,2021,YTD,2021 YTD,전사(공통),당기순이익,당기순이익률(%),-0.9,%,2021YTD|전사(공통)|당기순이익|당기순이익률(%)|%,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 전사(공통) 당기순이익률(%) | 사업부 | 부문정보 | 전사(공통) | 당기순이익률(%) | 전사 | 공통 | 순이익률 | net margin | 수익성 | 당기순익률 | %,2021년 YTD분기 사업부 부문정보 기준 전사(공통)의 당기순이익률은 -0.9%이며 기준일은 2021-12-31입니다.,-0.9
2021-12-31,2021,YTD,2021 YTD,실리콘,매출액,매출액,3120292,백만원,2021YTD|실리콘|매출액|매출액|백만원,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 실리콘 매출액 | 사업부 | 부문정보 | 실리콘 | 매출액 | 실리콘사업부 | silicone | 매출 | sales | revenue | 백만원,2021년 YTD분기 사업부 부문정보 기준 실리콘의 매출액은 3120292백만원이며 기준일은 2021-12-31입니다.,3120292
2021-12-31,2021,YTD,2021 YTD,실리콘,영업이익,영업이익,269156,백만원,2021YTD|실리콘|영업이익|영업이익|백만원,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 실리콘 영업이익 | 사업부 | 부문정보 | 실리콘 | 영업이익 | 실리콘사업부 | silicone | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2021년 YTD분기 사업부 부문정보 기준 실리콘의 영업이익은 269156백만원이며 기준일은 2021-12-31입니다.,269156
2021-12-31,2021,YTD,2021 YTD,실리콘,영업이익,영업이익률(%),8.6,%,2021YTD|실리콘|영업이익|영업이익률(%)|%,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 실리콘 영업이익률(%) | 사업부 | 부문정보 | 실리콘 | 영업이익률(%) | 실리콘사업부 | silicone | operating margin | op margin | 이익률 | 수익성 | margin | %,2021년 YTD분기 사업부 부문정보 기준 실리콘의 영업이익률은 8.6%이며 기준일은 2021-12-31입니다.,8.6
2021-12-31,2021,YTD,2021 YTD,건자재,매출액,매출액,937944,백만원,2021YTD|건자재|매출액|매출액|백만원,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 건자재 매출액 | 사업부 | 부문정보 | 건자재 | 매출액 | 건재 | 건자재사업부 | 매출 | sales | revenue | 백만원,2021년 YTD분기 사업부 부문정보 기준 건자재의 매출액은 937944백만원이며 기준일은 2021-12-31입니다.,937944
2021-12-31,2021,YTD,2021 YTD,건자재,영업이익,영업이익,77270,백만원,2021YTD|건자재|영업이익|영업이익|백만원,2021 YTD | 2021년 YTD | 2021년 YTD분기 | 2021-12-31 기준 건자재 영업이익 | 사업부 | 부문정보 | 건자재 | 영업이익 | 건재 | 건자재사업부 | operating profit | operating income | 영업이익률 | operating margin | op margin | 백만원,2021년 YTD분기 사업부 부문정보 기준 건자재의 영업이익은 77270백만원이며 기준일은 2021-12-31입니다.,77270
