기준일,연도,분기,기간표준,사업부,재무계정,상세항목,수치,단위,short_context,keywords,query_text
2021-03-31,2021,Q1,2021 Q1,건자재,매출액,매출액,204203,백만원,2021 Q1 건자재 매출액 백만원,2021-03-31 | 2021 | Q1 | 2021 Q1 | 건자재 | 매출액 | 백만원,2021년 Q1 건자재 매출액 ; 2021 Q1 건자재 매출액 ; 2021-03-31 건자재 매출액 ; 건자재 매출액 백만원
2021-03-31,2021,Q1,2021 Q1,건자재,영업이익,영업이익,14111,백만원,2021 Q1 건자재 영업이익 백만원,2021-03-31 | 2021 | Q1 | 2021 Q1 | 건자재 | 영업이익 | 백만원,2021년 Q1 건자재 영업이익 ; 2021 Q1 건자재 영업이익 ; 2021-03-31 건자재 영업이익 ; 건자재 영업이익 백만원
2021-03-31,2021,Q1,2021 Q1,건자재,영업이익,영업이익률(%),7,%,2021 Q1 건자재 영업이익 영업이익률(%) %,2021-03-31 | 2021 | Q1 | 2021 Q1 | 건자재 | 영업이익 | 영업이익률(%) | %,2021년 Q1 건자재 영업이익 ; 2021 Q1 건자재 영업이익 ; 2021-03-31 건자재 영업이익 ; 건자재 영업이익률(%) ; 건자재 영업이익 %
2021-03-31,2021,Q1,2021 Q1,기타,매출액,매출액,78767,백만원,2021 Q1 기타 매출액 백만원,2021-03-31 | 2021 | Q1 | 2021 Q1 | 기타 | 매출액 | 백만원,2021년 Q1 기타 매출액 ; 2021 Q1 기타 매출액 ; 2021-03-31 기타 매출액 ; 기타 매출액 백만원
2021-03-31,2021,Q1,2021 Q1,기타,영업이익,영업이익,-5538,백만원,2021 Q1 기타 영업이익 백만원,2021-03-31 | 2021 | Q1 | 2021 Q1 | 기타 | 영업이익 | 백만원,2021년 Q1 기타 영업이익 ; 2021 Q1 기타 영업이익 ; 2021-03-31 기타 영업이익 ; 기타 영업이익 백만원
2021-03-31,2021,Q1,2021 Q1,기타,영업이익,영업이익률(%),-7,%,2021 Q1 기타 영업이익 영업이익률(%) %,2021-03-31 | 2021 | Q1 | 2021 Q1 | 기타 | 영업이익 | 영업이익률(%) | %,2021년 Q1 기타 영업이익 ; 2021 Q1 기타 영업이익 ; 2021-03-31 기타 영업이익 ; 기타 영업이익률(%) ; 기타 영업이익 %
2021-03-31,2021,Q1,2021 Q1,도료,매출액,매출액,317569,백만원,2021 Q1 도료 매출액 백만원,2021-03-31 | 2021 | Q1 | 2021 Q1 | 도료 | 매출액 | 백만원,2021년 Q1 도료 매출액 ; 2021 Q1 도료 매출액 ; 2021-03-31 도료 매출액 ; 도료 매출액 백만원
2021-03-31,2021,Q1,2021 Q1,도료,영업이익,영업이익,7557,백만원,2021 Q1 도료 영업이익 백만원,2021-03-31 | 2021 | Q1 | 2021 Q1 | 도료 | 영업이익 | 백만원,2021년 Q1 도료 영업이익 ; 2021 Q1 도료 영업이익 ; 2021-03-31 도료 영업이익 ; 도료 영업이익 백만원
2021-03-31,2021,Q1,2021 Q1,도료,영업이익,영업이익률(%),2,%,2021 Q1 도료 영업이익 영업이익률(%) %,2021-03-31 | 2021 | Q1 | 2021 Q1 | 도료 | 영업이익 | 영업이익률(%) | %,2021년 Q1 도료 영업이익 ; 2021 Q1 도료 영업이익 ; 2021-03-31 도료 영업이익 ; 도료 영업이익률(%) ; 도료 영업이익 %
2021-03-31,2021,Q1,2021 Q1,실리콘,매출액,매출액,761957,백만원,2021 Q1 실리콘 매출액 백만원,2021-03-31 | 2021 | Q1 | 2021 Q1 | 실리콘 | 매출액 | 백만원,2021년 Q1 실리콘 매출액 ; 2021 Q1 실리콘 매출액 ; 2021-03-31 실리콘 매출액 ; 실리콘 매출액 백만원
