재무제표,계정과목,기간,금액,단위
연결손익계산서,매출액,1Q22," 1,637,578 ",백만원
연결손익계산서,매출원가,1Q22," 1,253,045 ",백만원
연결손익계산서,매출총이익,1Q22," 384,534 ",백만원
연결손익계산서,판매비와관리비,1Q22," 235,126 ",백만원
연결손익계산서,영업이익,1Q22," 149,408 ",백만원
연결손익계산서,지분법손익,1Q22," 11,768 ",백만원
연결손익계산서,순금융손익,1Q22,"-77,425 ",백만원
연결손익계산서,금융수익,1Q22," 172,654 ",백만원
연결손익계산서,금융원가,1Q22,"-250,079 ",백만원
연결손익계산서,기타영업외손익,1Q22," 1,085 ",백만원
연결손익계산서,기타이익,1Q22," 25,511 ",백만원
연결손익계산서,기타손실,1Q22,"-24,426 ",백만원
연결손익계산서,법인세비용차감전순손익,1Q22," 84,836 ",백만원
연결손익계산서,법인세비용(수익),1Q22," 52,638 ",백만원
연결손익계산서,당기순손익,1Q22," 32,197 ",백만원
연결손익계산서,기타포괄손익,1Q22," 76,744 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q22," 75,600 ",백만원
연결손익계산서,지분법자본변동?,1Q22," 11,767 ",백만원
연결손익계산서,현금흐름위험회피,1Q22," 53,724 ",백만원
연결손익계산서,해외사업환산손익 등,1Q22," 10,110 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q22," 1,143 ",백만원
연결손익계산서,확정급여제도의 재측정요소,1Q22,-150 ,백만원
연결손익계산서,지분법이익잉여금 ?,1Q22,-208 ,백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q22," 1,501 ",백만원
연결손익계산서,총포괄손익,1Q22," 108,941 ",백만원
연결손익계산서,지배기업소유주지분,1Q22," 6,580 ",백만원
연결손익계산서,비지배지분,1Q22," 25,617 ",백만원
연결손익계산서,지배기업소유주지분,1Q22," 63,040 ",백만원
연결손익계산서,비지배지분,1Q22," 45,901 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),1Q22, 864 ,백만원
연결손익계산서,희석주당손익 (단위 : 원),1Q22, 864 ,백만원
연결손익계산서,매출액,2Q22," 1,755,882 ",백만원
연결손익계산서,매출원가,2Q22," 1,341,497 ",백만원
연결손익계산서,매출총이익,2Q22," 414,386 ",백만원
연결손익계산서,판매비와관리비,2Q22," 250,152 ",백만원
연결손익계산서,영업이익,2Q22," 164,234 ",백만원
연결손익계산서,지분법손익,2Q22," 9,701 ",백만원
연결손익계산서,순금융손익,2Q22," 120,748 ",백만원
연결손익계산서,금융수익,2Q22," 232,747 ",백만원
연결손익계산서,금융원가,2Q22,"-112,000 ",백만원
연결손익계산서,기타영업외손익,2Q22,"-14,982 ",백만원
연결손익계산서,기타이익,2Q22," 9,368 ",백만원
연결손익계산서,기타손실,2Q22,"-24,349 ",백만원
연결손익계산서,법인세비용차감전순손익,2Q22," 279,701 ",백만원
연결손익계산서,법인세비용(수익),2Q22," 97,501 ",백만원
연결손익계산서,당기순손익,2Q22," 182,199 ",백만원
연결손익계산서,기타포괄손익,2Q22," 45,204 ",백만원
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,2Q22," 51,662 ",백만원
연결손익계산서,지분법자본변동?,2Q22," 9,930 ",백만원
연결손익계산서,현금흐름위험회피,2Q22," 40,866 ",백만원
연결손익계산서,해외사업환산손익 등,2Q22, 865 ,백만원
연결손익계산서,확정급여제도의 재측정요소,2Q22,-3 ,백만원
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q22,"-6,453 ",백만원
연결손익계산서,총포괄손익,2Q22," 227,404 ",백만원
연결손익계산서,지배기업소유주지분,2Q22," 169,358 ",백만원
연결손익계산서,비지배지분,2Q22," 12,841 ",백만원
연결손익계산서,지배기업소유주지분,2Q22," 208,378 ",백만원
연결손익계산서,비지배지분,2Q22," 19,026 ",백만원
연결손익계산서,기본주당손익 (단위 : 원),2Q22," 23,022 ",백만원
연결손익계산서,희석주당손익 (단위 : 원),2Q22," 23,022 ",백만원
연결손익계산서,매출액,3Q22," 1,740,125 ",백만원
연결손익계산서,매출원가,3Q22," 1,382,013 ",백만원
연결손익계산서,매출총이익,3Q22," 358,112 ",백만원
연결손익계산서,판매비와관리비,3Q22," 261,733 ",백만원
연결손익계산서,영업이익,3Q22," 96,380 ",백만원
연결손익계산서,지분법손익,3Q22,-49 ,백만원
