회사,데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,fact_text,keyword_text
KCC,감가상각비,2022-03-31,2022,Q1,2022 Q1,전사,,건자재,10273.0,백만원,"KCC 2022년 1분기 전사 건자재은 10,273백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 건자재 | 백만원
KCC,감가상각비,2022-03-31,2022,Q1,2022 Q1,전사,,기타,21348.0,백만원,"KCC 2022년 1분기 전사 기타은 21,348백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 기타 | 백만원
KCC,감가상각비,2022-03-31,2022,Q1,2022 Q1,전사,,도료,9574.0,백만원,"KCC 2022년 1분기 전사 도료은 9,574백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 도료 | 백만원
KCC,감가상각비,2022-03-31,2022,Q1,2022 Q1,전사,,실리콘,62757.0,백만원,"KCC 2022년 1분기 전사 실리콘은 62,757백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 실리콘 | 백만원
KCC,감가상각비,2022-03-31,2022,Q1,2022 Q1,전사,,합계,103952.0,백만원,"KCC 2022년 1분기 전사 합계은 103,952백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 합계 | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,건자재,매출액,매출액,249720.0,백만원,"KCC 2022년 1분기 건자재 매출액 매출액은 249,720백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 매출액 | 매출 | sales | revenue | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,건자재,영업이익,QoQ(%),-2.0,%,KCC 2022년 1분기 건자재 영업이익 QoQ(%)은 -2%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | QoQ(%) | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,건자재,영업이익,YoY(%),49.0,%,KCC 2022년 1분기 건자재 영업이익 YoY(%)은 49%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | YoY(%) | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,건자재,영업이익,영업이익,21090.0,백만원,"KCC 2022년 1분기 건자재 영업이익 영업이익은 21,090백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | operating profit | operating income | 영업이익률 | operating margin | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,건자재,영업이익,영업이익률(%),8.0,%,KCC 2022년 1분기 건자재 영업이익 영업이익률(%)은 8%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | 영업이익률(%) | operating profit | operating income | 영업이익률 | operating margin | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,기타,매출액,매출액,92411.0,백만원,"KCC 2022년 1분기 기타 매출액 매출액은 92,411백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 기타 | 기타사업부 | 매출액 | 매출 | sales | revenue | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,기타,영업이익,QoQ(%),49.0,%,KCC 2022년 1분기 기타 영업이익 QoQ(%)은 49%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 기타 | 기타사업부 | 영업이익 | QoQ(%) | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,기타,영업이익,영업이익,2261.0,백만원,"KCC 2022년 1분기 기타 영업이익 영업이익은 2,261백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 기타 | 기타사업부 | 영업이익 | operating profit | operating income | 영업이익률 | operating margin | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,기타,영업이익,영업이익률(%),2.0,%,KCC 2022년 1분기 기타 영업이익 영업이익률(%)은 2%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 기타 | 기타사업부 | 영업이익 | 영업이익률(%) | operating profit | operating income | 영업이익률 | operating margin | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,도료,매출액,매출액,357060.0,백만원,"KCC 2022년 1분기 도료 매출액 매출액은 357,060백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 도료 | 도료사업부 | 매출액 | 매출 | sales | revenue | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,도료,영업이익,YoY(%),-8.0,%,KCC 2022년 1분기 도료 영업이익 YoY(%)은 -8%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 도료 | 도료사업부 | 영업이익 | YoY(%) | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,도료,영업이익,영업이익,6968.0,백만원,"KCC 2022년 1분기 도료 영업이익 영업이익은 6,968백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 도료 | 도료사업부 | 영업이익 | operating profit | operating income | 영업이익률 | operating margin | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,도료,영업이익,영업이익률(%),2.0,%,KCC 2022년 1분기 도료 영업이익 영업이익률(%)은 2%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 도료 | 도료사업부 | 영업이익 | 영업이익률(%) | operating profit | operating income | 영업이익률 | operating margin | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,실리콘,매출액,매출액,938388.0,백만원,"KCC 2022년 1분기 실리콘 매출액 매출액은 938,388백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 실리콘 | 실리콘사업부 | 매출액 | 매출 | sales | revenue | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,실리콘,영업이익,QoQ(%),151.0,%,KCC 2022년 1분기 실리콘 영업이익 QoQ(%)은 151%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 실리콘 | 실리콘사업부 | 영업이익 | QoQ(%) | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,실리콘,영업이익,YoY(%),97.0,%,KCC 2022년 1분기 실리콘 영업이익 YoY(%)은 97%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 실리콘 | 실리콘사업부 | 영업이익 | YoY(%) | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,실리콘,영업이익,영업이익,111478.0,백만원,"KCC 2022년 1분기 실리콘 영업이익 영업이익은 111,478백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 실리콘 | 실리콘사업부 | 영업이익 | operating profit | operating income | 영업이익률 | operating margin | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,실리콘,영업이익,영업이익률(%),12.0,%,KCC 2022년 1분기 실리콘 영업이익 영업이익률(%)은 12%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 실리콘 | 실리콘사업부 | 영업이익 | 영업이익률(%) | operating profit | operating income | 영업이익률 | operating margin | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,연결조정,영업이익,영업이익,7612.0,백만원,"KCC 2022년 1분기 연결조정 영업이익 영업이익은 7,612백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 연결조정 | 영업이익 | operating profit | operating income | 영업이익률 | operating margin | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,전사(공통),당기순이익,YoY(%),6.0,%,KCC 2022년 1분기 전사(공통) 당기순이익 YoY(%)은 6%입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 전사(공통) | 회사 전체 | 전사 | 당기순이익 | YoY(%) | %
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,전사(공통),당기순이익,당기순이익,-31721.0,백만원,"KCC 2022년 1분기 전사(공통) 당기순이익 당기순이익은 -31,721백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 전사(공통) | 회사 전체 | 전사 | 당기순이익 | 순이익 | net income | net profit | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,전사(공통),당기순이익,당기순이익,32197.0,백만원,"KCC 2022년 1분기 전사(공통) 당기순이익 당기순이익은 32,197백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 전사(공통) | 회사 전체 | 전사 | 당기순이익 | 순이익 | net income | net profit | 백만원
KCC,부문정보,2022-03-31,2022,Q1,2022 Q1,전사(공통),당기순이익,당기순이익,63919.0,백만원,"KCC 2022년 1분기 전사(공통) 당기순이익 당기순이익은 63,919백만원입니다. 기준일은 2022-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2022 | 2022년 | Q1 | 1분기 | 2022-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 전사(공통) | 회사 전체 | 전사 | 당기순이익 | 순이익 | net income | net profit | 백만원
