기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,금융수익,179436,백만원,2025년1분기_순분기|연결손익계산서|금융수익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 금융수익 | 연결손익계산서 | 순분기 | 금융수익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 금융수익은(는) 179436백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,금융원가,-230105,백만원,2025년1분기_순분기|연결손익계산서|금융원가|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 금융원가 | 연결손익계산서 | 순분기 | 금융원가 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 금융원가은(는) -230105백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,기타손실,-27922,백만원,2025년1분기_순분기|연결손익계산서|기타손실|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 기타손실 | 연결손익계산서 | 순분기 | 기타손실 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 기타손실은(는) -27922백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,기타영업외손익,16522,백만원,2025년1분기_순분기|연결손익계산서|기타영업외손익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 기타영업외손익 | 연결손익계산서 | 순분기 | 기타영업외손익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 기타영업외손익은(는) 16522백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,기타이익,44443,백만원,2025년1분기_순분기|연결손익계산서|기타이익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 기타이익 | 연결손익계산서 | 순분기 | 기타이익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 기타이익은(는) 44443백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,기타포괄손익,1016411,백만원,2025년1분기_순분기|연결손익계산서|기타포괄손익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 기타포괄손익 | 연결손익계산서 | 순분기 | 기타포괄손익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 기타포괄손익은(는) 1016411백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),-2269,백만원,2025년1분기_순분기|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 연결손익계산서 | 순분기 | 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실)은(는) -2269백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,당기순손익,44050,백만원,2025년1분기_순분기|연결손익계산서|당기순손익|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 당기순손익 | 연결손익계산서 | 순분기 | 당기순손익 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 당기순손익은(는) 44050백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,매출액,1599305,백만원,2025년1분기_순분기|연결손익계산서|매출액|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 매출액 | 연결손익계산서 | 순분기 | 매출액 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 매출액은(는) 1599305백만원입니다.
2025-03-31,2025,1분기(순분기),2025년 1분기(순분기),연결손익계산서,연결손익계산서,매출원가,1204396,백만원,2025년1분기_순분기|연결손익계산서|매출원가|백만원,2025년 1분기(순분기) | 2025년 1Q 순분기 | 2025-03-31 기준 매출원가 | 연결손익계산서 | 순분기 | 매출원가 | 백만원,2025년 1분기(순분기) 연결손익계산서 기준 매출원가은(는) 1204396백만원입니다.
