기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,금융수익,181884,백만원,2025Q4|연결손익계산서|금융수익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 금융수익 | 연결손익계산서 | 금융수익 | 백만원,2025년 4분기 연결손익계산서 기준 금융수익은 181884백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,금융원가,428508,백만원,2025Q4|연결손익계산서|금융원가|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 금융원가 | 연결손익계산서 | 금융원가 | 백만원,2025년 4분기 연결손익계산서 기준 금융원가은 428508백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,기타손실,-435429,백만원,2025Q4|연결손익계산서|기타손실|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타손실 | 연결손익계산서 | 기타손실 | 백만원,2025년 4분기 연결손익계산서 기준 기타손실은 -435429백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,기타영업외손익,-355408,백만원,2025Q4|연결손익계산서|기타영업외손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타영업외손익 | 연결손익계산서 | 기타영업외손익 | 백만원,2025년 4분기 연결손익계산서 기준 기타영업외손익은 -355408백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,기타이익,80021,백만원,2025Q4|연결손익계산서|기타이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타이익 | 연결손익계산서 | 기타이익 | 백만원,2025년 4분기 연결손익계산서 기준 기타이익은 80021백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,기타포괄손익,98902,백만원,2025Q4|연결손익계산서|기타포괄손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타포괄손익 | 연결손익계산서 | 기타포괄손익 | 백만원,2025년 4분기 연결손익계산서 기준 기타포괄손익은 98902백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),19,백만원,2025Q4|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 연결손익계산서 | 기타포괄손익-공정가치측정 금융자산평가이익(손실) | 백만원,2025년 4분기 연결손익계산서 기준 기타포괄손익-공정가치측정 금융자산평가이익(손실)은 19백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,당기순손익,274837,백만원,2025Q4|연결손익계산서|당기순손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 당기순손익 | 연결손익계산서 | 당기순손익 | 백만원,2025년 4분기 연결손익계산서 기준 당기순손익은 274837백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,매출액,1556418,백만원,2025Q4|연결손익계산서|매출액|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 매출액 | 연결손익계산서 | 매출액 | 매출 | revenue | sales | 백만원,2025년 4분기 연결손익계산서 기준 매출액은 1556418백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,매출원가,1167703,백만원,2025Q4|연결손익계산서|매출원가|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 매출원가 | 연결손익계산서 | 매출원가 | 백만원,2025년 4분기 연결손익계산서 기준 매출원가은 1167703백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,매출총이익,388715,백만원,2025Q4|연결손익계산서|매출총이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 매출총이익 | 연결손익계산서 | 매출총이익 | 백만원,2025년 4분기 연결손익계산서 기준 매출총이익은 388715백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,법인세비용(수익),292440,백만원,2025Q4|연결손익계산서|법인세비용(수익)|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 법인세비용(수익) | 연결손익계산서 | 법인세비용(수익) | 백만원,2025년 4분기 연결손익계산서 기준 법인세비용(수익)은 292440백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,법인세비용차감전순손익,567277,백만원,2025Q4|연결손익계산서|법인세비용차감전순손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 법인세비용차감전순손익 | 연결손익계산서 | 법인세비용차감전순손익 | 백만원,2025년 4분기 연결손익계산서 기준 법인세비용차감전순손익은 567277백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,순금융손익,861022,백만원,2025Q4|연결손익계산서|순금융손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 순금융손익 | 연결손익계산서 | 순금융손익 | 백만원,2025년 4분기 연결손익계산서 기준 순금융손익은 861022백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,영업이익,66527,백만원,2025Q4|연결손익계산서|영업이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 영업이익 | 연결손익계산서 | 영업이익 | operating profit | operating income | 백만원,2025년 4분기 연결손익계산서 기준 영업이익은 66527백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,재평가이익,-908663,백만원,2025Q4|연결손익계산서|재평가이익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 재평가이익 | 연결손익계산서 | 재평가이익 | 백만원,2025년 4분기 연결손익계산서 기준 재평가이익은 -908663백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,재평가잉여금,897100,백만원,2025Q4|연결손익계산서|재평가잉여금|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 재평가잉여금 | 연결손익계산서 | 재평가잉여금 | 백만원,2025년 4분기 연결손익계산서 기준 재평가잉여금은 897100백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지배기업소유주지분,274837,백만원,2025Q4|연결손익계산서|지배기업소유주지분|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지배기업소유주지분 | 연결손익계산서 | 지배기업소유주지분 | 백만원,2025년 4분기 연결손익계산서 기준 지배기업소유주지분은 274837백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지배기업소유주지분,373739,백만원,2025Q4|연결손익계산서|지배기업소유주지분|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지배기업소유주지분 | 연결손익계산서 | 지배기업소유주지분 | 백만원,2025년 4분기 연결손익계산서 기준 지배기업소유주지분은 373739백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법손익,-4864,백만원,2025Q4|연결손익계산서|지분법손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법손익 | 연결손익계산서 | 지분법손익 | 백만원,2025년 4분기 연결손익계산서 기준 지분법손익은 -4864백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법이익잉여금 ?,6796,백만원,2025Q4|연결손익계산서|지분법이익잉여금 ?|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법이익잉여금 ? | 연결손익계산서 | 지분법이익잉여금 ? | 백만원,2025년 4분기 연결손익계산서 기준 지분법이익잉여금 ?은 6796백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법자본변동,285,백만원,2025Q4|연결손익계산서|지분법자본변동|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법자본변동 | 연결손익계산서 | 지분법자본변동 | 백만원,2025년 4분기 연결손익계산서 기준 지분법자본변동은 285백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,지분법자본변동?,2915,백만원,2025Q4|연결손익계산서|지분법자본변동?|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 지분법자본변동? | 연결손익계산서 | 지분법자본변동? | 백만원,2025년 4분기 연결손익계산서 기준 지분법자본변동?은 2915백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,총포괄손익,373739,백만원,2025Q4|연결손익계산서|총포괄손익|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 총포괄손익 | 연결손익계산서 | 총포괄손익 | 백만원,2025년 4분기 연결손익계산서 기준 총포괄손익은 373739백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,판매비와관리비,322188,백만원,2025Q4|연결손익계산서|판매비와관리비|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 판매비와관리비 | 연결손익계산서 | 판매비와관리비 | 백만원,2025년 4분기 연결손익계산서 기준 판매비와관리비은 322188백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,해외사업장순투자위험회피,-6348,백만원,2025Q4|연결손익계산서|해외사업장순투자위험회피|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 해외사업장순투자위험회피 | 연결손익계산서 | 해외사업장순투자위험회피 | 백만원,2025년 4분기 연결손익계산서 기준 해외사업장순투자위험회피은 -6348백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,연결손익계산서,연결손익계산서,해외사업환산손익 등,54681,백만원,2025Q4|연결손익계산서|해외사업환산손익 등|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 해외사업환산손익 등 | 연결손익계산서 | 해외사업환산손익 등 | 백만원,2025년 4분기 연결손익계산서 기준 해외사업환산손익 등은 54681백만원이며 기준일은 2025-12-31입니다.
