분류,세부항목,기간,연도,분기,기간표준,수치,단위,search_tag
판매관리비,판매비와관리비(총액),2022-03-31,2022,Q1,2022 Q1,235126,백만원,2022Q1|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-03-31,2022,Q1,2022 Q1,67625,백만원,2022Q1|판매관리비|급여
판매관리비,퇴직급여원가,2022-03-31,2022,Q1,2022 Q1,15632,백만원,2022Q1|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-03-31,2022,Q1,2022 Q1,8813,백만원,2022Q1|판매관리비|복리후생비
판매관리비,광고선전비,2022-03-31,2022,Q1,2022 Q1,4291,백만원,2022Q1|판매관리비|광고선전비
판매관리비,감가상각비,2022-03-31,2022,Q1,2022 Q1,5845,백만원,2022Q1|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-03-31,2022,Q1,2022 Q1,9590,백만원,2022Q1|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2022-03-31,2022,Q1,2022 Q1,5626,백만원,2022Q1|판매관리비|사용권자산상각비
판매관리비,운반비,2022-03-31,2022,Q1,2022 Q1,23463,백만원,2022Q1|판매관리비|운반비
판매관리비,지급수수료,2022-03-31,2022,Q1,2022 Q1,20618,백만원,2022Q1|판매관리비|지급수수료
판매관리비,기술개발비,2022-03-31,2022,Q1,2022 Q1,40344,백만원,2022Q1|판매관리비|기술개발비
판매관리비,기타,2022-03-31,2022,Q1,2022 Q1,33280,백만원,2022Q1|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-03-31,2022,Q1,2022 Q1,95816,백만원,2022Q1|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-03-31,2022,Q1,2022 Q1,22907,백만원,2022Q1|판매관리비|급여
판매관리비,퇴직급여원가,2022-03-31,2022,Q1,2022 Q1,8748,백만원,2022Q1|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-03-31,2022,Q1,2022 Q1,4108,백만원,2022Q1|판매관리비|복리후생비
판매관리비,광고선전비,2022-03-31,2022,Q1,2022 Q1,3458,백만원,2022Q1|판매관리비|광고선전비
판매관리비,감가상각비,2022-03-31,2022,Q1,2022 Q1,1576,백만원,2022Q1|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-03-31,2022,Q1,2022 Q1,203,백만원,2022Q1|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2022-03-31,2022,Q1,2022 Q1,1808,백만원,2022Q1|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2022-03-31,2022,Q1,2022 Q1,21157,백만원,2022Q1|판매관리비|운반비
판매관리비,지급수수료,2022-03-31,2022,Q1,2022 Q1,5546,백만원,2022Q1|판매관리비|지급수수료
판매관리비,기술개발비,2022-03-31,2022,Q1,2022 Q1,17121,백만원,2022Q1|판매관리비|기술개발비
판매관리비,기타,2022-03-31,2022,Q1,2022 Q1,9183,백만원,2022Q1|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-06-30,2022,Q2,2022 Q2,250152,백만원,2022Q2|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-06-30,2022,Q2,2022 Q2,76937,백만원,2022Q2|판매관리비|급여
판매관리비,퇴직급여원가,2022-06-30,2022,Q2,2022 Q2,11524,백만원,2022Q2|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-06-30,2022,Q2,2022 Q2,8635,백만원,2022Q2|판매관리비|복리후생비
판매관리비,광고선전비,2022-06-30,2022,Q2,2022 Q2,5480,백만원,2022Q2|판매관리비|광고선전비
판매관리비,감가상각비,2022-06-30,2022,Q2,2022 Q2,4557,백만원,2022Q2|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-06-30,2022,Q2,2022 Q2,10161,백만원,2022Q2|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2022-06-30,2022,Q2,2022 Q2,5242,백만원,2022Q2|판매관리비|사용권자산상각비
판매관리비,운반비,2022-06-30,2022,Q2,2022 Q2,25836,백만원,2022Q2|판매관리비|운반비
판매관리비,지급수수료,2022-06-30,2022,Q2,2022 Q2,19173,백만원,2022Q2|판매관리비|지급수수료
판매관리비,기술개발비,2022-06-30,2022,Q2,2022 Q2,43013,백만원,2022Q2|판매관리비|기술개발비
판매관리비,기타,2022-06-30,2022,Q2,2022 Q2,39594,백만원,2022Q2|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-06-30,2022,Q2,2022 Q2,95849,백만원,2022Q2|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-06-30,2022,Q2,2022 Q2,22321,백만원,2022Q2|판매관리비|급여
판매관리비,퇴직급여원가,2022-06-30,2022,Q2,2022 Q2,3344,백만원,2022Q2|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-06-30,2022,Q2,2022 Q2,3756,백만원,2022Q2|판매관리비|복리후생비
판매관리비,광고선전비,2022-06-30,2022,Q2,2022 Q2,4489,백만원,2022Q2|판매관리비|광고선전비
판매관리비,감가상각비,2022-06-30,2022,Q2,2022 Q2,1593,백만원,2022Q2|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-06-30,2022,Q2,2022 Q2,207,백만원,2022Q2|판매관리비|무형자산상각비
판매관리비,대손상각비(대손충당금환입),2022-06-30,2022,Q2,2022 Q2,-379,백만원,2022Q2|판매관리비|대손상각비(대손충당금환입)
판매관리비,운반비,2022-06-30,2022,Q2,2022 Q2,23384,백만원,2022Q2|판매관리비|운반비
판매관리비,지급수수료,2022-06-30,2022,Q2,2022 Q2,5773,백만원,2022Q2|판매관리비|지급수수료
판매관리비,기술개발비,2022-06-30,2022,Q2,2022 Q2,16871,백만원,2022Q2|판매관리비|기술개발비
판매관리비,기타,2022-06-30,2022,Q2,2022 Q2,14489,백만원,2022Q2|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-09-30,2022,Q3,2022 Q3,261733,백만원,2022Q3|판매관리비|판매비와관리비(총액)
판매관리비,급여,2022-09-30,2022,Q3,2022 Q3,72389,백만원,2022Q3|판매관리비|급여
판매관리비,퇴직급여원가,2022-09-30,2022,Q3,2022 Q3,15509,백만원,2022Q3|판매관리비|퇴직급여원가
판매관리비,복리후생비,2022-09-30,2022,Q3,2022 Q3,9158,백만원,2022Q3|판매관리비|복리후생비
판매관리비,광고선전비,2022-09-30,2022,Q3,2022 Q3,8268,백만원,2022Q3|판매관리비|광고선전비
판매관리비,감가상각비,2022-09-30,2022,Q3,2022 Q3,4246,백만원,2022Q3|판매관리비|감가상각비
판매관리비,무형자산상각비,2022-09-30,2022,Q3,2022 Q3,10617,백만원,2022Q3|판매관리비|무형자산상각비
판매관리비,사용권자산상각비,2022-09-30,2022,Q3,2022 Q3,5509,백만원,2022Q3|판매관리비|사용권자산상각비
판매관리비,운반비,2022-09-30,2022,Q3,2022 Q3,26569,백만원,2022Q3|판매관리비|운반비
판매관리비,지급수수료,2022-09-30,2022,Q3,2022 Q3,27975,백만원,2022Q3|판매관리비|지급수수료
판매관리비,기술개발비,2022-09-30,2022,Q3,2022 Q3,48104,백만원,2022Q3|판매관리비|기술개발비
판매관리비,기타,2022-09-30,2022,Q3,2022 Q3,33389,백만원,2022Q3|판매관리비|기타
판매관리비,판매비와관리비(총액),2022-09-30,2022,Q3,2022 Q3,90806,백만원,2022Q3|판매관리비|판매비와관리비(총액)
