분류	항목	기간	수치	단위
매출액	매출액 (총계)	1Q21	"1,362,497"	백만원
영업이익	영업이익 (총계)	1Q21	"77,353"	백만원
영업이익 - 실리콘	실리콘 영업이익	1Q21	"56,691"	백만원
영업이익 - 건자재	건자재 영업이익	1Q21	"14,111"	백만원
영업이익 - 도료	도료 영업이익	1Q21	"7,557"	백만원
영업이익 - 기타	기타 영업이익	1Q21	"-5,538"	백만원
당기순이익	당기순이익 (총계)	1Q21	"30,431"	백만원
매출액	매출액 (총계)	2Q21	"1,512,674"	백만원
영업이익	영업이익 (총계)	2Q21	"116,987"	백만원
영업이익 - 실리콘	실리콘 영업이익	2Q21	"79,633"	백만원
영업이익 - 건자재	건자재 영업이익	2Q21	"21,595"	백만원
영업이익 - 도료	도료 영업이익	2Q21	"11,476"	백만원
영업이익 - 기타	기타 영업이익	2Q21	"-3,451"	백만원
당기순이익	당기순이익 (총계)	2Q21	"380,919"	백만원
매출액	매출액 (총계)	3Q21	"1,489,988"	백만원
영업이익	영업이익 (총계)	3Q21	"120,039"	백만원
영업이익 - 실리콘	실리콘 영업이익	3Q21	"88,344"	백만원
영업이익 - 건자재	건자재 영업이익	3Q21	"20,018"	백만원
영업이익 - 도료	도료 영업이익	3Q21	"10,864"	백만원
영업이익 - 기타	기타 영업이익	3Q21	"3,697"	백만원
당기순이익	당기순이익 (총계)	3Q21	"-232,380"	백만원
매출액	매출액 (총계)	4Q21	"1,509,740"	백만원
영업이익	영업이익 (총계)	4Q21	"74,390"	백만원
영업이익 - 실리콘	실리콘 영업이익	4Q21	"44,488"	백만원
영업이익 - 건자재	건자재 영업이익	4Q21	"21,546"	백만원
영업이익 - 도료	도료 영업이익	4Q21	"-3,608"	백만원
영업이익 - 기타	기타 영업이익	4Q21	"1,519"	백만원
당기순이익	당기순이익 (총계)	4Q21	"-232,181"	백만원
매출액	매출액 (총계)	1Q22	"1,637,578"	백만원
매출액	QoQ(%)	1Q22	0.009	백만원
매출액	YoY(%)	1Q22	0.02	백만원
매출액	실리콘	1Q22	"938,388"	백만원
매출액	건자재	1Q22	"249,720"	백만원
