재무계정,사업부,상세항목,기간,수치,단위
매출액,전사(공통),매출액 (총계),2021-03-31,1362497,백만원
영업이익,전사(공통),영업이익 (총계),2021-03-31,77353,백만원
영업이익,실리콘,영업이익,2021-03-31,56691,백만원
영업이익,건자재,영업이익,2021-03-31,14111,백만원
영업이익,도료,영업이익,2021-03-31,7557,백만원
영업이익,기타,영업이익,2021-03-31,-5538,백만원
당기순이익,전사(공통),당기순이익 (총계),2021-03-31,30431,백만원
매출액,전사(공통),매출액 (총계),2021-06-30,1512674,백만원
영업이익,전사(공통),영업이익 (총계),2021-06-30,116987,백만원
영업이익,실리콘,영업이익,2021-06-30,79633,백만원
영업이익,건자재,영업이익,2021-06-30,21595,백만원
영업이익,도료,영업이익,2021-06-30,11476,백만원
영업이익,기타,영업이익,2021-06-30,-3451,백만원
당기순이익,전사(공통),당기순이익 (총계),2021-06-30,380919,백만원
매출액,전사(공통),매출액 (총계),2021-09-30,1489988,백만원
영업이익,전사(공통),영업이익 (총계),2021-09-30,120039,백만원
영업이익,실리콘,영업이익,2021-09-30,88344,백만원
영업이익,건자재,영업이익,2021-09-30,20018,백만원
영업이익,도료,영업이익,2021-09-30,10864,백만원
영업이익,기타,영업이익,2021-09-30,3697,백만원
당기순이익,전사(공통),당기순이익 (총계),2021-09-30,-232380,백만원
매출액,전사(공통),매출액 (총계),2021-12-31,1509740,백만원
영업이익,전사(공통),영업이익 (총계),2021-12-31,74390,백만원
영업이익,실리콘,영업이익,2021-12-31,44488,백만원
영업이익,건자재,영업이익,2021-12-31,21546,백만원
영업이익,도료,영업이익,2021-12-31,-3608,백만원
영업이익,기타,영업이익,2021-12-31,1519,백만원
당기순이익,전사(공통),당기순이익 (총계),2021-12-31,-232181,백만원
매출액,전사(공통),매출액 (총계),2022-03-31,1637578,백만원
매출액,전사(공통),QoQ(%),2022-03-31,0.009,백만원
매출액,전사(공통),YoY(%),2022-03-31,0.02,백만원
매출액,실리콘,실리콘,2022-03-31,938388,백만원
매출액,건자재,건자재,2022-03-31,249720,백만원
