재무제표,계정과목,기간,연도,분기,기간표준,금액,단위,search_tag
연결손익계산서,매출액,1Q22,2022,Q1,2022 Q1,1637578,백만원,2022Q1|연결손익계산서|매출액
연결손익계산서,매출원가,1Q22,2022,Q1,2022 Q1,1253045,백만원,2022Q1|연결손익계산서|매출원가
연결손익계산서,매출총이익,1Q22,2022,Q1,2022 Q1,384534,백만원,2022Q1|연결손익계산서|매출총이익
연결손익계산서,판매비와관리비,1Q22,2022,Q1,2022 Q1,235126,백만원,2022Q1|연결손익계산서|판매비와관리비
연결손익계산서,영업이익,1Q22,2022,Q1,2022 Q1,149408,백만원,2022Q1|연결손익계산서|영업이익
연결손익계산서,지분법손익,1Q22,2022,Q1,2022 Q1,11768,백만원,2022Q1|연결손익계산서|지분법손익
연결손익계산서,순금융손익,1Q22,2022,Q1,2022 Q1,-77425,백만원,2022Q1|연결손익계산서|순금융손익
연결손익계산서,금융수익,1Q22,2022,Q1,2022 Q1,172654,백만원,2022Q1|연결손익계산서|금융수익
연결손익계산서,금융원가,1Q22,2022,Q1,2022 Q1,-250079,백만원,2022Q1|연결손익계산서|금융원가
연결손익계산서,기타영업외손익,1Q22,2022,Q1,2022 Q1,1085,백만원,2022Q1|연결손익계산서|기타영업외손익
연결손익계산서,기타이익,1Q22,2022,Q1,2022 Q1,25511,백만원,2022Q1|연결손익계산서|기타이익
연결손익계산서,기타손실,1Q22,2022,Q1,2022 Q1,-24426,백만원,2022Q1|연결손익계산서|기타손실
연결손익계산서,법인세비용차감전순손익,1Q22,2022,Q1,2022 Q1,84836,백만원,2022Q1|연결손익계산서|법인세비용차감전순손익
연결손익계산서,법인세비용(수익),1Q22,2022,Q1,2022 Q1,52638,백만원,2022Q1|연결손익계산서|법인세비용(수익)
연결손익계산서,당기순손익,1Q22,2022,Q1,2022 Q1,32197,백만원,2022Q1|연결손익계산서|당기순손익
연결손익계산서,기타포괄손익,1Q22,2022,Q1,2022 Q1,76744,백만원,2022Q1|연결손익계산서|기타포괄손익
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q22,2022,Q1,2022 Q1,75600,백만원,2022Q1|연결손익계산서|후속기간에 당기손익으로 재분류되는 항목
연결손익계산서,지분법자본변동?,1Q22,2022,Q1,2022 Q1,11767,백만원,2022Q1|연결손익계산서|지분법자본변동?
연결손익계산서,현금흐름위험회피,1Q22,2022,Q1,2022 Q1,53724,백만원,2022Q1|연결손익계산서|현금흐름위험회피
연결손익계산서,해외사업환산손익 등,1Q22,2022,Q1,2022 Q1,10110,백만원,2022Q1|연결손익계산서|해외사업환산손익 등
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q22,2022,Q1,2022 Q1,1143,백만원,2022Q1|연결손익계산서|후속기간에 당기손익으로 재분류되지 않는 항목
연결손익계산서,확정급여제도의 재측정요소,1Q22,2022,Q1,2022 Q1,-150,백만원,2022Q1|연결손익계산서|확정급여제도의 재측정요소
연결손익계산서,지분법이익잉여금 ?,1Q22,2022,Q1,2022 Q1,-208,백만원,2022Q1|연결손익계산서|지분법이익잉여금 ?
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q22,2022,Q1,2022 Q1,1501,백만원,2022Q1|연결손익계산서|기타포괄손익-공정가치측정 금융자산평가이익(손실)
연결손익계산서,총포괄손익,1Q22,2022,Q1,2022 Q1,108941,백만원,2022Q1|연결손익계산서|총포괄손익
