지표,산출기준,기간,수치,단위
유동비율,(유동자산/유동부채)*100,2017-03-31,130.80,%
유동자산,,2017-03-31," 2,146,276,443,846 ",원
유동부채,,2017-03-31," 1,641,337,595,307 ",원
부채비율,(부채총계/자기자본)*100,2017-03-31,52.80,%
부채총계,,2017-03-31," 3,162,798,897,681 ",원
자기자본,,2017-03-31," 5,986,755,027,008 ",원
자기자본비율,(자기자본/총자산)*100,2017-03-31,65.40,%
자기자본,,2017-03-31," 5,986,755,027,008 ",원
자산총계,,2017-03-31," 9,149,553,924,689 ",원
차입금의존도,(차입금/총자산)*100,2017-03-31,21.10,%
차입금,,2017-03-31," 1,931,262,270,000 ",원
자산총계,,2017-03-31," 9,149,553,924,689 ",원
총자산이익률,(당기순이익/총자산)*100,2017-03-31,0.40,%
당기순이익,,2017-03-31," 34,114,104,962 ",원
자산총계,,2017-03-31," 9,149,553,924,689 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2017-03-31,0.60,%
당기순이익,,2017-03-31," 34,114,104,962 ",원
자기자본,,2017-03-31," 5,986,755,027,008 ",원
당기순이익,,2017-03-31," 34,114,104,962 ",원
자산총계,,2017-03-31," 9,149,553,924,689 ",원
유동비율,(유동자산/유동부채)*100,2017-06-30,100.30,%
유동자산,,2017-06-30," 2,330,469,860,624 ",원
유동부채,,2017-06-30," 2,323,008,240,238 ",원
부채비율,(부채총계/자기자본)*100,2017-06-30,53.60,%
부채총계,,2017-06-30," 3,521,438,132,920 ",원
자기자본,,2017-06-30," 6,571,665,568,081 ",원
자기자본비율,(자기자본/총자산)*100,2017-06-30,65.10,%
자기자본,,2017-06-30," 6,571,665,568,081 ",원
자산총계,,2017-06-30," 10,093,103,701,001 ",원
차입금의존도,(차입금/총자산)*100,2017-06-30,20.80,%
차입금,,2017-06-30," 2,103,819,505,000 ",원
자산총계,,2017-06-30," 10,093,103,701,001 ",원
총자산이익률,(당기순이익/총자산)*100,2017-06-30,1.00,%
당기순이익,,2017-06-30," 104,150,709,029 ",원
자산총계,,2017-06-30," 10,093,103,701,001 ",원
자기자본순이익률(roe),(당기순이익/자기자본)*100,2017-06-30,1.60,%
당기순이익,,2017-06-30," 104,150,709,029 ",원
