기준일,연도,분기,기간표준,데이터구분,구분,항목,수치,단위,search_tag,search_text,fact_text
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타부채,785230,백만원,2025Q4|재무상태표|기타부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타부채 | 재무상태표 | 연결재무상태표 | 기타부채 | 백만원,2025년 4분기 연결재무상태표 기준 기타부채은 785230백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타부채,262319,백만원,2025Q4|재무상태표|기타부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타부채 | 재무상태표 | 연결재무상태표 | 기타부채 | 백만원,2025년 4분기 연결재무상태표 기준 기타부채은 262319백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타비유동금융부채,11164,백만원,2025Q4|재무상태표|기타비유동금융부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타비유동금융부채 | 재무상태표 | 연결재무상태표 | 기타비유동금융부채 | 백만원,2025년 4분기 연결재무상태표 기준 기타비유동금융부채은 11164백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타비유동금융자산,5459062,백만원,2025Q4|재무상태표|기타비유동금융자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타비유동금융자산 | 재무상태표 | 연결재무상태표 | 기타비유동금융자산 | 백만원,2025년 4분기 연결재무상태표 기준 기타비유동금융자산은 5459062백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타유동금융부채,275329,백만원,2025Q4|재무상태표|기타유동금융부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타유동금융부채 | 재무상태표 | 연결재무상태표 | 기타유동금융부채 | 백만원,2025년 4분기 연결재무상태표 기준 기타유동금융부채은 275329백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타유동금융자산,97,백만원,2025Q4|재무상태표|기타유동금융자산|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타유동금융자산 | 재무상태표 | 연결재무상태표 | 기타유동금융자산 | 백만원,2025년 4분기 연결재무상태표 기준 기타유동금융자산은 97백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타장기종업원급여부채,62228,백만원,2025Q4|재무상태표|기타장기종업원급여부채|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타장기종업원급여부채 | 재무상태표 | 연결재무상태표 | 기타장기종업원급여부채 | 백만원,2025년 4분기 연결재무상태표 기준 기타장기종업원급여부채은 62228백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타채권,84639,백만원,2025Q4|재무상태표|기타채권|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타채권 | 재무상태표 | 연결재무상태표 | 기타채권 | 백만원,2025년 4분기 연결재무상태표 기준 기타채권은 84639백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,기타포괄손익누계액,1004614,백만원,2025Q4|재무상태표|기타포괄손익누계액|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 기타포괄손익누계액 | 재무상태표 | 연결재무상태표 | 기타포괄손익누계액 | 백만원,2025년 4분기 연결재무상태표 기준 기타포괄손익누계액은 1004614백만원이며 기준일은 2025-12-31입니다.
2025-12-31,2025,Q4,2025 Q4,재무상태표,연결재무상태표,단기금융상품,36839,백만원,2025Q4|재무상태표|단기금융상품|백만원,2025 Q4 | 2025년 Q4 | 2025년 4분기 | 2025-12-31 기준 단기금융상품 | 재무상태표 | 연결재무상태표 | 단기금융상품 | 백만원,2025년 4분기 연결재무상태표 기준 단기금융상품은 36839백만원이며 기준일은 2025-12-31입니다.
