계정과목,기간,연도,분기,기간표준,금액,단위,search_tag
유동자산,1Q23,2023,Q1,2023 Q1,4221562,백만원,2023Q1|유동자산
현금및현금성자산,1Q23,2023,Q1,2023 Q1,830351,백만원,2023Q1|현금및현금성자산
단기금융상품,1Q23,2023,Q1,2023 Q1,488875,백만원,2023Q1|단기금융상품
매출채권,1Q23,2023,Q1,2023 Q1,1104325,백만원,2023Q1|매출채권
기타채권,1Q23,2023,Q1,2023 Q1,146979,백만원,2023Q1|기타채권
선급금,1Q23,2023,Q1,2023 Q1,17795,백만원,2023Q1|선급금
선급비용,1Q23,2023,Q1,2023 Q1,41386,백만원,2023Q1|선급비용
기타유동금융자산,1Q23,2023,Q1,2023 Q1,3405,백만원,2023Q1|기타유동금융자산
미수법인세환급액,1Q23,2023,Q1,2023 Q1,2619,백만원,2023Q1|미수법인세환급액
재고자산,1Q23,2023,Q1,2023 Q1,1585827,백만원,2023Q1|재고자산
비유동자산,1Q23,2023,Q1,2023 Q1,9083349,백만원,2023Q1|비유동자산
장기매출채권,1Q23,2023,Q1,2023 Q1,881,백만원,2023Q1|장기매출채권
장기기타채권,1Q23,2023,Q1,2023 Q1,78015,백만원,2023Q1|장기기타채권
장기선급비용,1Q23,2023,Q1,2023 Q1,9758,백만원,2023Q1|장기선급비용
기타비유동금융자산,1Q23,2023,Q1,2023 Q1,2302180,백만원,2023Q1|기타비유동금융자산
지분법적용 투자지분,1Q23,2023,Q1,2023 Q1,892242,백만원,2023Q1|지분법적용 투자지분
사용권자산,1Q23,2023,Q1,2023 Q1,191944,백만원,2023Q1|사용권자산
유형자산,1Q23,2023,Q1,2023 Q1,3515797,백만원,2023Q1|유형자산
무형자산,1Q23,2023,Q1,2023 Q1,429281,백만원,2023Q1|무형자산
영업권,1Q23,2023,Q1,2023 Q1,898110,백만원,2023Q1|영업권
투자부동산,1Q23,2023,Q1,2023 Q1,712524,백만원,2023Q1|투자부동산
이연법인세자산,1Q23,2023,Q1,2023 Q1,15705,백만원,2023Q1|이연법인세자산
순확정급여자산,1Q23,2023,Q1,2023 Q1,36913,백만원,2023Q1|순확정급여자산
자산총계,1Q23,2023,Q1,2023 Q1,13304911,백만원,2023Q1|자산총계
유동부채,1Q23,2023,Q1,2023 Q1,3507063,백만원,2023Q1|유동부채
매입채무,1Q23,2023,Q1,2023 Q1,673641,백만원,2023Q1|매입채무
단기차입금,1Q23,2023,Q1,2023 Q1,1029632,백만원,2023Q1|단기차입금
유동성장기차입금,1Q23,2023,Q1,2023 Q1,411082,백만원,2023Q1|유동성장기차입금
유동성사채,1Q23,2023,Q1,2023 Q1,469846,백만원,2023Q1|유동성사채
기타부채,1Q23,2023,Q1,2023 Q1,788270,백만원,2023Q1|기타부채
유동충당부채,1Q23,2023,Q1,2023 Q1,8018,백만원,2023Q1|유동충당부채
미지급법인세,1Q23,2023,Q1,2023 Q1,126573,백만원,2023Q1|미지급법인세
비유동부채,1Q23,2023,Q1,2023 Q1,4264196,백만원,2023Q1|비유동부채
장기차입금,1Q23,2023,Q1,2023 Q1,2387341,백만원,2023Q1|장기차입금
비유동사채,1Q23,2023,Q1,2023 Q1,798673,백만원,2023Q1|비유동사채
기타부채,1Q23,2023,Q1,2023 Q1,246073,백만원,2023Q1|기타부채
기타비유동금융부채,1Q23,2023,Q1,2023 Q1,31578,백만원,2023Q1|기타비유동금융부채
순확정급여부채,1Q23,2023,Q1,2023 Q1,277413,백만원,2023Q1|순확정급여부채
기타장기종업원급여부채,1Q23,2023,Q1,2023 Q1,20549,백만원,2023Q1|기타장기종업원급여부채
비유동충당부채,1Q23,2023,Q1,2023 Q1,15566,백만원,2023Q1|비유동충당부채
이연법인세부채,1Q23,2023,Q1,2023 Q1,487002,백만원,2023Q1|이연법인세부채
부채총계,1Q23,2023,Q1,2023 Q1,7771259,백만원,2023Q1|부채총계
지배기업소유지분,1Q23,2023,Q1,2023 Q1,5119407,백만원,2023Q1|지배기업소유지분
자본금,1Q23,2023,Q1,2023 Q1,48085,백만원,2023Q1|자본금
자본잉여금,1Q23,2023,Q1,2023 Q1,552913,백만원,2023Q1|자본잉여금
자본조정,1Q23,2023,Q1,2023 Q1,-304847,백만원,2023Q1|자본조정
기타포괄손익누계액,1Q23,2023,Q1,2023 Q1,68772,백만원,2023Q1|기타포괄손익누계액
이익잉여금,1Q23,2023,Q1,2023 Q1,4754485,백만원,2023Q1|이익잉여금
　비지배지분,1Q23,2023,Q1,2023 Q1,414246,백만원,2023Q1|　비지배지분
자본총계,1Q23,2023,Q1,2023 Q1,5533652,백만원,2023Q1|자본총계
부채 및 자본총계,1Q23,2023,Q1,2023 Q1,13304911,백만원,2023Q1|부채 및 자본총계
유동자산,2Q23,2023,Q2,2023 Q2,4296129,백만원,2023Q2|유동자산
현금및현금성자산,2Q23,2023,Q2,2023 Q2,973610,백만원,2023Q2|현금및현금성자산
단기금융상품,2Q23,2023,Q2,2023 Q2,540230,백만원,2023Q2|단기금융상품
매출채권,2Q23,2023,Q2,2023 Q2,1082310,백만원,2023Q2|매출채권
기타채권,2Q23,2023,Q2,2023 Q2,105148,백만원,2023Q2|기타채권
선급금,2Q23,2023,Q2,2023 Q2,20966,백만원,2023Q2|선급금
선급비용,2Q23,2023,Q2,2023 Q2,34289,백만원,2023Q2|선급비용
기타유동금융자산,2Q23,2023,Q2,2023 Q2,5060,백만원,2023Q2|기타유동금융자산
미수법인세환급액,2Q23,2023,Q2,2023 Q2,1256,백만원,2023Q2|미수법인세환급액
재고자산,2Q23,2023,Q2,2023 Q2,1533259,백만원,2023Q2|재고자산
비유동자산,2Q23,2023,Q2,2023 Q2,9108642,백만원,2023Q2|비유동자산
장기매출채권,2Q23,2023,Q2,2023 Q2,1561,백만원,2023Q2|장기매출채권
장기기타채권,2Q23,2023,Q2,2023 Q2,80634,백만원,2023Q2|장기기타채권
장기선급비용,2Q23,2023,Q2,2023 Q2,9328,백만원,2023Q2|장기선급비용
기타비유동금융자산,2Q23,2023,Q2,2023 Q2,2374118,백만원,2023Q2|기타비유동금융자산
지분법적용 투자지분,2Q23,2023,Q2,2023 Q2,878039,백만원,2023Q2|지분법적용 투자지분
사용권자산,2Q23,2023,Q2,2023 Q2,184841,백만원,2023Q2|사용권자산
유형자산,2Q23,2023,Q2,2023 Q2,3500252,백만원,2023Q2|유형자산
무형자산,2Q23,2023,Q2,2023 Q2,418000,백만원,2023Q2|무형자산
