항목,기간,수치,단위
매출액,2017-03-31," 842,957,205,657 ",원
영업이익,2017-03-31," 71,202,233,197 ",원
감가상각비,2017-03-31," 50,930,657,067 ",원
무형자산상각비,2017-03-31," 390,107,766 ",원
대손상각비,2017-03-31," 4,095,306,208 ",원
퇴직급여,2017-03-31," 10,613,484,400 ",원
EBITDA,2017-03-31," 137,231,788,638 ",원
당기순이익,2017-03-31," 34,114,104,962 ",원
자산총계,2017-03-31," 9,149,553,924,689 ",원
총차입금,2017-03-31," 1,931,262,270,000 ",원
차입금,2017-03-31," 1,931,262,270,000 ",원
순차입금,2017-03-31," 1,225,167,940,877 ",원
현금및현금성자산,2017-03-31," 500,723,954,466 ",원
단기금융상품,2017-03-31," 205,370,374,657 ",원
영업이익률,2017-03-31,8.40,%
EBITDA/매출액,2017-03-31,16.30,%
EBITDA/이자비용,2017-03-31,11.20,%
이자비용,2017-03-31," 12,298,092,376 ",원
총차입금/EBITDA(배),2017-03-31,3.50,배
순차입금/EBITDA(배),2017-03-31,2.20,배
부채비율,2017-03-31,52.80,%
부채총계,2017-03-31," 3,162,800,000,000 ",원
자본총계,2017-03-31," 5,986,760,000,000 ",원
차입금의존도,2017-03-31,21.10,%
OCF(총영업현금흐름),2017-03-31," 86,002,531,048 ",원
영업활동현금흐름,2017-03-31," 70,505,356,520 ",원
   영업활동으로인한자산ㆍ부채의변동,2017-03-31,"-24,570,634,466 ",원
   이자수취,2017-03-31," 3,443,178,962 ",원
   이자지급,2017-03-31,"-12,516,638,900 ",원
(-)운전자본투자,2017-03-31,"-24,570,634,466 ",원
NCF(순영업현금흐름),2017-03-31," 61,431,896,582 ",원
(-)자본적지출,2017-03-31,"-96,892,234,383 ",원
   유형자산의 취득,2017-03-31,"-96,748,701,032 ",원
   무형자산의 취득,2017-03-31,"-143,533,351 ",원
FCF(잉여현금흐름),2017-03-31," 158,324,000,000 ",원
영업이익,2017-03-31," 71,202,233,197 ",원
세전손익,2017-03-31," 44,710,135,092 ",원
