기준일,연도,분기,기간표준,지표,수치,단위,산출기준,search_tag,search_text,fact_text
2020-12-31,2020,Q4,2020 Q4,유동비율,111.9,%,(유동자산/유동부채)*100,2020Q4|주요재무지표|유동비율|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 유동비율 | 주요재무지표 | 유동비율 | current ratio | % | (유동자산/유동부채)*100,2020년 4분기 주요재무지표 기준 유동비율은 111.9%입니다. 산출기준은 (유동자산/유동부채)*100입니다.
2020-12-31,2020,Q4,2020 Q4,유동자산,3372156.0,백만원,,2020Q4|주요재무지표|유동자산|백만원,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 유동자산 | 주요재무지표 | 유동자산 | current assets | 백만원,2020년 4분기 주요재무지표 기준 유동자산은 3372156.0백만원입니다.
2020-12-31,2020,Q4,2020 Q4,유동부채,3014059.0,백만원,,2020Q4|주요재무지표|유동부채|백만원,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 유동부채 | 주요재무지표 | 유동부채 | current liabilities | 백만원,2020년 4분기 주요재무지표 기준 유동부채은 3014059.0백만원입니다.
2020-12-31,2020,Q4,2020 Q4,부채비율,135.4,%,(부채총계/자기자본)*100,2020Q4|주요재무지표|부채비율|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 부채비율 | 주요재무지표 | 부채비율 | debt ratio | % | (부채총계/자기자본)*100,2020년 4분기 주요재무지표 기준 부채비율은 135.4%입니다. 산출기준은 (부채총계/자기자본)*100입니다.
2020-12-31,2020,Q4,2020 Q4,부채총계,7101577.0,백만원,,2020Q4|주요재무지표|부채총계|백만원,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 부채총계 | 주요재무지표 | 부채총계 | total liabilities | 총부채 | 백만원,2020년 4분기 주요재무지표 기준 부채총계은 7101577.0백만원입니다.
2020-12-31,2020,Q4,2020 Q4,자기자본,5245995.0,백만원,,2020Q4|주요재무지표|자기자본|백만원,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 자기자본 | 주요재무지표 | 자기자본 | equity | 자본 | equity ratio | 백만원,2020년 4분기 주요재무지표 기준 자기자본은 5245995.0백만원입니다.
2020-12-31,2020,Q4,2020 Q4,자기자본비율,42.5,%,(자기자본/총자산)*100,2020Q4|주요재무지표|자기자본비율|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 자기자본비율 | 주요재무지표 | 자기자본비율 | equity | 자본 | equity ratio | % | (자기자본/총자산)*100,2020년 4분기 주요재무지표 기준 자기자본비율은 42.5%입니다. 산출기준은 (자기자본/총자산)*100입니다.
2020-12-31,2020,Q4,2020 Q4,자산총계,12347572.0,백만원,,2020Q4|주요재무지표|자산총계|백만원,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 자산총계 | 주요재무지표 | 자산총계 | total assets | 총자산 | assets | 백만원,2020년 4분기 주요재무지표 기준 자산총계은 12347572.0백만원입니다.
2020-12-31,2020,Q4,2020 Q4,차입금의존도,35.3,%,(차입금/총자산)*100,2020Q4|주요재무지표|차입금의존도|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 차입금의존도 | 주요재무지표 | 차입금의존도 | borrowings dependence | borrowings | debt | % | (차입금/총자산)*100,2020년 4분기 주요재무지표 기준 차입금의존도은 35.3%입니다. 산출기준은 (차입금/총자산)*100입니다.
2020-12-31,2020,Q4,2020 Q4,차입금,4356258.0,백만원,,2020Q4|주요재무지표|차입금|백만원,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 차입금 | 주요재무지표 | 차입금 | borrowings dependence | borrowings | debt | 백만원,2020년 4분기 주요재무지표 기준 차입금은 4356258.0백만원입니다.
2020-12-31,2020,Q4,2020 Q4,총자산이익률,4.5,%,(당기순이익/총자산)*100,2020Q4|주요재무지표|총자산이익률|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 총자산이익률 | 주요재무지표 | 총자산이익률 | % | (당기순이익/총자산)*100,2020년 4분기 주요재무지표 기준 총자산이익률은 4.5%입니다. 산출기준은 (당기순이익/총자산)*100입니다.
2020-12-31,2020,Q4,2020 Q4,당기순이익,560873.0,백만원,,2020Q4|주요재무지표|당기순이익|백만원,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 당기순이익 | 주요재무지표 | 당기순이익 | 백만원,2020년 4분기 주요재무지표 기준 당기순이익은 560873.0백만원입니다.
2020-12-31,2020,Q4,2020 Q4,자기자본순이익률(roe),10.7,%,(당기순이익/자기자본)*100,2020Q4|주요재무지표|자기자본순이익률(roe)|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 자기자본순이익률(roe) | 주요재무지표 | 자기자본순이익률(roe) | equity | 자본 | % | (당기순이익/자기자본)*100,2020년 4분기 주요재무지표 기준 자기자본순이익률(roe)은 10.7%입니다. 산출기준은 (당기순이익/자기자본)*100입니다.
2020-12-31,2020,Q4,2020 Q4,당기순이익증가율,,%,((당기-전기순이익)/전기순이익)*100,2020Q4|주요재무지표|당기순이익증가율|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 당기순이익증가율 | 주요재무지표 | 당기순이익증가율 | % | ((당기-전기순이익)/전기순이익)*100,2020년 4분기 주요재무지표 기준 당기순이익증가율은 nan%입니다. 산출기준은 ((당기-전기순이익)/전기순이익)*100입니다.
2020-12-31,2020,Q4,2020 Q4,총자산증가율,31.6,%,((당기말-전기말총자산)/전기말총자산)*100,2020Q4|주요재무지표|총자산증가율|%,2020 Q4 | 2020년 Q4 | 2020년 4분기 | 2020-12-31 기준 총자산증가율 | 주요재무지표 | 총자산증가율 | % | ((당기말-전기말총자산)/전기말총자산)*100,2020년 4분기 주요재무지표 기준 총자산증가율은 31.6%입니다. 산출기준은 ((당기말-전기말총자산)/전기말총자산)*100입니다.
2021-12-31,2021,Q4,2021 Q4,유동비율,135.9,%,(유동자산/유동부채)*100,2021Q4|주요재무지표|유동비율|%,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 유동비율 | 주요재무지표 | 유동비율 | current ratio | % | (유동자산/유동부채)*100,2021년 4분기 주요재무지표 기준 유동비율은 135.9%입니다. 산출기준은 (유동자산/유동부채)*100입니다.
2021-12-31,2021,Q4,2021 Q4,유동자산,3668126.0,백만원,,2021Q4|주요재무지표|유동자산|백만원,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 유동자산 | 주요재무지표 | 유동자산 | current assets | 백만원,2021년 4분기 주요재무지표 기준 유동자산은 3668126.0백만원입니다.
2021-12-31,2021,Q4,2021 Q4,유동부채,2699972.0,백만원,,2021Q4|주요재무지표|유동부채|백만원,2021 Q4 | 2021년 Q4 | 2021년 4분기 | 2021-12-31 기준 유동부채 | 주요재무지표 | 유동부채 | current liabilities | 백만원,2021년 4분기 주요재무지표 기준 유동부채은 2699972.0백만원입니다.
