기준일	연도	분기	기간표준	지표	수치	단위	search_tag	search_text	fact_text
2025-12-31	2025	연도말	2025년말	당기순이익	1538496	백만원	2025년말|주요재무지표|당기순이익|백만원	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 당기순이익 | 주요재무지표 | 당기순이익 | 백만원	2025년말 주요재무지표 기준 당기순이익은 1538496.0백만원입니다.
2025-12-31	2025	연도말	2025년말	당기순이익증가율	371.1	%	2025년말|주요재무지표|당기순이익증가율|%	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 당기순이익증가율 | 주요재무지표 | 당기순이익증가율 | % | ((당기-전기순이익)/전기순이익)*100	2025년말 주요재무지표 기준 당기순이익증가율은 371.1%입니다. 산출기준은 ((당기-전기순이익)/전기순이익)*100입니다.
2025-12-31	2025	연도말	2025년말	부채비율	114.8	%	2025년말|주요재무지표|부채비율|%	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 부채비율 | 주요재무지표 | 부채비율 | debt ratio | % | (부채총계/자기자본)*100	2025년말 주요재무지표 기준 부채비율은 114.8%입니다. 산출기준은 (부채총계/자기자본)*100입니다.
2025-12-31	2025	연도말	2025년말	부채총계	8979074	백만원	2025년말|주요재무지표|부채총계|백만원	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 부채총계 | 주요재무지표 | 부채총계 | total liabilities | 총부채 | 백만원	2025년말 주요재무지표 기준 부채총계은 8979074.0백만원입니다.
2025-12-31	2025	연도말	2025년말	유동부채	3982446	백만원	2025년말|주요재무지표|유동부채|백만원	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 유동부채 | 주요재무지표 | 유동부채 | current liabilities | 백만원	2025년말 주요재무지표 기준 유동부채은 3982446.0백만원입니다.
2025-12-31	2025	연도말	2025년말	유동비율	100	%	2025년말|주요재무지표|유동비율|%	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 유동비율 | 주요재무지표 | 유동비율 | current ratio | % | (유동자산/유동부채)*100	2025년말 주요재무지표 기준 유동비율은 100.0%입니다. 산출기준은 (유동자산/유동부채)*100입니다.
2025-12-31	2025	연도말	2025년말	유동자산	3982830	백만원	2025년말|주요재무지표|유동자산|백만원	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 유동자산 | 주요재무지표 | 유동자산 | current assets | 백만원	2025년말 주요재무지표 기준 유동자산은 3982830.0백만원입니다.
2025-12-31	2025	연도말	2025년말	자기자본	7824486	백만원	2025년말|주요재무지표|자기자본|백만원	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 자기자본 | 주요재무지표 | 자기자본 | equity | 자본 | equity ratio | 백만원	2025년말 주요재무지표 기준 자기자본은 7824486.0백만원입니다.
2025-12-31	2025	연도말	2025년말	자기자본비율	46.6	%	2025년말|주요재무지표|자기자본비율|%	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 자기자본비율 | 주요재무지표 | 자기자본비율 | equity | 자본 | equity ratio | % | (자기자본/총자산)*100	2025년말 주요재무지표 기준 자기자본비율은 46.6%입니다. 산출기준은 (자기자본/총자산)*100입니다.
2025-12-31	2025	연도말	2025년말	자기자본순이익률(roe)	19.7	%	2025년말|주요재무지표|자기자본순이익률(roe)|%	2025년말 | 2025년말 | 2025년말 | 2025-12-31 기준 자기자본순이익률(roe) | 주요재무지표 | 자기자본순이익률(roe) | equity | 자본 | % | (당기순이익/자기자본)*100	2025년말 주요재무지표 기준 자기자본순이익률(roe)은 19.7%입니다. 산출기준은 (당기순이익/자기자본)*100입니다.
