 연결손익계산서 (K-IFRS),,,,,,,,,,,,,,,,,,,,,, 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 원),
,,,,,,,,,,,,,,,,,,,,,,(단위: 백만원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(단위 : 원),,,,제 68 기 1분기,,제 68 기 반기,,제 68 기 3분기,,제 68 기
,,2021 ,1Q22,2Q22,3Q22,4Q22,2022 ,1Q23,2Q23,3Q23,4Q23,2023 ,1Q24,2Q24,3Q24,4Q24,2024 ,1Q25,2Q25,3Q25,4Q25,2025 ,QoQ,QoQ(%),YoY,YoY(%),,(단위 : 원),,,,제 66 기 3분기,,제 65 기 3분기,,제 66 기 반기,,제 65 기 반기,,제 66 기 1분기,,제 65 기 1분기,,,,제 67 기 1분기,,제 66 기 1분기,,,제 67 기 반기,,제 66 기 반기,,,제 67 기 3분기,,제 66 기 3분기,,,,제 67 기,,,3개월,,3개월,,3개월,,
,매출액,"5,874,899","1,637,578","1,755,882","1,740,125","1,641,208","6,774,794","1,564,943","1,588,345","1,552,725","1,582,430","6,288,443","1,588,372","1,778,728","1,634,208","1,657,455","6,658,762","1,599,305","1,705,264","1,622,833","1,556,418","6,483,819",,,,,,매출액,"6,288,442,613,717","6,774,793,651,227","5,874,899,292,339","1,552,724,537,245","4,706,012,146,796","1,740,125,205,534","5,133,586,095,444","1,588,344,834,177","3,153,287,609,551","1,755,882,430,151","3,393,460,889,910","1,564,942,775,374","1,564,942,775,374","1,637,578,459,759","1,637,578,459,759",,,"1,588,371,739,025","1,588,371,739,025","1,564,942,775,374","1,564,942,775,374",,"1,778,727,715,198","3,367,099,454,223","1,588,344,834,177","3,153,287,609,551",,"1,634,207,675,724","5,001,307,129,947","1,552,724,537,245","4,706,012,146,796",,매출액,"6,658,762,417,820",,매출액,"1,599,305,256,419",매출액,"1,705,263,967,248",매출액,"1,622,832,530,729",매출액,"6,483,819,486,096"
,매출원가,"4,548,335","1,253,045","1,341,497","1,382,013","1,313,330","5,289,885","1,251,543","1,241,872","1,223,040","1,243,487","4,959,943","1,228,576","1,348,199","1,195,392","1,255,874","5,028,041","1,204,396","1,267,996","1,206,255","1,167,703","4,846,350",,,,,,매출원가,"4,959,942,844,934","5,289,884,894,107","4,548,334,870,339","1,223,040,349,491","3,716,455,863,537","1,382,013,105,551","3,976,554,482,061","1,241,872,175,284","2,493,415,514,046","1,341,496,779,236","2,594,541,376,510","1,251,543,338,762","1,251,543,338,762","1,253,044,597,274","1,253,044,597,274",,,"1,228,576,492,332","1,228,576,492,332","1,251,543,338,762","1,251,543,338,762",,"1,348,199,247,790","2,576,775,740,122","1,241,872,175,284","2,493,415,514,046",,"1,195,391,745,556","3,772,167,485,678","1,223,040,349,491","3,716,455,863,537",,매출원가,"5,028,041,458,944",,매출원가,"1,204,395,861,118",매출원가,"1,267,996,213,051",매출원가,"1,206,254,679,544",매출원가,"4,846,349,852,975"
,매출총이익,"1,326,564","384,534","414,386","358,112","327,877","1,484,909","313,399","346,473","329,684","338,943","1,328,500","359,795","430,528","438,816","401,581","1,630,721","394,909","437,268","416,578","388,715","1,637,470",,,,,,매출총이익,"1,328,499,768,783","1,484,908,757,120","1,326,564,422,000","329,684,187,754","989,556,283,259","358,112,099,983","1,157,031,613,383","346,472,658,893","659,872,095,505","414,385,650,915","798,919,513,400","313,399,436,612","313,399,436,612","384,533,862,485","384,533,862,485",,,"359,795,246,693","359,795,246,693","313,399,436,612","313,399,436,612",,"430,528,467,408","790,323,714,101","346,472,658,893","659,872,095,505",,"438,815,930,168","1,229,139,644,269","329,684,187,754","989,556,283,259",,매출총이익,"1,630,720,958,876",,매출총이익,"394,909,395,301",매출총이익,"437,267,754,197",매출총이익,"416,577,851,185",매출총이익,"1,637,469,633,121"
,판매비와관리비,"937,795","235,126","250,152","261,733","270,237","1,017,247","237,572","256,089","241,255","281,054","1,015,970","252,888","289,968","313,487","303,260","1,159,603","291,466","296,887","299,314","322,188","1,209,855",,,,,,판매비와관리비,"1,015,969,564,854","1,017,247,228,182","937,794,654,032","241,254,644,251","734,915,271,069","261,732,546,339","747,010,645,748","256,088,939,008","493,660,626,818","250,152,007,326","485,278,099,409","237,571,687,810","237,571,687,810","235,126,092,083","235,126,092,083",,,"252,888,207,159","252,888,207,159","237,571,687,810","237,571,687,810",,"289,967,537,372","542,855,744,531","256,088,939,008","493,660,626,818",,"313,487,387,604","856,343,132,135","241,254,644,251","734,915,271,069",,판매비와관리비,"1,159,602,723,692",,판매비와관리비,"291,465,554,896",판매비와관리비,"296,887,060,322",판매비와관리비,"299,314,297,249",판매비와관리비,"1,209,854,516,822"
,영업이익,"388,770","149,408","164,234","96,380","57,641","467,662","75,828","90,384","88,430","57,889","312,530","106,907","140,561","125,329","98,322","471,118","103,444","140,381","117,264","66,527","427,615",,,,,,영업이익,"312,530,203,929","467,661,528,938","388,769,767,968","88,429,543,503","254,641,012,190","96,379,553,644","410,020,967,635","90,383,719,885","166,211,468,687","164,233,643,589","313,641,413,991","75,827,748,802","75,827,748,802","149,407,770,402","149,407,770,402",,,"106,907,039,534","106,907,039,534","75,827,748,802","75,827,748,802",,"140,560,930,036","247,467,969,570","90,383,719,885","166,211,468,687",,"125,328,542,564","372,796,512,134","88,429,543,503","254,641,012,190",,영업이익,"471,118,235,184",,영업이익,"103,443,840,405",영업이익,"140,380,693,875",영업이익,"117,263,553,936",영업이익,"427,615,116,299"
,지분법손익,"191,595","11,768","9,701",-49,"3,633","25,053","-14,433","-4,872","-14,494","-166,504","-200,303","-2,633","65,671","7,178","2,119","72,335","6,099","2,785",-205,"-4,864","3,815",,,,,,지분법손익,"-200,302,508,287","25,053,021,457","191,594,760,466","-14,493,563,461","-33,798,426,195","-49,169,327","21,420,069,359","-4,871,717,066","-19,304,862,734","9,700,920,293","21,469,238,686","-14,433,145,668","-14,433,145,668","11,768,318,393","11,768,318,393",,,"-2,633,100,231","-2,633,100,231","-14,433,145,668","-14,433,145,668",,"65,671,248,448","63,038,148,217","-4,871,717,066","-19,304,862,734",,"7,178,001,801","70,216,150,018","-14,493,563,461","-33,798,426,195",,지분법손익,"72,334,833,254",,지분법손익,"6,099,351,127",지분법손익,"2,784,626,454",지분법손익,"-205,021,788",지분법손익,"3,814,648,072"
,순금융손익,"-373,141","-77,425","120,748","-396,922","50,418","-303,182","-36,761","43,836","-9,376","171,390","169,090","523,046","-197,808","-139,074","-246,624","-60,460","-50,670","1,129,283","364,282","861,022","2,303,917",,,,,,순금융손익,"169,089,678,961","-303,181,552,299","-373,141,046,282","-9,375,540,857","-2,300,683,627","-396,921,729,068","-353,599,253,904","43,835,554,898","7,074,857,230","120,747,612,526","43,322,475,164","-36,760,697,668","-36,760,697,668","-77,425,137,362","-77,425,137,362",,,"523,045,662,621","523,045,662,621","-36,760,697,668","-36,760,697,668",,"-197,808,063,614","325,237,599,007","43,835,554,898","7,074,857,230",,"-139,073,869,598","186,163,729,409","-9,375,540,857","-2,300,683,627",,순금융손익,"-60,460,337,713",,순금융손익,"-50,669,574,461",순금융손익,"1,129,282,858,851",순금융손익,"364,281,540,017",순금융손익,"2,303,916,659,725"
,금융수익,"321,136","172,654","232,747","94,028","215,267","368,733","194,455","250,334","107,962","355,359","723,338","656,804","108,581","-25,469","181,884","709,372","179,436","1,327,922","542,870","181,884","2,960,962",,,,,,　금융수익,"723,338,387,403","368,732,734,027","321,136,216,374","107,961,577,573","517,888,771,155","94,028,076,526","343,656,839,953","250,334,270,430","441,750,493,811","232,747,278,146","322,998,577,821","194,455,258,193","194,455,258,193","172,654,131,955","172,654,131,955",,"25,075,894,074","656,804,143,838","656,804,143,838","194,455,258,193","194,455,258,193",,"108,580,970,134","593,860,768,220","250,334,270,430","441,750,493,811",,"-25,469,221,394","566,457,550,093","107,961,577,573","517,888,771,155",,　금융수익,"709,372,460,765",,　금융수익,"179,435,717,777",　금융수익,"1,327,922,104,867",　금융수익,"542,869,946,434",　금융수익,"2,960,962,378,709"
,금융원가,"-694,277","-250,079","-112,000","-490,950","164,849","-671,914","-231,216","-206,499","-117,337","183,969","-554,249","-133,758","-306,389","-113,605","428,508","-769,833","-230,105","-198,639","-178,588","428,508","-657,046",,,,,,　금융원가,"-554,248,708,442","-671,914,286,326","-694,277,262,656","-117,337,118,430","-520,189,454,782","-490,949,805,594","-697,256,093,857","-206,498,715,532","-434,675,636,581","-111,999,665,620","-279,676,102,657","-231,215,955,861","-231,215,955,861","-250,079,269,317","-250,079,269,317",,"25,341,807,531","-133,758,481,217","-133,758,481,217","-231,215,955,861","-231,215,955,861",,"-306,389,033,748","-268,623,169,213","-206,498,715,532","-434,675,636,581",,"-113,604,648,204","-380,293,820,684","-117,337,118,430","-520,189,454,782",,　금융원가,"-769,832,798,478",,　금융원가,"-230,105,292,238",　금융원가,"-198,639,246,016",　금융원가,"-178,588,406,417",　금융원가,"-657,045,718,984"
