 인원현황(별도),,,,,,,,,,,,,, 8 ,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1Q23,2Q23,3Q23,4Q23,1Q24,2Q24,3Q24,4Q24,1Q25,2Q25,3Q25,4Q25,QoQ,YoY,,
영업,689,696,695,692,689,698,711,699,821,815,815,812,▽3,▲113,,699
생산,"1,782","1,799","1,826","1,823","1,814","1,815","1,862","1,841","1,879","1,865","1,848","1,834",▽14,▽7,,1841
관리,530,522,531,546,573,584,584,579,368,366,367,384,▲17,▽195,,579
연구,537,541,551,554,561,555,572,569,560,558,556,553,▽3,▽16,,569
 합계 ,"3,538","3,558","3,603","3,615","3,637","3,652","3,729","3,688","3,628","3,604","3,586","3,583",▽3,▽105,,
,,,,,,,,,,,,,,,,
"주) 해당 인원은 KCC 별도 기준이며, 등기임원(사내이사, 사외이사)을 제외한 정규직 및 기간제 근로자가 합산된 수치입니다.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
