분류,사업부,기간,수치,단위
감가상각비,건자재,2022-03-31,10273163,천원
감가상각비,도료,2022-03-31,9573770,천원
감가상각비,실리콘,2022-03-31,62757320,천원
감가상각비,기타,2022-03-31,21348113,천원
감가상각비,합계,2022-03-31,103952366,천원
감가상각비,건자재,2022-06-30,8824078,천원
감가상각비,도료,2022-06-30,10406169,천원
감가상각비,실리콘,2022-06-30,41205643,천원
감가상각비,기타,2022-06-30,21926462,천원
감가상각비,합계,2022-06-30,82362352,천원
감가상각비,건자재,2022-09-30,20259443,천원
감가상각비,도료,2022-09-30,17949845,천원
감가상각비,실리콘,2022-09-30,78327746,천원
감가상각비,기타,2022-09-30,1912492,천원
감가상각비,합계,2022-09-30,118449526,천원
감가상각비,건자재,2022-12-31,176981,천원
감가상각비,도료,2022-12-31,1945258,천원
감가상각비,실리콘,2022-12-31,61349745,천원
감가상각비,기타,2022-12-31,38373351,천원
감가상각비,합계,2022-12-31,101845335,천원
감가상각비,건자재,2023-03-31,10273163,천원
감가상각비,도료,2023-03-31,9573770,천원
감가상각비,실리콘,2023-03-31,62757320,천원
감가상각비,기타,2023-03-31,21348113,천원
감가상각비,합계,2023-03-31,103952366,천원
감가상각비,건자재,2023-06-30,10245490,천원
감가상각비,도료,2023-06-30,9578159,천원
감가상각비,실리콘,2023-06-30,57943346,천원
감가상각비,기타,2023-06-30,20894582,천원
감가상각비,합계,2023-06-30,98661577,천원
감가상각비,건자재,2023-09-30,10288431,천원
감가상각비,도료,2023-09-30,784582,천원
감가상각비,실리콘,2023-09-30,61770460,천원
감가상각비,기타,2023-09-30,28266275,천원
감가상각비,합계,2023-09-30,101109748,천원
감가상각비,건자재,2023-12-31,10215242,천원
감가상각비,도료,2023-12-31,6813421,천원
감가상각비,실리콘,2023-12-31,65586180,천원
감가상각비,기타,2023-12-31,25726716,천원
감가상각비,합계,2023-12-31,108341559,천원
감가상각비,건자재,2024-03-31,9988595,천원
감가상각비,도료,2024-03-31,6445194,천원
감가상각비,실리콘,2024-03-31,64841453,천원
감가상각비,기타,2024-03-31,24069581,천원
감가상각비,합계,2024-03-31,105344823,천원
감가상각비,건자재,2024-06-30,10259515,천원
감가상각비,도료,2024-06-30,7207877,천원
감가상각비,실리콘,2024-06-30,59785708,천원
감가상각비,기타,2024-06-30,25345455,천원
감가상각비,합계,2024-06-30,102598555,천원
감가상각비,건자재,2024-09-30,9994327,천원
감가상각비,도료,2024-09-30,7521617,천원
감가상각비,실리콘,2024-09-30,57007425,천원
감가상각비,기타,2024-09-30,25411760,천원
감가상각비,합계,2024-09-30,99935129,천원
감가상각비,건자재,2024-12-31,10183862,천원
감가상각비,도료,2024-12-31,5294820,천원
감가상각비,실리콘,2024-12-31,10183862,천원
감가상각비,기타,2024-12-31,26955626,천원
감가상각비,합계,2024-12-31,105846196,천원
감가상각비,건자재,2025-03-31,8607376,천원
감가상각비,도료,2025-03-31,7696369,천원
감가상각비,실리콘,2025-03-31,66281322,천원
감가상각비,기타,2025-03-31,25314460,천원
감가상각비,합계,2025-03-31,107899527,천원
감가상각비,건자재,2025-06-30,8447618,천원
감가상각비,도료,2025-06-30,7387844,천원
감가상각비,실리콘,2025-06-30,60807375,천원
감가상각비,기타,2025-06-30,25625396,천원
감가상각비,합계,2025-06-30,102268233,천원
감가상각비,건자재,2025-09-30,8037921,천원
감가상각비,도료,2025-09-30,6737950,천원
감가상각비,실리콘,2025-09-30,63255849,천원
감가상각비,기타,2025-09-30,24878084,천원
감가상각비,합계,2025-09-30,102909804,천원
감가상각비,건자재,2025-12-31,7626044,천원
감가상각비,도료,2025-12-31,6079436,천원
감가상각비,실리콘,2025-12-31,72348897,천원
감가상각비,기타,2025-12-31,25639350,천원
감가상각비,합계,2025-12-31,111693727,천원
