기준일,연도,분기,기간표준,지표,수치,단위,search_tag,search_text,fact_text
2025-12-31,2025,연도말,2025년말,매출액,6483819.5,백만원,2025년말|재무지표_신용평가기준|매출액|백만원,2025년말 | 2025-12-31 기준 매출액 | 재무지표_신용평가기준 | 매출액 | 백만원,2025년말 재무지표_신용평가기준 매출액은(는) 6483819.5백만원입니다.
2025-12-31,2025,연도말,2025년말,영업이익,427615.1,백만원,2025년말|재무지표_신용평가기준|영업이익|백만원,2025년말 | 2025-12-31 기준 영업이익 | 재무지표_신용평가기준 | 영업이익 | 백만원,2025년말 재무지표_신용평가기준 영업이익은(는) 427615.1백만원입니다.
2025-12-31,2025,연도말,2025년말,감가상각비,374579.6,백만원,2025년말|재무지표_신용평가기준|감가상각비|백만원,2025년말 | 2025-12-31 기준 감가상각비 | 재무지표_신용평가기준 | 감가상각비 | 백만원,2025년말 재무지표_신용평가기준 감가상각비은(는) 374579.6백만원입니다.
2025-12-31,2025,연도말,2025년말,무형자산상각비,49388.6,백만원,2025년말|재무지표_신용평가기준|무형자산상각비|백만원,2025년말 | 2025-12-31 기준 무형자산상각비 | 재무지표_신용평가기준 | 무형자산상각비 | 백만원,2025년말 재무지표_신용평가기준 무형자산상각비은(는) 49388.6백만원입니다.
2025-12-31,2025,연도말,2025년말,사용권자산상각비,34993.3,백만원,2025년말|재무지표_신용평가기준|사용권자산상각비|백만원,2025년말 | 2025-12-31 기준 사용권자산상각비 | 재무지표_신용평가기준 | 사용권자산상각비 | 백만원,2025년말 재무지표_신용평가기준 사용권자산상각비은(는) 34993.3백만원입니다.
2025-12-31,2025,연도말,2025년말,대손상각비,2026.3,백만원,2025년말|재무지표_신용평가기준|대손상각비|백만원,2025년말 | 2025-12-31 기준 대손상각비 | 재무지표_신용평가기준 | 대손상각비 | 백만원,2025년말 재무지표_신용평가기준 대손상각비은(는) 2026.3백만원입니다.
2025-12-31,2025,연도말,2025년말,퇴직급여,84174.0,백만원,2025년말|재무지표_신용평가기준|퇴직급여|백만원,2025년말 | 2025-12-31 기준 퇴직급여 | 재무지표_신용평가기준 | 퇴직급여 | 백만원,2025년말 재무지표_신용평가기준 퇴직급여은(는) 84174.0백만원입니다.
2025-12-31,2025,연도말,2025년말,EBITDA,972777.0,백만원,2025년말|재무지표_신용평가기준|EBITDA|백만원,2025년말 | 2025-12-31 기준 EBITDA | 재무지표_신용평가기준 | EBITDA | 백만원,2025년말 재무지표_신용평가기준 EBITDA은(는) 972777.0백만원입니다.
2025-12-31,2025,연도말,2025년말,당기순이익,1538496.3,백만원,2025년말|재무지표_신용평가기준|당기순이익|백만원,2025년말 | 2025-12-31 기준 당기순이익 | 재무지표_신용평가기준 | 당기순이익 | 백만원,2025년말 재무지표_신용평가기준 당기순이익은(는) 1538496.3백만원입니다.
2025-12-31,2025,연도말,2025년말,자산총계,16803559.4,백만원,2025년말|재무지표_신용평가기준|자산총계|백만원,2025년말 | 2025-12-31 기준 자산총계 | 재무지표_신용평가기준 | 자산총계 | 백만원,2025년말 재무지표_신용평가기준 자산총계은(는) 16803559.4백만원입니다.
2025-12-31,2025,연도말,2025년말,총차입금,5199269.9,백만원,2025년말|재무지표_신용평가기준|총차입금|백만원,2025년말 | 2025-12-31 기준 총차입금 | 재무지표_신용평가기준 | 총차입금 | 백만원,2025년말 재무지표_신용평가기준 총차입금은(는) 5199269.9백만원입니다.
