기준일,연도,분기,기간표준,항목,수치,단위
2025-09-30,2025,Q3,2025 Q3,   무형자산의 취득,4376,백만원
2025-09-30,2025,Q3,2025 Q3,   배당금수취,73568,백만원
2025-09-30,2025,Q3,2025 Q3,   영업활동으로인한자산ㆍ부채의변동,-158121,백만원
2025-09-30,2025,Q3,2025 Q3,   유형자산의 취득,211857,백만원
2025-09-30,2025,Q3,2025 Q3,   이자수취,20633,백만원
2025-09-30,2025,Q3,2025 Q3,   이자지급,193797,백만원
2025-09-30,2025,Q3,2025 Q3,(-)배당금지급,73542,백만원
2025-09-30,2025,Q3,2025 Q3,(-)운전자본투자,-158121,백만원
2025-09-30,2025,Q3,2025 Q3,(-)자본적지출,216233,백만원
2025-09-30,2025,Q3,2025 Q3,EBITDA,759964,백만원
2025-09-30,2025,Q3,2025 Q3,EBITDA/매출액,15,%
2025-09-30,2025,Q3,2025 Q3,EBITDA/이자비용,3,%
2025-09-30,2025,Q3,2025 Q3,FCF(잉여현금흐름),169315,백만원
2025-09-30,2025,Q3,2025 Q3,NCF(순영업현금흐름),312006,백만원
2025-09-30,2025,Q3,2025 Q3,OCF(총영업현금흐름),470127,백만원
2025-09-30,2025,Q3,2025 Q3,감가상각비,274808,백만원
2025-09-30,2025,Q3,2025 Q3,기타 (+유무형리스자산관련순손익),40227,백만원
2025-09-30,2025,Q3,2025 Q3,단기금융상품,216899,백만원
2025-09-30,2025,Q3,2025 Q3,당기손익-공정가치측정금융자산처분손실,-7733,백만원
2025-09-30,2025,Q3,2025 Q3,당기손익-공정가치측정금융자산처분이익,4833,백만원
2025-09-30,2025,Q3,2025 Q3,당기손익-공정가치측정금융자산평가손실,-673,백만원
2025-09-30,2025,Q3,2025 Q3,당기손익-공정가치측정금융자산평가이익,1719770,백만원
2025-09-30,2025,Q3,2025 Q3,당기순이익,1263660,백만원
2025-09-30,2025,Q3,2025 Q3,대손상각비,1613,백만원
2025-09-30,2025,Q3,2025 Q3,리스부채,154844,백만원
2025-09-30,2025,Q3,2025 Q3,매출액,4927400,백만원
2025-09-30,2025,Q3,2025 Q3,무형자산상각비,36567,백만원
2025-09-30,2025,Q3,2025 Q3,무형자산처분손실,-47,백만원
2025-09-30,2025,Q3,2025 Q3,무형자산처분이익,18,백만원
2025-09-30,2025,Q3,2025 Q3,배당순손익,72130,백만원
2025-09-30,2025,Q3,2025 Q3,부채비율,118,%
2025-09-30,2025,Q3,2025 Q3,부채총계,8761130,백만원
2025-09-30,2025,Q3,2025 Q3,사용권자산상각비,23251,백만원
2025-09-30,2025,Q3,2025 Q3,사용권자산손상차손환입,3739,백만원
2025-09-30,2025,Q3,2025 Q3,사용권자산재평가손실,-5126,백만원
2025-09-30,2025,Q3,2025 Q3,사용권자산처분이익,128,백만원
