회사,데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,fact_text,keyword_text
KCC,감가상각비,2025-03-31,2025,Q1,2025 Q1,전사,,건자재,8607.0,백만원,"KCC 2025년 1분기 전사 건자재은 8,607백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 건자재 | 백만원
KCC,감가상각비,2025-03-31,2025,Q1,2025 Q1,전사,,기타,25314.0,백만원,"KCC 2025년 1분기 전사 기타은 25,314백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 기타 | 백만원
KCC,감가상각비,2025-03-31,2025,Q1,2025 Q1,전사,,도료,7696.0,백만원,"KCC 2025년 1분기 전사 도료은 7,696백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 도료 | 백만원
KCC,감가상각비,2025-03-31,2025,Q1,2025 Q1,전사,,실리콘,66281.0,백만원,"KCC 2025년 1분기 전사 실리콘은 66,281백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 실리콘 | 백만원
KCC,감가상각비,2025-03-31,2025,Q1,2025 Q1,전사,,합계,107900.0,백만원,"KCC 2025년 1분기 전사 합계은 107,900백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 감가상각비입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 감가상각비 | depreciation | 전사 | 회사 전체 | 합계 | 백만원
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,건자재,매출액,매출액,232274.0,백만원,"KCC 2025년 1분기 건자재 매출액 매출액은 232,274백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 매출액 | 매출 | sales | revenue | 백만원
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,건자재,영업이익,QoQ(%),-32.0,%,KCC 2025년 1분기 건자재 영업이익 QoQ(%)은 -32%입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | QoQ(%) | %
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,건자재,영업이익,YoY(%),-47.0,%,KCC 2025년 1분기 건자재 영업이익 YoY(%)은 -47%입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | YoY(%) | %
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,건자재,영업이익,영업이익,23742.0,백만원,"KCC 2025년 1분기 건자재 영업이익 영업이익은 23,742백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | operating profit | operating income | 영업이익률 | operating margin | 백만원
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,건자재,영업이익,영업이익률(%),10.0,%,KCC 2025년 1분기 건자재 영업이익 영업이익률(%)은 10%입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 건자재 | 건재 | 건자재사업부 | 영업이익 | 영업이익률(%) | operating profit | operating income | 영업이익률 | operating margin | %
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,기타,매출액,매출액,135378.0,백만원,"KCC 2025년 1분기 기타 매출액 매출액은 135,378백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 기타 | 기타사업부 | 매출액 | 매출 | sales | revenue | 백만원
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,기타,영업이익,영업이익,-4403.0,백만원,"KCC 2025년 1분기 기타 영업이익 영업이익은 -4,403백만원입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.",KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 기타 | 기타사업부 | 영업이익 | operating profit | operating income | 영업이익률 | operating margin | 백만원
KCC,부문정보,2025-03-31,2025,Q1,2025 Q1,기타,영업이익,영업이익률(%),-3.0,%,KCC 2025년 1분기 기타 영업이익 영업이익률(%)은 -3%입니다. 기준일은 2025-03-31이며 데이터 구분은 부문정보입니다.,KCC | 2025 | 2025년 | Q1 | 1분기 | 2025-03-31 | 부문정보 | 사업부 | 세그먼트 | segment | 기타 | 기타사업부 | 영업이익 | 영업이익률(%) | operating profit | operating income | 영업이익률 | operating margin | %
