분류,항목,기간,수치,단위
이자비용,KCC(별도),2022-03-31,15241010709,원
이자비용,KCC(별도),2022-06-30,20611468389,원
이자비용,KCC(별도),2022-09-30,18828323360,원
이자비용,KCC(별도),2022-12-31,18853443236,원
이자비용,MOMH,2022-03-31,20673975567,원
이자비용,MOMH,2022-06-30,24458785190,원
이자비용,MOMH,2022-09-30,28712628937,원
이자비용,MOMH,2022-12-31,30951717911,원
이자비용,계,2022-03-31,35914986276,원
이자비용,계,2022-06-30,45070253579,원
이자비용,계,2022-09-30,47540952297,원
이자비용,계,2022-12-31,49805161147,원
이자비용,KCC(별도),2023-03-31,20885836563,원
이자비용,KCC(별도),2023-06-30,23365145811,원
이자비용,KCC(별도),2023-09-30,24815596731,원
이자비용,KCC(별도),2023-12-31,26981592103,원
이자비용,MOMH,2023-03-31,30893463978,원
이자비용,MOMH,2023-06-30,50136299928,원
이자비용,MOMH,2023-09-30,38179684298,원
이자비용,MOMH,2023-12-31,39386903081,원
이자비용,계,2023-03-31,51779300541,원
이자비용,계,2023-06-30,73501445739,원
이자비용,계,2023-09-30,62995281029,원
이자비용,계,2023-12-31,66368495184,원
이자비용,KCC(별도),2023-03-31,5644825854,원
이자비용,KCC(별도),2023-06-30,2753677422,원
이자비용,KCC(별도),2023-09-30,5987273371,원
이자비용,KCC(별도),2023-12-31,8128148867,원
이자비용,MOMH,2023-03-31,10219488411,원
이자비용,MOMH,2023-06-30,25677514738,원
이자비용,MOMH,2023-09-30,9467055361,원
이자비용,MOMH,2023-12-31,8435185170,원
이자비용,계,2023-03-31,15864314265,원
이자비용,계,2023-06-30,28431192160,원
이자비용,계,2023-09-30,15454328732,원
이자비용,계,2023-12-31,16563334037,원
이자비용,KCC(별도),2024-03-31,28957865730,원
이자비용,KCC(별도),2024-06-30,31683871427,원
이자비용,KCC(별도),2024-09-30,33007542790,원
이자비용,KCC(별도),2024-12-31,33522495217,원
이자비용,KCC(별도),2024-09-30,93649279947,원
이자비용,MOMH,2024-03-31,37053303257,원
이자비용,MOMH,2024-06-30,60667663363,원
이자비용,MOMH,2024-09-30,61199286062,원
이자비용,MOMH,2024-12-31,61714510288,원
이자비용,MOMH,2024-09-30,158920252682,원
이자비용,계,2024-03-31,66011168987,원
이자비용,계,2024-06-30,92351534790,원
이자비용,계,2024-09-30,94206828852,원
이자비용,계,2024-12-31,95237005505,원
이자비용,계,2024-09-30,252569532629,원
이자비용,KCC(별도),2025-03-31,32549243470,원
이자비용,KCC(별도),2025-06-30,31385029003,원
이자비용,KCC(별도),2025-09-30,50501024306,원
이자비용,KCC(별도),2025-12-31,50317719005,원
이자비용,MOMH,2025-03-31,46315043052,원
이자비용,MOMH,2025-06-30,47549900541,원
이자비용,MOMH,2025-09-30,39751476527,원
이자비용,MOMH,2025-12-31,41475563459,원
이자비용,계,2025-03-31,78864286522,원
이자비용,계,2025-06-30,78934929544,원
이자비용,계,2025-09-30,90252500833,원
이자비용,계,2025-12-31,91793282464,원
