분류,항목,기간,수치,단위
판매관리비,판매비와관리비(총액),2022-03-31,235126092083,원
판매관리비,급여,2022-03-31,67624687000,원
판매관리비,퇴직급여원가,2022-03-31,15632380000,원
판매관리비,복리후생비,2022-03-31,8812683000,원
판매관리비,광고선전비,2022-03-31,4290988000,원
판매관리비,감가상각비,2022-03-31,5845101000,원
판매관리비,무형자산상각비,2022-03-31,9590065000,원
판매관리비,사용권자산상각비,2022-03-31,5625577000,원
판매관리비,운반비,2022-03-31,23463244000,원
판매관리비,지급수수료,2022-03-31,20617957000,원
판매관리비,기술개발비,2022-03-31,40343770000,원
판매관리비,기타,2022-03-31,33279640083,원
판매관리비,판매비와관리비(총액),2022-03-31,95815650221,원
판매관리비,급여,2022-03-31,22907341771,원
판매관리비,퇴직급여원가,2022-03-31,8748209202,원
판매관리비,복리후생비,2022-03-31,4108140473,원
판매관리비,광고선전비,2022-03-31,3457592912,원
판매관리비,감가상각비,2022-03-31,1575882597,원
판매관리비,무형자산상각비,2022-03-31,203394864,원
판매관리비,대손상각비(대손충당금환입),2022-03-31,1808010504,원
판매관리비,운반비,2022-03-31,21156512746,원
판매관리비,지급수수료,2022-03-31,5546002586,원
판매관리비,기술개발비,2022-03-31,17121361795,원
판매관리비,기타,2022-03-31,9183200771,원
판매관리비,판매비와관리비(총액),2022-06-30,250152007326,원
판매관리비,급여,2022-06-30,76936595000,원
판매관리비,퇴직급여원가,2022-06-30,11523814000,원
판매관리비,복리후생비,2022-06-30,8635116000,원
판매관리비,광고선전비,2022-06-30,5479868000,원
판매관리비,감가상각비,2022-06-30,4556858000,원
판매관리비,무형자산상각비,2022-06-30,10161463000,원
판매관리비,사용권자산상각비,2022-06-30,5241916000,원
판매관리비,운반비,2022-06-30,25836437000,원
판매관리비,지급수수료,2022-06-30,19172722000,원
판매관리비,기술개발비,2022-06-30,43013452000,원
판매관리비,기타,2022-06-30,39593766326,원
판매관리비,판매비와관리비(총액),2022-06-30,95848571731,원
판매관리비,급여,2022-06-30,22320855172,원
판매관리비,퇴직급여원가,2022-06-30,3344477301,원
판매관리비,복리후생비,2022-06-30,3755962742,원
판매관리비,광고선전비,2022-06-30,4488876670,원
판매관리비,감가상각비,2022-06-30,1593020770,원
판매관리비,무형자산상각비,2022-06-30,206564674,원
판매관리비,대손상각비(대손충당금환입),2022-06-30,-378897406,원
판매관리비,운반비,2022-06-30,23383682067,원
판매관리비,지급수수료,2022-06-30,5773460919,원
판매관리비,기술개발비,2022-06-30,16871422028,원
판매관리비,기타,2022-06-30,14489146794,원
판매관리비,판매비와관리비(총액),2022-09-30,261732546339,원
판매관리비,급여,2022-09-30,72389055000,원
판매관리비,퇴직급여원가,2022-09-30,15508689000,원
판매관리비,복리후생비,2022-09-30,9158161000,원
판매관리비,광고선전비,2022-09-30,8268322000,원
판매관리비,감가상각비,2022-09-30,4245832000,원
판매관리비,무형자산상각비,2022-09-30,10617126000,원
판매관리비,사용권자산상각비,2022-09-30,5508846000,원
판매관리비,운반비,2022-09-30,26568937000,원
판매관리비,지급수수료,2022-09-30,27974618000,원
판매관리비,기술개발비,2022-09-30,48103873000,원
판매관리비,기타,2022-09-30,33389087339,원
판매관리비,판매비와관리비(총액),2022-09-30,90805563660,원
판매관리비,급여,2022-09-30,22919185047,원
판매관리비,퇴직급여원가,2022-09-30,2300006114,원
판매관리비,복리후생비,2022-09-30,5014219305,원
판매관리비,광고선전비,2022-09-30,7080048810,원
판매관리비,감가상각비,2022-09-30,1208905607,원
판매관리비,무형자산상각비,2022-09-30,214013368,원
판매관리비,대손상각비(대손충당금환입),2022-09-30,-984024051,원
판매관리비,운반비,2022-09-30,23782698496,원
판매관리비,지급수수료,2022-09-30,4985414224,원
판매관리비,기술개발비,2022-09-30,19650510988,원
판매관리비,기타,2022-09-30,4634585752,원
판매관리비,판매비와관리비(총액),2022-12-31,270236582434,원
판매관리비,급여,2022-12-31,89140548000,원
판매관리비,퇴직급여원가,2022-12-31,-2740161000,원
판매관리비,복리후생비,2022-12-31,4184026000,원
판매관리비,광고선전비,2022-12-31,5347876000,원
판매관리비,감가상각비,2022-12-31,4558419000,원
판매관리비,무형자산상각비,2022-12-31,10603319000,원
판매관리비,사용권자산상각비,2022-12-31,6023877000,원
판매관리비,운반비,2022-12-31,27580597000,원
판매관리비,지급수수료,2022-12-31,36591026000,원
판매관리비,기술개발비,2022-12-31,47306611000,원
판매관리비,기타,2022-12-31,41640444252,원
판매관리비,판매비와관리비(총액),2022-12-31,111430067123,원
판매관리비,급여,2022-12-31,34424508155,원
판매관리비,퇴직급여원가,2022-12-31,3428324613,원
판매관리비,복리후생비,2022-12-31,3787725025,원
판매관리비,광고선전비,2022-12-31,3854842911,원
판매관리비,감가상각비,2022-12-31,1160324600,원
판매관리비,무형자산상각비,2022-12-31,222620053,원
판매관리비,대손상각비(대손충당금환입),2022-12-31,-137961815,원
판매관리비,운반비,2022-12-31,25041018013,원
판매관리비,지급수수료,2022-12-31,7664929350,원
판매관리비,기술개발비,2022-12-31,21776990043,원
판매관리비,기타,2022-12-31,10206746175,원
판매관리비,판매비와관리비(총액),2023-03-31,237571687810,원
판매관리비,급여,2023-03-31,76098208000,원
판매관리비,퇴직급여원가,2023-03-31,6795077000,원
판매관리비,복리후생비,2023-03-31,8408590000,원
판매관리비,광고선전비,2023-03-31,4651049000,원
판매관리비,감가상각비,2023-03-31,4015866000,원
판매관리비,무형자산상각비,2023-03-31,10422197000,원
판매관리비,사용권자산상각비,2023-03-31,5621754000,원
판매관리비,운반비,2023-03-31,24512256000,원
판매관리비,지급수수료,2023-03-31,23186402000,원
판매관리비,기술개발비,2023-03-31,44701721000,원
판매관리비,기타,2023-03-31,29158567810,원
판매관리비,판매비와관리비(총액),2023-03-31,94556380017,원
판매관리비,급여,2023-03-31,23886415658,원
판매관리비,퇴직급여원가,2023-03-31,2735237335,원
판매관리비,복리후생비,2023-03-31,4512045193,원
판매관리비,광고선전비,2023-03-31,4001165135,원
판매관리비,감가상각비,2023-03-31,833221493,원
판매관리비,무형자산상각비,2023-03-31,235154453,원
판매관리비,대손상각비(대손충당금환입),2023-03-31,549356693,원
판매관리비,운반비,2023-03-31,22925013178,원
판매관리비,지급수수료,2023-03-31,6196145617,원
판매관리비,기술개발비,2023-03-31,19267497945,원
판매관리비,기타,2023-03-31,9415127317,원
판매관리비,판매비와관리비(총액),2023-06-30,256088939008,원
판매관리비,급여,2023-06-30,65555103000,원
판매관리비,퇴직급여원가,2023-06-30,6259191000,원
판매관리비,복리후생비,2023-06-30,8664436000,원
판매관리비,광고선전비,2023-06-30,9207828000,원
판매관리비,감가상각비,2023-06-30,5446521000,원
판매관리비,무형자산상각비,2023-06-30,10120163000,원
판매관리비,사용권자산상각비,2023-06-30,5701800000,원
판매관리비,운반비,2023-06-30,27878262000,원
판매관리비,지급수수료,2023-06-30,21666773000,원
판매관리비,기술개발비,2023-06-30,50274026000,원
판매관리비,기타,2023-06-30,45314836008,원
판매관리비,판매비와관리비(총액),2023-06-30,107361673408,원
판매관리비,급여,2023-06-30,24575644600,원
판매관리비,퇴직급여원가,2023-06-30,1901057269,원
판매관리비,복리후생비,2023-06-30,4427393492,원
판매관리비,광고선전비,2023-06-30,8075664589,원
판매관리비,감가상각비,2023-06-30,2900455291,원
판매관리비,무형자산상각비,2023-06-30,241866727,원
판매관리비,대손상각비(대손충당금환입),2023-06-30,497129715,원
판매관리비,운반비,2023-06-30,25867580364,원
판매관리비,지급수수료,2023-06-30,6186182687,원
판매관리비,기술개발비,2023-06-30,16727141764,원
판매관리비,기타,2023-06-30,15961556910,원
판매관리비,판매비와관리비(총액),2023-09-30,241254644251,원
판매관리비,급여,2023-09-30,69308630000,원
판매관리비,퇴직급여원가,2023-09-30,8793144000,원
판매관리비,복리후생비,2023-09-30,9216783000,원
판매관리비,광고선전비,2023-09-30,5159979000,원
판매관리비,감가상각비,2023-09-30,5204795000,원
판매관리비,무형자산상각비,2023-09-30,10198002000,원
판매관리비,사용권자산상각비,2023-09-30,5848837000,원
판매관리비,운반비,2023-09-30,25462111000,원
판매관리비,지급수수료,2023-09-30,20560264000,원
판매관리비,기술개발비,2023-09-30,51010757000,원
판매관리비,기타,2023-09-30,30491342251,원
판매관리비,판매비와관리비(총액),2023-09-30,99067661399,원
판매관리비,급여,2023-09-30,27147385208,원
판매관리비,퇴직급여원가,2023-09-30,1737159944,원
판매관리비,복리후생비,2023-09-30,5457307059,원
판매관리비,광고선전비,2023-09-30,4063409226,원
판매관리비,감가상각비,2023-09-30,1742237263,원
판매관리비,무형자산상각비,2023-09-30,257069417,원
판매관리비,대손상각비(대손충당금환입),2023-09-30,-645087539,원
판매관리비,운반비,2023-09-30,23730924747,원
판매관리비,지급수수료,2023-09-30,6647806634,원
판매관리비,기술개발비,2023-09-30,20139033000,원
판매관리비,기타,2023-09-30,8790416440,원
판매관리비,판매비와관리비(총액),2023-12-31,281054293931,원
판매관리비,급여,2023-12-31,97848717000,원
판매관리비,퇴직급여원가,2023-12-31,10975349000,원
판매관리비,복리후생비,2023-12-31,6561277000,원
판매관리비,광고선전비,2023-12-31,8168643000,원
판매관리비,감가상각비,2023-12-31,5989419000,원
판매관리비,무형자산상각비,2023-12-31,10091283000,원
판매관리비,사용권자산상각비,2023-12-31,9375736000,원
판매관리비,운반비,2023-12-31,27916206000,원
판매관리비,지급수수료,2023-12-31,30882543000,원
판매관리비,기술개발비,2023-12-31,40620025000,원
판매관리비,기타,2023-12-31,32625095931,원
판매관리비,판매비와관리비(총액),2023-12-31,124953599458,원
판매관리비,급여,2023-12-31,45360451042,원
판매관리비,퇴직급여원가,2023-12-31,3465939033,원
판매관리비,복리후생비,2023-12-31,4527191179,원
판매관리비,광고선전비,2023-12-31,6495089248,원
판매관리비,감가상각비,2023-12-31,1835508766,원
판매관리비,무형자산상각비,2023-12-31,259436902,원
판매관리비,대손상각비(대손충당금환입),2023-12-31,138741800,원
판매관리비,운반비,2023-12-31,25301825490,원
판매관리비,지급수수료,2023-12-31,8417997906,원
판매관리비,기술개발비,2023-12-31,16303686960,원
판매관리비,기타,2023-12-31,12847731132,원
판매관리비,판매비와관리비(총액),2024-03-31,252888207000,원
판매관리비,급여,2024-03-31,80724122000,원
판매관리비,퇴직급여원가,2024-03-31,9564363000,원
판매관리비,복리후생비,2024-03-31,9923093000,원
판매관리비,광고선전비,2024-03-31,7686541000,원
판매관리비,감가상각비,2024-03-31,6145138000,원
판매관리비,무형자산상각비,2024-03-31,10216846000,원
판매관리비,사용권자산상각비,2024-03-31,5715183000,원
판매관리비,운반비,2024-03-31,25343006000,원
판매관리비,지급수수료,2024-03-31,12637749000,원
판매관리비,기술개발비,2024-03-31,48738023000,원
판매관리비,기타,2024-03-31,36194143000,원
판매관리비,판매비와관리비(총액),2024-03-31,102979561000,원
판매관리비,급여,2024-03-31,26893801000,원
판매관리비,퇴직급여원가,2024-03-31,3576482000,원
판매관리비,복리후생비,2024-03-31,4928694000,원
판매관리비,광고선전비,2024-03-31,6659118000,원
판매관리비,감가상각비,2024-03-31,1788684000,원
판매관리비,무형자산상각비,2024-03-31,228345000,원
판매관리비,대손상각비(대손충당금환입),2024-03-31,-543812000,원
판매관리비,운반비,2024-03-31,23065234000,원
판매관리비,지급수수료,2024-03-31,7262606000,원
판매관리비,기술개발비,2024-03-31,18360730000,원
판매관리비,기타,2024-03-31,10759679000,원
판매관리비,판매비와관리비(총액),2024-06-30,289967538000,원
판매관리비,급여,2024-06-30,84407798000,원
판매관리비,퇴직급여원가,2024-06-30,7509795000,원
판매관리비,복리후생비,2024-06-30,9919433000,원
판매관리비,광고선전비,2024-06-30,8836573000,원
판매관리비,감가상각비,2024-06-30,4849853000,원
판매관리비,무형자산상각비,2024-06-30,10405526000,원
판매관리비,사용권자산상각비,2024-06-30,5739467000,원
판매관리비,운반비,2024-06-30,30104586000,원
판매관리비,지급수수료,2024-06-30,29613413000,원
판매관리비,기술개발비,2024-06-30,52475193000,원
판매관리비,기타,2024-06-30,46105901000,원
판매관리비,판매비와관리비(총액),2024-06-30,115435002000,원
판매관리비,급여,2024-06-30,26502385000,원
판매관리비,퇴직급여원가,2024-06-30,2802316000,원
판매관리비,복리후생비,2024-06-30,4931726000,원
판매관리비,광고선전비,2024-06-30,7673867000,원
판매관리비,감가상각비,2024-06-30,1760611000,원
판매관리비,무형자산상각비,2024-06-30,214806000,원
판매관리비,대손상각비(대손충당금환입),2024-06-30,-246861000,원
판매관리비,운반비,2024-06-30,26498707000,원
판매관리비,지급수수료,2024-06-30,8269620000,원
판매관리비,기술개발비,2024-06-30,20217220000,원
판매관리비,기타,2024-06-30,16810605000,원
판매관리비,판매비와관리비(총액),2024-09-30,313487388000,원
판매관리비,급여,2024-09-30,79412259000,원
판매관리비,퇴직급여원가,2024-09-30,6725588000,원
판매관리비,복리후생비,2024-09-30,11258017000,원
판매관리비,광고선전비,2024-09-30,6305917000,원
판매관리비,감가상각비,2024-09-30,6311482000,원
판매관리비,무형자산상각비,2024-09-30,10377515000,원
판매관리비,사용권자산상각비,2024-09-30,5827894000,원
판매관리비,운반비,2024-09-30,66155934000,원
판매관리비,지급수수료,2024-09-30,28321342000,원
판매관리비,기술개발비,2024-09-30,55685064000,원
판매관리비,기타,2024-09-30,37106376000,원
판매관리비,판매비와관리비(총액),2024-09-30,107567689000,원
판매관리비,급여,2024-09-30,27353309000,원
판매관리비,퇴직급여원가,2024-09-30,2959296000,원
판매관리비,복리후생비,2024-09-30,5754990000,원
판매관리비,광고선전비,2024-09-30,4840745000,원
판매관리비,감가상각비,2024-09-30,1975678000,원
판매관리비,무형자산상각비,2024-09-30,215841000,원
판매관리비,대손상각비(대손충당금환입),2024-09-30,446326000,원
판매관리비,운반비,2024-09-30,24615020000,원
판매관리비,지급수수료,2024-09-30,6494231000,원
판매관리비,기술개발비,2024-09-30,22525560000,원
판매관리비,기타,2024-09-30,10386693000,원
판매관리비,판매비와관리비(총액),2024-09-30,303259591557,원
