재무제표,계정과목,기간,금액
연결손익계산서,매출액,1Q22,1637578
연결손익계산서,매출원가,1Q22,1253045
연결손익계산서,매출총이익,1Q22,384534
연결손익계산서,판매비와관리비,1Q22,235126
연결손익계산서,영업이익,1Q22,149408
연결손익계산서,지분법손익,1Q22,11768
연결손익계산서,순금융손익,1Q22,-77425
연결손익계산서,금융수익,1Q22,172654
연결손익계산서,금융원가,1Q22,-250079
연결손익계산서,기타영업외손익,1Q22,1085
연결손익계산서,기타이익,1Q22,25511
연결손익계산서,기타손실,1Q22,-24426
연결손익계산서,법인세비용차감전순손익,1Q22,84836
연결손익계산서,법인세비용(수익),1Q22,52638
연결손익계산서,당기순손익,1Q22,32197
연결손익계산서,기타포괄손익,1Q22,76744
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q22,75600
연결손익계산서,지분법자본변동?,1Q22,11767
연결손익계산서,현금흐름위험회피,1Q22,53724
연결손익계산서,해외사업환산손익 등,1Q22,10110
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q22,1143
연결손익계산서,확정급여제도의 재측정요소,1Q22,-150
연결손익계산서,지분법이익잉여금 ?,1Q22,-208
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q22,1501
연결손익계산서,총포괄손익,1Q22,108941
연결손익계산서,지배기업소유주지분,1Q22,6580
연결손익계산서,비지배지분,1Q22,25617
연결손익계산서,지배기업소유주지분,1Q22,63040
연결손익계산서,비지배지분,1Q22,45901
연결손익계산서,기본주당손익 (단위 : 원),1Q22,864
연결손익계산서,희석주당손익 (단위 : 원),1Q22,864
연결손익계산서,매출액,2Q22,1755882
연결손익계산서,매출원가,2Q22,1341497
연결손익계산서,매출총이익,2Q22,414386
연결손익계산서,판매비와관리비,2Q22,250152
연결손익계산서,영업이익,2Q22,164234
연결손익계산서,지분법손익,2Q22,9701
연결손익계산서,순금융손익,2Q22,120748
연결손익계산서,금융수익,2Q22,232747
연결손익계산서,금융원가,2Q22,-112000
연결손익계산서,기타영업외손익,2Q22,-14982
연결손익계산서,기타이익,2Q22,9368
연결손익계산서,기타손실,2Q22,-24349
연결손익계산서,법인세비용차감전순손익,2Q22,279701
연결손익계산서,법인세비용(수익),2Q22,97501
연결손익계산서,당기순손익,2Q22,182199
연결손익계산서,기타포괄손익,2Q22,45204
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,2Q22,51662
연결손익계산서,지분법자본변동?,2Q22,9930
연결손익계산서,현금흐름위험회피,2Q22,40866
연결손익계산서,해외사업환산손익 등,2Q22,865
연결손익계산서,확정급여제도의 재측정요소,2Q22,-3
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q22,-6453
연결손익계산서,총포괄손익,2Q22,227404
연결손익계산서,지배기업소유주지분,2Q22,169358
연결손익계산서,비지배지분,2Q22,12841
연결손익계산서,지배기업소유주지분,2Q22,208378
연결손익계산서,비지배지분,2Q22,19026
연결손익계산서,기본주당손익 (단위 : 원),2Q22,23022
연결손익계산서,희석주당손익 (단위 : 원),2Q22,23022
연결손익계산서,매출액,3Q22,1740125
연결손익계산서,매출원가,3Q22,1382013
연결손익계산서,매출총이익,3Q22,358112
연결손익계산서,판매비와관리비,3Q22,261733
연결손익계산서,영업이익,3Q22,96380
연결손익계산서,지분법손익,3Q22,-49
연결손익계산서,순금융손익,3Q22,-396922
연결손익계산서,금융수익,3Q22,94028
연결손익계산서,금융원가,3Q22,-490950
연결손익계산서,기타영업외손익,3Q22,-2537
연결손익계산서,기타이익,3Q22,13187
연결손익계산서,기타손실,3Q22,-15725
연결손익계산서,법인세비용차감전순손익,3Q22,-303129
연결손익계산서,법인세비용(수익),3Q22,-37787
연결손익계산서,당기순손익,3Q22,-265341
연결손익계산서,기타포괄손익,3Q22,129563
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q22,133003
연결손익계산서,지분법자본변동?,3Q22,31689
연결손익계산서,현금흐름위험회피,3Q22,28704
연결손익계산서,해외사업환산손익 등,3Q22,72609
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q22,-3440
연결손익계산서,확정급여제도의 재측정요소,3Q22,-4
연결손익계산서,지분법이익잉여금 ?,3Q22,166
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),3Q22,-3602
연결손익계산서,총포괄손익,3Q22,-135779
연결손익계산서,지배기업소유주지분,3Q22,-268009
연결손익계산서,비지배지분,3Q22,2667
연결손익계산서,지배기업소유주지분,3Q22,-159578
연결손익계산서,비지배지분,3Q22,23799
연결손익계산서,기본주당손익 (단위 : 원),3Q22,-36443
연결손익계산서,희석주당손익 (단위 : 원),3Q22,-36443
연결손익계산서,매출액,4Q22,1641208
연결손익계산서,매출원가,4Q22,1313330
연결손익계산서,매출총이익,4Q22,327877
연결손익계산서,판매비와관리비,4Q22,270237
연결손익계산서,영업이익,4Q22,57641
연결손익계산서,지분법손익,4Q22,3633
연결손익계산서,순금융손익,4Q22,50418
연결손익계산서,금융수익,4Q22,215267
연결손익계산서,금융원가,4Q22,164849
연결손익계산서,기타영업외손익,4Q22,-61145
연결손익계산서,기타이익,4Q22,14604
연결손익계산서,기타손실,4Q22,-75749
연결손익계산서,법인세비용차감전순손익,4Q22,50546
연결손익계산서,법인세비용(수익),4Q22,-29060
연결손익계산서,당기순손익,4Q22,79606
연결손익계산서,기타포괄손익,4Q22,48096
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,4Q22,-155882
연결손익계산서,지분법자본변동?,4Q22,-31980
연결손익계산서,현금흐름위험회피,4Q22,-2173
연결손익계산서,해외사업환산손익 등,4Q22,-121730
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,4Q22,197521
연결손익계산서,확정급여제도의 재측정요소,4Q22,179862
연결손익계산서,지분법이익잉여금 ?,4Q22,25883
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),4Q22,-1767
연결손익계산서,총포괄손익,4Q22,127703
연결손익계산서,지배기업소유주지분,4Q22,125933
연결손익계산서,비지배지분,4Q22,-46327
연결손익계산서,지배기업소유주지분,4Q22,123841
연결손익계산서,비지배지분,4Q22,3861
연결손익계산서,기본주당손익 (단위 : 원),4Q22,17124
연결손익계산서,희석주당손익 (단위 : 원),4Q22,17124
연결손익계산서,매출액,1Q23,1564943
연결손익계산서,매출원가,1Q23,1251543
연결손익계산서,매출총이익,1Q23,313399
연결손익계산서,판매비와관리비,1Q23,237572
연결손익계산서,영업이익,1Q23,75828
연결손익계산서,지분법손익,1Q23,-14433
연결손익계산서,순금융손익,1Q23,-36761
연결손익계산서,금융수익,1Q23,194455
연결손익계산서,금융원가,1Q23,-231216
연결손익계산서,기타영업외손익,1Q23,3451
연결손익계산서,기타이익,1Q23,30736
연결손익계산서,기타손실,1Q23,-27284
연결손익계산서,법인세비용차감전순손익,1Q23,28085
연결손익계산서,법인세비용(수익),1Q23,43537
연결손익계산서,당기순손익,1Q23,-15452
연결손익계산서,기타포괄손익,1Q23,49445
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,1Q23,48850
연결손익계산서,지분법자본변동?,1Q23,11297
연결손익계산서,현금흐름위험회피,1Q23,-22247
연결손익계산서,해외사업환산손익 등,1Q23,59800
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,1Q23,595
연결손익계산서,확정급여제도의 재측정요소,1Q23,59
연결손익계산서,지분법이익잉여금 ?,1Q23,-634
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),1Q23,1170
연결손익계산서,총포괄손익,1Q23,33993
연결손익계산서,지배기업소유주지분,1Q23,8137
연결손익계산서,비지배지분,1Q23,-23589
연결손익계산서,지배기업소유주지분,1Q23,53101
연결손익계산서,비지배지분,1Q23,-19108
연결손익계산서,기본주당손익 (단위 : 원),1Q23,1106
연결손익계산서,희석주당손익 (단위 : 원),1Q23,1106
연결손익계산서,매출액,2Q23,1588345
연결손익계산서,매출원가,2Q23,1241872
연결손익계산서,매출총이익,2Q23,346473
연결손익계산서,판매비와관리비,2Q23,256089
연결손익계산서,영업이익,2Q23,90384
연결손익계산서,지분법손익,2Q23,-4872
연결손익계산서,순금융손익,2Q23,43836
연결손익계산서,금융수익,2Q23,250334
연결손익계산서,금융원가,2Q23,-206499
연결손익계산서,기타영업외손익,2Q23,-10984
연결손익계산서,기타이익,2Q23,14802
연결손익계산서,기타손실,2Q23,-25786
연결손익계산서,법인세비용차감전순손익,2Q23,118363
연결손익계산서,법인세비용(수익),2Q23,51040
연결손익계산서,당기순손익,2Q23,67324
연결손익계산서,기타포괄손익,2Q23,-75282
연결손익계산서,지분법자본변동?,2Q23,-10940
연결손익계산서,현금흐름위험회피,2Q23,-16303
연결손익계산서,해외사업환산손익 등,2Q23,-50129
연결손익계산서,확정급여제도의 재측정요소,2Q23,1
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),2Q23,2089
연결손익계산서,총포괄손익,2Q23,-7958
연결손익계산서,지배기업소유주지분,2Q23,90993
연결손익계산서,비지배지분,2Q23,-23669
연결손익계산서,지배기업소유주지분,2Q23,37431
연결손익계산서,비지배지분,2Q23,-45389
연결손익계산서,기본주당손익 (단위 : 원),2Q23,12373
연결손익계산서,희석주당손익 (단위 : 원),2Q23,12373
연결손익계산서,매출액,3Q23,1552725
연결손익계산서,매출원가,3Q23,1223040
연결손익계산서,매출총이익,3Q23,329684
연결손익계산서,판매비와관리비,3Q23,241255
연결손익계산서,영업이익,3Q23,88430
연결손익계산서,지분법손익,3Q23,-14494
연결손익계산서,순금융손익,3Q23,-9376
연결손익계산서,금융수익,3Q23,107962
연결손익계산서,금융원가,3Q23,-117337
연결손익계산서,기타영업외손익,3Q23,408
연결손익계산서,기타이익,3Q23,10562
연결손익계산서,기타손실,3Q23,-10154
연결손익계산서,법인세비용차감전순손익,3Q23,64968
연결손익계산서,법인세비용(수익),3Q23,53730
연결손익계산서,당기순손익,3Q23,11238
연결손익계산서,기타포괄손익,3Q23,-32398
연결손익계산서,후속기간에 당기손익으로 재분류되는 항목,3Q23,-30876
연결손익계산서,지분법자본변동?,3Q23,1788
연결손익계산서,현금흐름위험회피,3Q23,-23361
연결손익계산서,해외사업환산손익 등,3Q23,-9303
연결손익계산서,후속기간에 당기손익으로 재분류되지 않는 항목,3Q23,-1523
연결손익계산서,기타포괄손익-공정가치측정 금융자산평가이익(손실),3Q23,-1523
연결손익계산서,총포괄손익,3Q23,-21160
연결손익계산서,지배기업소유주지분,3Q23,46964
연결손익계산서,비지배지분,3Q23,-35726
연결손익계산서,지배기업소유주지분,3Q23,30054
연결손익계산서,비지배지분,3Q23,-51215
연결손익계산서,기본주당손익 (단위 : 원),3Q23,6386
연결손익계산서,희석주당손익 (단위 : 원),3Q23,6386
연결손익계산서,매출액,4Q23,1582430
연결손익계산서,매출원가,4Q23,1243487
연결손익계산서,매출총이익,4Q23,338943
연결손익계산서,판매비와관리비,4Q23,281054
연결손익계산서,영업이익,4Q23,57889
연결손익계산서,지분법손익,4Q23,-166504
연결손익계산서,순금융손익,4Q23,171390
연결손익계산서,금융수익,4Q23,355359
연결손익계산서,금융원가,4Q23,183969
연결손익계산서,기타영업외손익,4Q23,-29757
연결손익계산서,기타이익,4Q23,7376
연결손익계산서,기타손실,4Q23,-37132
