분류,항목,기간,수치
매출액,매출액 (총계),1Q21,1362496816
영업이익,영업이익 (총계),1Q21,77353482
영업이익 - 실리콘,실리콘 영업이익,1Q21,56691384
영업이익 - 건자재,건자재 영업이익,1Q21,14111317
영업이익 - 도료,도료 영업이익,1Q21,7557405
영업이익 - 기타,기타 영업이익,1Q21,-5537631
당기순이익,당기순이익 (총계),1Q21,30431138
매출액,매출액 (총계),2Q21,1512674056
영업이익,영업이익 (총계),2Q21,116987233
영업이익 - 실리콘,실리콘 영업이익,2Q21,79632687
영업이익 - 건자재,건자재 영업이익,2Q21,21595430
영업이익 - 도료,도료 영업이익,2Q21,11476361
영업이익 - 기타,기타 영업이익,2Q21,-3450653
당기순이익,당기순이익 (총계),2Q21,380919065
매출액,매출액 (총계),3Q21,1489988424
영업이익,영업이익 (총계),3Q21,120038930
영업이익 - 실리콘,실리콘 영업이익,3Q21,88344492
영업이익 - 건자재,건자재 영업이익,3Q21,20017751
영업이익 - 도료,도료 영업이익,3Q21,10864205
영업이익 - 기타,기타 영업이익,3Q21,3697497
당기순이익,당기순이익 (총계),3Q21,-232380271
매출액,매출액 (총계),4Q21,1509739996
영업이익,영업이익 (총계),4Q21,74390123
영업이익 - 실리콘,실리콘 영업이익,4Q21,44487892
영업이익 - 건자재,건자재 영업이익,4Q21,21545879
영업이익 - 도료,도료 영업이익,4Q21,-3608136
영업이익 - 기타,기타 영업이익,4Q21,1518684
당기순이익,당기순이익 (총계),4Q21,-232181101
매출액,매출액 (총계),1Q22,1637578460
매출액,QoQ(%),1Q22,8.5
매출액,YoY(%),1Q22,20.2
매출액,실리콘,1Q22,938388044
매출액,건자재,1Q22,249719561
매출액,도료,1Q22,357059787
매출액,기타,1Q22,92411068
영업이익,영업이익 (총계),1Q22,149407771
영업이익,영업이익률(%),1Q22,9.1
영업이익,QoQ(%),1Q22,100.8
영업이익,YoY(%),1Q22,93.1
영업이익 - 실리콘,실리콘 영업이익,1Q22,111477864
영업이익 - 실리콘,영업이익률(%),1Q22,11.9
영업이익 - 실리콘,QoQ(%),1Q22,150.6
영업이익 - 실리콘,YoY(%),1Q22,96.6
영업이익 - 건자재,건자재 영업이익,1Q22,21089766
영업이익 - 건자재,영업이익률(%),1Q22,8.4
영업이익 - 건자재,QoQ(%),1Q22,(2.1)
영업이익 - 건자재,YoY(%),1Q22,49.5
영업이익 - 도료,도료 영업이익,1Q22,6967734
영업이익 - 도료,영업이익률(%),1Q22,2.0
영업이익 - 도료,QoQ(%),1Q22,흑자전환
영업이익 - 도료,YoY(%),1Q22,(7.8)
영업이익 - 기타,기타 영업이익,1Q22,2260650
영업이익 - 기타,영업이익률(%),1Q22,2.4
영업이익 - 기타,QoQ(%),1Q22,48.9
영업이익 - 기타,YoY(%),1Q22,흑자전환
당기순이익,당기순이익 (총계),1Q22,32197302
당기순이익,당기순익률(%),1Q22,2.0
당기순이익,QoQ(%),1Q22,흑자전환
당기순이익,YoY(%),1Q22,5.8
당기순이익,지배순이익,1Q22,6580389
매출액,매출액 (총계),2Q22,1755882430
매출액,QoQ(%),2Q22,7.2
매출액,YoY(%),2Q22,16.1
매출액,실리콘,2Q22,977330660
매출액,건자재,2Q22,283284908
매출액,도료,2Q22,388189636
매출액,기타,2Q22,107077226
영업이익,영업이익 (총계),2Q22,164233643
영업이익,영업이익률(%),2Q22,9.4
영업이익,QoQ(%),2Q22,9.9
