항목,부문,기간,인원수
인원현황,영업,1Q23,689
인원현황,생산,1Q23,1782
인원현황,관리,1Q23,530
인원현황,연구,1Q23,537
인원현황, 합계 ,1Q23,3538
인원현황,영업,2Q23,696
인원현황,생산,2Q23,1799
인원현황,관리,2Q23,522
인원현황,연구,2Q23,541
인원현황, 합계 ,2Q23,3558
인원현황,영업,3Q23,695
인원현황,생산,3Q23,1826
인원현황,관리,3Q23,531
인원현황,연구,3Q23,551
인원현황, 합계 ,3Q23,3603
인원현황,영업,4Q23,692
인원현황,생산,4Q23,1823
인원현황,관리,4Q23,546
인원현황,연구,4Q23,554
인원현황, 합계 ,4Q23,3615
인원현황,영업,1Q24,689
인원현황,생산,1Q24,1814
인원현황,관리,1Q24,573
인원현황,연구,1Q24,561
인원현황, 합계 ,1Q24,3637
인원현황,영업,2Q24,698
인원현황,생산,2Q24,1815
인원현황,관리,2Q24,584
인원현황,연구,2Q24,555
인원현황, 합계 ,2Q24,3652
인원현황,영업,3Q24,711
인원현황,생산,3Q24,1862
인원현황,관리,3Q24,584
인원현황,연구,3Q24,572
인원현황, 합계 ,3Q24,3729
인원현황,영업,4Q24,699
인원현황,생산,4Q24,1841
인원현황,관리,4Q24,579
인원현황,연구,4Q24,569
인원현황, 합계 ,4Q24,3688
인원현황,영업,1Q25,821
인원현황,생산,1Q25,1879
인원현황,관리,1Q25,368
인원현황,연구,1Q25,560
인원현황, 합계 ,1Q25,3628
인원현황,영업,2Q25,815
인원현황,생산,2Q25,1865
인원현황,관리,2Q25,366
인원현황,연구,2Q25,558
인원현황, 합계 ,2Q25,3604
인원현황,영업,3Q25,815
인원현황,생산,3Q25,1848
인원현황,관리,3Q25,367
인원현황,연구,3Q25,556
인원현황, 합계 ,3Q25,3586
인원현황,영업,4Q25,812
인원현황,생산,4Q25,1834
인원현황,관리,4Q25,384
인원현황,연구,4Q25,553
인원현황, 합계 ,4Q25,3583
