데이터구분,기준일,연도,분기,기간표준,구분1,구분2,항목,수치,단위,search_tag,search_text
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,당기순이익,42300,백만원,2017Q4|주요재무지표|당기순이익|백만원,2017 Q4 | 2017-12-31 | 주요재무지표 | 당기순이익 | 백만원
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,부채비율,62.7,%,2017Q4|주요재무지표|부채비율|%,2017 Q4 | 2017-12-31 | 주요재무지표 | 부채비율 | % | (부채총계/자기자본)*100
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,부채총계,3677520,백만원,2017Q4|주요재무지표|부채총계|백만원,2017 Q4 | 2017-12-31 | 주요재무지표 | 부채총계 | 백만원
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,유동부채,2603527,백만원,2017Q4|주요재무지표|유동부채|백만원,2017 Q4 | 2017-12-31 | 주요재무지표 | 유동부채 | 백만원
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,유동비율,94.2,%,2017Q4|주요재무지표|유동비율|%,2017 Q4 | 2017-12-31 | 주요재무지표 | 유동비율 | % | (유동자산/유동부채)*100
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,유동자산,2452254,백만원,2017Q4|주요재무지표|유동자산|백만원,2017 Q4 | 2017-12-31 | 주요재무지표 | 유동자산 | 백만원
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,자기자본,5866257,백만원,2017Q4|주요재무지표|자기자본|백만원,2017 Q4 | 2017-12-31 | 주요재무지표 | 자기자본 | 백만원
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,자기자본비율,61.5,%,2017Q4|주요재무지표|자기자본비율|%,2017 Q4 | 2017-12-31 | 주요재무지표 | 자기자본비율 | % | (자기자본/총자산)*100
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,자기자본순이익률(roe),0.7,%,2017Q4|주요재무지표|자기자본순이익률(roe)|%,2017 Q4 | 2017-12-31 | 주요재무지표 | 자기자본순이익률(roe) | % | (당기순이익/자기자본)*100
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,자산총계,9543777,백만원,2017Q4|주요재무지표|자산총계|백만원,2017 Q4 | 2017-12-31 | 주요재무지표 | 자산총계 | 백만원
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,차입금,2248606,백만원,2017Q4|주요재무지표|차입금|백만원,2017 Q4 | 2017-12-31 | 주요재무지표 | 차입금 | 백만원
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,차입금의존도,23.6,%,2017Q4|주요재무지표|차입금의존도|%,2017 Q4 | 2017-12-31 | 주요재무지표 | 차입금의존도 | % | (차입금/총자산)*100
주요재무지표,2017-12-31,2017,Q4,2017 Q4,전사,,총자산이익률,0.4,%,2017Q4|주요재무지표|총자산이익률|%,2017 Q4 | 2017-12-31 | 주요재무지표 | 총자산이익률 | % | (당기순이익/총자산)*100
주요재무지표,2018-12-31,2018,Q4,2018 Q4,전사,,당기순이익,-23104,백만원,2018Q4|주요재무지표|당기순이익|백만원,2018 Q4 | 2018-12-31 | 주요재무지표 | 당기순이익 | 백만원
