기준일,연도,기간표준,카테고리,세부항목,핵심값,단위,비고_상세설명,search_tag,search_text,fact_text
상시,상시,상시,IR정보,IR담당자_부,장원석 프로,-,KCC IR 담당자(부)입니다.,상시|IR정보|담당자|장원석,IR 담당자 | 장원석 프로 | IR 담당자(부) | KCC IR 연락망 | 주식 담당자,KCC의 IR 담당자(부)는 장원석 프로입니다.
상시,상시,상시,IR정보,IR담당자_정,정연규 책임,-,KCC IR 담당자(정)입니다.,상시|IR정보|담당자|정연규,IR 담당자 | 정연규 책임 | IR 담당자(정) | KCC IR 연락망 | 주식 담당자,KCC의 IR 담당자(정)는 정연규 책임입니다.
2025-12-31,2025,2025년말,주요원재료,건자재_케이씨씨,"511,952",백만원,매입유형: 원재료 외 | 품목: 석고지 외 | 구체적용도: 석고보드 외 | 비율: 16.6% | 주요매입처: 아세아제지㈜ 외,2025년말|주요원재료|건자재|케이씨씨,2025년말 | 2025-12-31 기준 주요원재료 | 건자재 부문 | 대상회사 케이씨씨 | 석고지 외 | 아세아제지㈜ 외 | 원재료 매입액,"2025년말 기준 건자재 부문(케이씨씨)의 주요 매입 품목은 석고지 외 등(석고보드 외)입니다. 매입액은 511,952백만원(비율 16.6%)이며, 주요 매입처는 아세아제지㈜ 외입니다."
2025-12-31,2025,2025년말,주요원재료,기타_KCSKCVN,"30,051",백만원,"매입유형: 원재료 외 | 품목: ALUMINA 외 | 구체적용도: AM 외 | 비율: 0.97% | 주요매입처: DAEHAN CERAMICS CO., LTD 외",2025년말|주요원재료|기타|KCSKCVN,"2025년말 | 2025-12-31 기준 주요원재료 | 기타 부문 | 대상회사 KCSKCVN | ALUMINA 외 | DAEHAN CERAMICS CO., LTD 외 | 원재료 매입액","2025년말 기준 기타 부문(KCSKCVN)의 주요 매입 품목은 ALUMINA 외 등(AM 외)입니다. 매입액은 30,051백만원(비율 0.97%)이며, 주요 매입처는 DAEHAN CERAMICS CO., LTD 외입니다."
2025-12-31,2025,2025년말,주요원재료,기타_케이씨씨,"159,865",백만원,매입유형: 원재료 외 | 품목: 콜레마나이트 외 | 구체적용도: 장섬유 외 | 비율: 5.18% | 주요매입처: 경희케미칼 외,2025년말|주요원재료|기타|케이씨씨,2025년말 | 2025-12-31 기준 주요원재료 | 기타 부문 | 대상회사 케이씨씨 | 콜레마나이트 외 | 경희케미칼 외 | 원재료 매입액,"2025년말 기준 기타 부문(케이씨씨)의 주요 매입 품목은 콜레마나이트 외 등(장섬유 외)입니다. 매입액은 159,865백만원(비율 5.18%)이며, 주요 매입처는 경희케미칼 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_KCC(HK)KCK,"175,715",백만원,"매입유형: 원재료 외 | 품목: ZINC DUST 외 | 구체적용도: 도료 | 비율: 5.7% | 주요매입처: ETERNAL CHEMICAL INDUSTRY (CHINA) CO., LTD. 외",2025년말|주요원재료|도료|KCC(HK)KCK,"2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCC(HK)KCK | ZINC DUST 외 | ETERNAL CHEMICAL INDUSTRY (CHINA) CO., LTD. 외 | 원재료 매입액","2025년말 기준 도료 부문(KCC(HK)KCK)의 주요 매입 품목은 ZINC DUST 외 등(도료)입니다. 매입액은 175,715백만원(비율 5.7%)이며, 주요 매입처는 ETERNAL CHEMICAL INDUSTRY (CHINA) CO., LTD. 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_KCG,"45,573",백만원,"매입유형: 원재료 외 | 품목: ZINC DUST 외 | 구체적용도: 도료 | 비율: 1.48% | 주요매입처: ETERNAL MATERIALS INDUSTRY (GUANGDONG) CO., LTD. 외",2025년말|주요원재료|도료|KCG,"2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCG | ZINC DUST 외 | ETERNAL MATERIALS INDUSTRY (GUANGDONG) CO., LTD. 외 | 원재료 매입액","2025년말 기준 도료 부문(KCG)의 주요 매입 품목은 ZINC DUST 외 등(도료)입니다. 매입액은 45,573백만원(비율 1.48%)이며, 주요 매입처는 ETERNAL MATERIALS INDUSTRY (GUANGDONG) CO., LTD. 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_KCSKCS,"8,441",백만원,매입유형: 상품 | 품목: EH2350PTA-2260 외 | 구체적용도: 도료 | 비율: 0.27% | 주요매입처: CHIPMATE FZC TECHNOLOGY AND SERVICE 외,2025년말|주요원재료|도료|KCSKCS,2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCSKCS | EH2350PTA-2260 외 | CHIPMATE FZC TECHNOLOGY AND SERVICE 외 | 원재료 매입액,"2025년말 기준 도료 부문(KCSKCS)의 주요 매입 품목은 EH2350PTA-2260 외 등(도료)입니다. 매입액은 8,441백만원(비율 0.27%)이며, 주요 매입처는 CHIPMATE FZC TECHNOLOGY AND SERVICE 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_KCT,"48,579",백만원,매입유형: 원재료 외 | 품목: EPOXY RESIN 외 | 구체적용도: 도료 | 비율: 1.58% | 주요매입처: POLIMER AR GE PLASTIK A.S. (TURKIYE) 외,2025년말|주요원재료|도료|KCT,2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCT | EPOXY RESIN 외 | POLIMER AR GE PLASTIK A.S. (TURKIYE) 외 | 원재료 매입액,"2025년말 기준 도료 부문(KCT)의 주요 매입 품목은 EPOXY RESIN 외 등(도료)입니다. 매입액은 48,579백만원(비율 1.58%)이며, 주요 매입처는 POLIMER AR GE PLASTIK A.S. (TURKIYE) 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_KCTJ,"38,163",백만원,"매입유형: 원재료 외 | 품목: EPOXY RESIN 외 | 구체적용도: 도료 | 비율: 1.24% | 주요매입처: Allnex Resins (China) Co., Ltd. 외",2025년말|주요원재료|도료|KCTJ,"2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCTJ | EPOXY RESIN 외 | Allnex Resins (China) Co., Ltd. 외 | 원재료 매입액","2025년말 기준 도료 부문(KCTJ)의 주요 매입 품목은 EPOXY RESIN 외 등(도료)입니다. 매입액은 38,163백만원(비율 1.24%)이며, 주요 매입처는 Allnex Resins (China) Co., Ltd. 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_KCV,"80,128",백만원,매입유형: 원재료 외 | 품목: CUPROUS OXIDE LO LO TINT LM 외 | 구체적용도: 도료 | 비율: 2.6% | 주요매입처: AMERICAN CHEMET CORPORATION 외,2025년말|주요원재료|도료|KCV,2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 KCV | CUPROUS OXIDE LO LO TINT LM 외 | AMERICAN CHEMET CORPORATION 외 | 원재료 매입액,"2025년말 기준 도료 부문(KCV)의 주요 매입 품목은 CUPROUS OXIDE LO LO TINT LM 외 등(도료)입니다. 매입액은 80,128백만원(비율 2.6%)이며, 주요 매입처는 AMERICAN CHEMET CORPORATION 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_기타종속회사,"139,099",백만원,매입유형: 원재료 외 | 품목: TX GROUP XYLENE 외 | 구체적용도: 도료 | 비율: 4.51% | 주요매입처: Somu Solvents Private Limited 외,2025년말|주요원재료|도료|기타종속회사,2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 기타종속회사 | TX GROUP XYLENE 외 | Somu Solvents Private Limited 외 | 원재료 매입액,"2025년말 기준 도료 부문(기타종속회사)의 주요 매입 품목은 TX GROUP XYLENE 외 등(도료)입니다. 매입액은 139,099백만원(비율 4.51%)이며, 주요 매입처는 Somu Solvents Private Limited 외입니다."
2025-12-31,2025,2025년말,주요원재료,도료_케이씨씨,"837,039",백만원,매입유형: 원재료 외 | 품목: 에폭시수지 외 | 구체적용도: 도료 | 비율: 27.15% | 주요매입처: 금호피앤비화학주식회사 외,2025년말|주요원재료|도료|케이씨씨,2025년말 | 2025-12-31 기준 주요원재료 | 도료 부문 | 대상회사 케이씨씨 | 에폭시수지 외 | 금호피앤비화학주식회사 외 | 원재료 매입액,"2025년말 기준 도료 부문(케이씨씨)의 주요 매입 품목은 에폭시수지 외 등(도료)입니다. 매입액은 837,039백만원(비율 27.15%)이며, 주요 매입처는 금호피앤비화학주식회사 외입니다."
