구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기말,전기말,전전기말
ifrs_AssetsAbstract자산 [abstract],자산,1,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_AssetsAbstract,자산 [abstract],,,
ifrs_CurrentAssets   I. 유동자산,   유동자산,1-1,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_CurrentAssets,   I. 유동자산,"2,146,276,443,846","2,288,828,081,429","2,205,659,680,505"
ifrs_CashAndCashEquivalents      현금및현금성자산,      현금및현금성자산,1-1-01,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_CashAndCashEquivalents,      현금및현금성자산,"500,723,954,466","588,312,155,425","444,522,236,991"
entity00105271_udf_BS_201152514404131_CurrentAssets      정부보조금,      정부보조금,1-1-03,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152514404131_CurrentAssets,      정부보조금,,,
entity00105271_udf_BS_20153128574793_CurrentAssets      단기금융상품,      단기금융상품,1-1-02,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_20153128574793_CurrentAssets,      단기금융상품,"205,370,374,657","211,733,105,726","130,000,000,000"
ifrs_TradeAndOtherCurrentReceivables      매출채권,      매출채권,1-1-04,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_TradeAndOtherCurrentReceivables,      매출채권,"823,032,586,485","910,089,113,406","879,071,873,035"
entity00105271_udf_BS_2011525134942390_CurrentAssets      기타채권,      기타채권,1-1-05,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_2011525134942390_CurrentAssets,      기타채권,"40,882,514,645","26,814,542,643","26,327,435,615"
entity00105271_udf_BS_201152513505531_CurrentAssets      선급금,      선급금,1-1-07,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152513505531_CurrentAssets,      선급금,"26,376,269,034","17,401,310,063","190,870,374,586"
entity00105271_udf_BS_201152513520437_CurrentAssets      선급비용,      선급비용,1-1-08,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152513520437_CurrentAssets,      선급비용,"6,601,074,086","7,345,497,727","7,910,519,494"
entity00105271_udf_BS_201152513532250_CurrentAssets      유동파생상품자산,      기타유동금융자산,1-1-09,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_201152513532250_CurrentAssets,      유동파생상품자산,,,
entity00105271_udf_BS_2011525135848859_CurrentAssets      유동만기보유금융자산,      기타유동금융자산,1-1-09,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_2011525135848859_CurrentAssets,      유동만기보유금융자산,"1,384,314,733","1,470,078,050","278,252,071"
ifrs_Inventories      재고자산,      재고자산,1-1-11,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_Inventories,      재고자산,"541,905,355,740","525,662,278,389","526,678,988,713"
ifrs_NoncurrentAssets   Ⅱ. 비유동자산,   비유동자산,1-3,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_NoncurrentAssets,   Ⅱ. 비유동자산,"7,003,277,480,843","6,873,540,350,352","6,462,751,473,805"
dart_LongTermTradeAndOtherNonCurrentReceivablesGross      장기매출채권,      장기매출채권,1-3-01,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,      장기매출채권,"5,554,034,717","3,398,782,951","7,931,753,948"
entity00105271_udf_BS_2011525141412718_NoncurrentAssets      기타채권,      기타채권,1-3-04,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_2011525141412718_NoncurrentAssets,      기타채권,"86,388,109,697","88,217,380,257","62,777,954,511"
entity00105271_udf_BS_2011525141436171_NoncurrentAssets      매도가능금융자산,      기타비유동금융자산,1-3-05,"재무상태표, 유동/비유동법-연결재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_BS_2011525141436171_NoncurrentAssets,      매도가능금융자산,"3,281,827,215,969","3,149,289,928,803","3,090,955,729,830"
