순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,
1,자산, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
1-1,   유동자산," 1,775,142,347,472 "," 1,926,541,308,075 "," 2,010,669,298,356 "," 1,994,907,301,609 "," 2,159,547,814,631 "," 2,046,547,951,839 "," 2,077,040,264,799 "," 2,282,402,035,812 "," 2,329,200,902,118 "," 2,030,043,937,124 "," 2,084,981,072,198 "," 1,667,702,813,662 "," 1,961,598,595,903 "," 2,119,477,967,706 "," 1,898,338,506,003 "," 2,111,475,986,463 "," 2,418,489,129,040 "," 2,165,425,440,214 "," 2,125,995,908,431 "," 1,704,546,266,298 "," 2,299,643,468,533 "," 2,395,983,195,542 "," 2,005,125,986,454 "," 1,971,791,807,530 "," 2,158,317,269,586 "," 2,340,728,488,267 "," 2,401,533,059,820 "," 2,349,590,484,900 "," 2,448,592,675,262 "," 2,420,739,353,156 "," 2,467,466,739,959 "," 1,958,625,217,509 "," 2,401,953,449,551 "," 2,041,442,589,369 "," 2,021,694,729,990 ",
1-1-01,      현금및현금성자산," 423,784,746,043 "," 495,760,237,657 "," 245,516,014,520 "," 347,248,235,337 "," 389,014,195,337 "," 492,734,224,864 "," 512,357,682,949 "," 247,934,920,692 "," 344,181,300,679 "," 164,417,745,856 "," 180,894,610,894 "," 123,098,635,789 "," 306,020,567,303 "," 723,958,595,567 "," 386,100,855,688 "," 200,762,132,840 "," 239,611,205,625 "," 153,338,950,333 "," 152,587,763,206 "," 182,739,801,860 "," 153,638,741,361 "," 158,022,613,885 "," 227,730,272,327 "," 501,584,853,199 "," 555,886,473,413 "," 689,533,028,938 "," 732,684,371,662 "," 724,453,170,740 "," 730,153,274,711 "," 794,183,358,921 "," 855,245,701,152 "," 276,042,672,237 "," 699,444,779,136 "," 561,965,161,597 "," 684,640,214,515 ",
1-1-02,      단기금융상품," 150,000,000,000 "," 194,100,000,000 "," 480,486,700,000 "," 364,997,600,000 "," 483,921,000,000 "," 243,651,000,000 "," 297,626,500,000 "," 749,287,500,000 "," 729,431,000,000 "," 605,784,000,000 "," 702,078,000,000 "," 589,468,000,000 "," 631,475,800,000 "," 460,482,826,709 "," 596,621,193,782 "," 884,325,143,502 "," 1,262,127,353,207 "," 1,102,963,754,042 "," 1,075,576,334,113 "," 592,331,143,724 "," 1,101,441,327,791 "," 1,188,377,769,680 "," 702,058,349,689 "," 390,186,832,314 "," 474,572,401,110 "," 518,738,493,153 "," 490,438,218,642 "," 483,239,543,585 "," 526,750,734,574 "," 415,696,807,361 "," 461,144,029,082 "," 481,477,347,611 "," 509,061,062,939 "," 349,562,919,159 "," 194,776,672,418 ",
1-1-03,      매출채권," 696,908,934,848 "," 741,900,169,690 ", - , - ," 753,570,262,971 "," 800,672,703,705 "," 721,264,028,061 "," 679,272,008,300 "," 627,787,540,297 "," 673,966,232,931 "," 635,680,097,163 "," 485,611,370,682 "," 482,645,910,541 "," 480,409,543,850 "," 470,154,211,968 "," 423,072,586,072 "," 428,091,085,645 "," 473,234,447,824 "," 443,671,608,396 "," 458,683,843,335 "," 464,478,309,322 "," 527,947,145,966 "," 542,415,725,659 "," 551,255,319,157 "," 554,069,328,023 "," 571,215,843,926 "," 584,509,760,814 "," 554,698,572,981 "," 561,169,031,128 "," 625,430,248,200 "," 556,630,459,667 "," 571,907,684,943 "," 531,393,680,831 "," 559,686,460,459 "," 579,219,855,662 ",
1-1-04,      기타채권," 33,510,061,061 "," 17,178,062,667 ", - , - ," 62,825,015,418 "," 25,385,955,735 "," 27,912,885,616 "," 96,694,143,286 "," 128,353,308,103 "," 95,023,754,020 "," 39,446,653,353 "," 40,847,675,197 "," 98,371,784,772 "," 28,712,962,198 "," 41,059,290,978 "," 90,746,960,910 "," 132,323,914,014 "," 68,623,854,198 "," 73,784,537,947 "," 43,121,932,255 "," 119,028,155,655 "," 35,819,730,300 "," 41,898,053,258 "," 48,579,081,276 "," 79,352,913,124 "," 34,993,719,249 "," 37,826,459,560 "," 43,320,525,765 "," 83,382,196,588 "," 39,346,088,573 "," 42,057,876,356 "," 50,915,419,024 "," 116,492,611,202 "," 57,398,169,698 "," 60,597,376,662 ",
1-1-05,      매출채권 및 기타유동채권, - , - ," 808,751,401,711 "," 824,821,143,912 ", - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,
1-1-06,      선급금," 22,670,985,175 "," 30,020,237,389 "," 37,726,766,585 "," 16,826,197,873 "," 13,460,123,755 "," 11,431,759,648 "," 11,300,693,646 "," 12,882,681,303 "," 8,744,610,496 "," 6,797,605,689 "," 18,074,050,643 "," 6,848,195,352 "," 7,124,585,660 "," 5,077,537,475 "," 5,290,833,681 "," 6,736,683,828 "," 4,394,870,613 "," 4,087,364,715 "," 4,158,587,493 "," 4,242,460,985 "," 4,509,980,029 "," 9,807,287,244 "," 5,648,423,728 "," 4,708,451,708 "," 5,190,493,180 "," 6,315,524,626 "," 6,107,374,531 "," 6,777,412,037 "," 8,053,490,858 "," 5,878,910,641 "," 4,082,627,627 "," 3,795,327,892 "," 3,157,258,946 "," 2,966,016,033 "," 2,722,442,805 ",
1-1-07,      선급비용," 5,206,648,451 "," 6,667,698,889 "," 6,464,193,150 "," 6,140,336,769 "," 3,710,474,446 "," 5,699,893,671 "," 4,236,273,634 "," 3,351,099,316 "," 4,290,778,649 "," 7,006,468,255 "," 5,768,391,913 "," 4,496,911,848 "," 5,487,172,849 "," 9,982,291,035 "," 5,593,825,992 "," 4,053,048,099 "," 24,823,627,837 "," 11,861,293,309 "," 10,725,531,826 "," 10,702,398,383 "," 16,628,631,365 "," 14,788,994,828 "," 12,896,228,561 "," 14,396,287,908 "," 13,578,337,821 "," 12,136,298,578 "," 10,172,769,263 "," 14,722,804,399 "," 9,504,099,548 "," 10,474,256,004 "," 6,350,267,934 "," 6,068,180,608 "," 6,107,531,684 "," 6,069,831,841 "," 5,304,903,512 ",
1-1-08,      기타유동금융자산," 1,384,314,733 "," 10,583,022,139 "," 256,787,148 "," 334,648,875 "," 158,151,510 "," 328,184,071 "," 286,107,380 "," 1,099,991,128 "," 1,012,784,678 "," 1,675,726,242 "," 6,479,675,837 "," 5,380,794,668 "," 6,235,065,517 "," 10,082,652,648 "," 6,015,454,964 "," 7,278,804,728 "," 7,747,695,378 "," 2,853,157,914 "," 2,163,288,709 "," 2,441,155,065 "," 3,064,605,491 "," 3,882,132,787 "," 2,942,330,343 "," 3,839,800,045 "," 3,404,553,464 "," 5,060,480,923 "," 12,529,818,396 "," 9,768,359,072 "," 21,085,951,351 "," 18,838,416,221 "," 16,384,871,962 "," 21,688,982,917 "," 3,303,076,524 "," 2,833,718,358 "," 1,439,780,647 ",
