,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01,영업활동현금흐름," 73,646,603,266 "," 207,483,556,461 "," 265,801,232,239 "," 382,837,517,750 "," 90,102,436,920 "," 238,774,762,642 "," 340,254,065,636 "," 496,759,973,440 "," 48,215,375,095 "," 82,222,927,826 "," 182,324,564,360 "," 252,627,367,059 "," 73,563,763,818 "," 173,836,902,485 "," 238,565,796,592 "," 423,402,446,503 "," 5,387,477,702 "," 17,403,461,134 "," 50,309,062,474 "," 105,571,093,491 "," 40,549,699,197 "," 87,235,207,193 "," 148,336,505,732 "," 194,677,667,602 "," 61,146,888,016 "," 203,723,991,196 "," 319,915,386,040 "," 463,402,615,316 "," 88,103,089,535 "," 233,979,145,789 "," 344,499,699,584 "," 445,378,177,511 "," 108,895,328,379 "," 186,646,318,900 "," 255,418,285,028 "
01-01,   당기순이익(손실)," 32,782,227,260 "," 104,150,709,029 "," 175,880,073,623 "," 42,299,633,566 "," 376,314,926,417 "," 40,957,834,221 "," 359,812,313,693 ","-23,103,553,364 "," 33,229,965,254 ","-93,267,236,684 ","-127,390,985,811 ","-119,231,068,253 ","-305,061,236,613 "," 89,355,864,623 "," 19,316,452,862 "," 705,810,059,911 "," 145,584,420,918 "," 337,692,153,407 "," 73,981,000,941 "," 63,511,316,187 ","-40,486,140,780 "," 88,330,515,973 ","-188,514,843,254 "," 7,342,768,147 "," 55,652,118,543 "," 190,761,405,293 "," 290,755,937,292 "," 540,829,452,720 "," 575,561,937,477 "," 595,616,310,492 "," 632,465,097,686 "," 570,847,136,323 "," 106,653,594,263 "," 1,040,593,415,658 "," 1,407,078,451,417 "
01-02,   당기순이익조정을 위한 가감," 71,578,204,981 "," 143,009,349,284 "," 236,768,395,231 "," 533,985,042,214 ","-245,277,118,890 "," 260,831,737,650 "," 82,751,092,297 "," 570,479,568,498 "," 69,795,910,594 "," 337,142,669,560 "," 512,519,908,003 "," 577,662,787,333 "," 389,565,208,145 "," 85,584,401,993 "," 233,791,095,685 ","-372,632,202,424 ","-80,793,165,827 ","-189,732,994,432 "," 154,408,798,620 "," 247,377,848,380 "," 128,325,912,499 "," 116,314,485,803 "," 501,902,150,095 "," 394,652,733,107 "," 46,101,397,588 "," 56,040,211,166 "," 116,138,690,720 "," 181,403,534 ","-419,374,287,337 ","-268,145,573,473 ","-184,997,912,389 "," 57,374,234,250 "," 40,877,737,342 ","-771,475,263,500 ","-1,015,367,107,630 "
01-01,당기순이익(손실)," 32,782,227,260 "," 103,144,689,427 "," 169,001,088,961 ","-27,029,661,398 "," 369,104,287,679 "," 25,708,529,164 "," 353,248,011,169 ","-21,929,626,963 "," 36,190,199,106 ","-73,727,776,775 ","-127,390,985,811 ","-119,231,068,253 ","-305,061,236,613 "," 89,355,864,623 "," 19,316,452,862 "," 705,810,059,911 "," 145,584,420,918 "," 337,692,153,407 "," 73,981,000,941 "," 63,511,316,187 ","-40,486,140,780 "," 88,330,515,973 ","-188,514,843,254 "," 7,342,768,147 "," 55,652,118,543 "," 190,761,405,293 "," 290,755,937,292 "," 540,829,452,720 "," 575,561,937,477 "," 595,616,310,492 "," 632,465,097,686 "," 570,847,136,323 "," 106,653,594,263 "," 1,040,593,415,658 "," 1,407,078,451,417 "
01-02,당기순이익조정을 위한 가감," 71,578,204,981 "," 143,009,349,284 "," 236,768,395,231 "," 533,985,042,214 ","-245,277,118,890 "," 260,831,737,650 "," 82,751,092,297 "," 570,479,568,498 "," 69,795,910,594 "," 337,142,669,560 "," 512,519,908,003 "," 577,662,787,333 "," 389,565,208,145 "," 85,584,401,993 "," 233,791,095,685 ","-372,632,202,424 ","-80,793,165,827 ","-189,732,994,432 "," 154,408,798,620 "," 247,377,848,380 "," 128,325,912,499 "," 116,314,485,803 "," 501,902,150,095 "," 394,652,733,107 "," 46,101,397,588 "," 56,040,211,166 "," 116,138,690,720 "," 181,403,534 ","-419,374,287,337 ","-268,145,573,473 ","-184,997,912,389 "," 57,374,234,250 "," 40,877,737,342 ","-771,475,263,500 ","-1,015,367,107,630 "
01-02-01,법인세비용," 6,959,565,243 "," 30,056,818,845 "," 50,730,449,658 "," 35,653,022,637 "," 128,637,834,765 "," 26,943,507,934 "," 137,181,660,585 "," 10,741,517,762 "," 17,832,568,821 ","-18,765,397,836 ","-32,824,779,789 "," 30,653,830,941 ","-126,026,199,062 "," 8,546,347,771 ","-20,083,721,645 "," 159,830,642,100 "," 557,318,327 "," 112,524,311,604 "," 28,405,208,882 "," 13,395,034,801 "," 14,043,554,595 "," 69,597,562,878 ","-3,940,901,040 "," 576,144,491 "," 16,027,748,987 "," 59,555,927,807 "," 96,122,103,065 "," 164,553,190,773 "," 137,130,905,587 "," 150,647,047,201 "," 162,405,660,825 "," 67,496,503,366 "," 2,461,132,593 "," 348,094,817,513 "," 466,984,525,127 "
01-02-02,이자비용," 12,278,726,680 "," 25,111,752,929 "," 38,767,259,830 "," 52,736,753,503 "," 15,260,338,693 "," 32,423,916,160 "," 45,860,015,926 "," 60,677,158,821 "," 14,195,937,920 "," 30,299,480,159 "," 46,467,445,548 "," 63,256,546,279 "," 16,493,202,763 "," 34,526,051,571 "," 52,760,365,013 "," 69,372,447,977 "," 15,848,256,983 "," 32,370,617,941 "," 47,586,181,588 "," 63,446,914,548 "," 15,241,010,709 "," 35,852,479,098 "," 54,680,802,458 "," 73,534,245,694 "," 20,885,836,563 "," 44,250,982,374 "," 69,066,579,105 "," 96,048,171,208 "," 28,957,865,730 "," 60,641,737,157 "," 93,649,279,947 "," 127,171,775,164 "," 32,549,243,470 "," 63,934,272,473 "," 114,435,296,779 "
01-02-03,이자수익," 2,804,494,321 "," 5,768,034,014 "," 9,135,973,531 "," 13,941,198,940 "," 4,540,788,760 "," 11,013,677,579 "," 16,186,117,438 "," 24,308,074,585 "," 7,650,845,326 "," 14,514,878,758 "," 20,292,161,297 "," 27,128,249,003 "," 5,707,004,778 "," 10,147,734,442 "," 14,601,093,197 "," 18,014,084,566 "," 2,500,042,487 "," 6,464,946,660 "," 7,399,204,805 "," 8,058,719,604 "," 703,265,059 "," 1,371,371,603 "," 2,756,138,281 "," 6,500,854,649 "," 5,424,713,242 "," 11,661,885,709 "," 19,234,868,068 "," 27,365,666,858 "," 8,275,416,737 "," 17,972,832,909 "," 26,557,178,761 "," 36,672,969,571 "," 5,421,779,565 "," 11,136,240,334 "," 16,481,622,205 "
