,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지표,산출기준,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31
유동비율,(유동자산/유동부채)*100, 130.8 , 100.3 , 102.2 , 94.2 , 111.6 , 140.4 , 148.6 , 186.0 , 181.7 , 138.1 , 121.7 , 70.6 , 104.7 , 103.5 , 111.8 , 111.9 , 127.6 , 123.3 , 122.9 , 135.9 , 142.6 , 150.0 , 159.5 , 140.4 , 120.4 , 122.9 , 124.4 , 108.9 , 125.0 , 130.8 , 131.3 , 123.6 , 136.7 
유동자산,," 2,146,276,443,846 "," 2,330,469,860,624 "," 2,515,715,769,715 "," 2,452,254,425,449 "," 2,655,839,453,170 "," 2,551,773,334,887 "," 2,521,621,158,553 "," 2,645,608,937,749 "," 2,699,461,310,526 "," 2,388,997,542,957 "," 2,508,003,540,254 "," 2,059,589,238,830 "," 3,445,732,843,832 "," 3,507,795,050,946 "," 3,298,359,825,044 "," 3,372,155,707,442 "," 4,030,019,967,509 "," 3,876,922,519,120 "," 3,987,358,118,748 "," 3,668,126,354,343 "," 4,388,794,552,319 "," 4,604,773,485,862 "," 4,303,363,807,323 "," 4,029,782,763,437 "," 4,221,561,500,916 "," 4,296,128,539,384 "," 4,348,879,039,763 "," 4,178,192,966,688 "," 4,390,977,840,982 "," 4,398,761,946,970 "," 4,372,544,177,119 "," 3,994,488,398,577 "," 4,495,684,993,844 "
유동부채,," 1,641,337,595,307 "," 2,323,008,240,238 "," 2,461,725,168,877 "," 2,603,527,421,142 "," 2,380,723,124,439 "," 1,817,004,611,197 "," 1,696,367,483,104 "," 1,422,168,944,016 "," 1,485,564,943,549 "," 1,730,133,677,476 "," 2,061,091,782,620 "," 2,916,784,567,953 "," 3,290,027,511,591 "," 3,389,983,026,097 "," 2,951,209,725,706 "," 3,014,059,194,900 "," 3,157,950,561,484 "," 3,144,610,675,894 "," 3,245,584,251,915 "," 2,699,971,576,814 "," 3,077,569,330,023 "," 3,069,456,080,516 "," 2,697,212,451,974 "," 2,869,372,542,476 "," 3,507,062,739,917 "," 3,494,210,950,332 "," 3,496,920,840,177 "," 3,836,444,032,748 "," 3,512,623,880,202 "," 3,364,128,965,214 "," 3,331,172,498,453 "," 3,230,859,313,899 "," 3,287,556,313,117 "
부채비율,(부채총계/자기자본)*100, 52.8 , 53.6 , 56.2 , 62.7 , 65.4 , 55.9 , 52.9 , 56.2 , 57.6 , 62.8 , 65.9 , 110.7 , 156.8 , 149.0 , 145.1 , 135.4 , 146.1 , 139.4 , 143.8 , 139.6 , 150.5 , 150.3 , 150.5 , 136.3 , 140.4 , 142.6 , 144.0 , 145.1 , 141.4 , 167.1 , 164.2 , 160.1 , 140.7 
부채총계,," 3,162,798,897,681 "," 3,521,438,132,920 "," 3,586,458,081,939 "," 3,677,520,039,826 "," 4,043,886,508,082 "," 3,269,551,549,386 "," 3,237,463,720,716 "," 3,224,071,784,111 "," 3,292,249,561,935 "," 3,503,601,182,922 "," 3,618,707,464,053 "," 4,928,994,646,675 "," 7,339,063,764,490 "," 7,450,310,819,417 "," 7,031,258,447,042 "," 7,101,577,326,376 "," 7,677,667,292,164 "," 7,916,968,448,663 "," 7,935,874,518,694 "," 7,502,796,337,015 "," 8,061,671,409,682 "," 8,366,463,332,738 "," 8,164,670,647,524 "," 7,567,347,802,320 "," 7,771,258,660,368 "," 7,879,075,702,269 "," 7,913,369,206,337 "," 7,905,941,668,878 "," 8,261,675,122,684 "," 8,535,877,546,569 "," 8,392,005,581,995 "," 8,069,234,736,205 "," 8,805,934,470,405 "
자기자본,," 5,986,755,027,008 "," 6,571,665,568,081 "," 6,382,814,867,835 "," 5,866,256,798,392 "," 6,180,030,757,200 "," 5,844,747,746,165 "," 6,123,261,453,276 "," 5,741,346,635,246 "," 5,714,921,425,530 "," 5,580,430,745,112 "," 5,491,438,451,667 "," 4,453,226,856,338 "," 4,679,073,316,648 "," 4,999,588,721,446 "," 4,846,372,630,736 "," 5,245,995,001,770 "," 5,255,126,642,361 "," 5,679,412,973,934 "," 5,519,848,739,702 "," 5,376,066,871,921 "," 5,357,632,354,824 "," 5,566,568,815,503 "," 5,423,435,959,601 "," 5,551,138,505,338 "," 5,533,652,339,853 "," 5,525,694,562,971 "," 5,497,180,036,504 "," 5,447,529,409,519 "," 5,841,810,358,266 "," 5,108,714,579,193 "," 5,111,353,471,138 "," 5,039,315,406,549 "," 6,260,236,214,540 "
자기자본비율,(자기자본/총자산)*100, 65.4 , 65.1 , 64.0 , 61.5 , 60.4 , 64.1 , 65.4 , 64.0 , 63.4 , 61.4 , 60.3 , 47.5 , 38.9 , 40.2 , 40.8 , 42.5 , 40.6 , 41.8 , 41.0 , 41.7 , 39.9 , 40.0 , 39.9 , 42.3 , 41.6 , 41.2 , 41.0 , 40.8 , 41.4 , 37.4 , 37.9 , 38.4 , 41.6 
자기자본,," 5,986,755,027,008 "," 6,571,665,568,081 "," 6,382,814,867,835 "," 5,866,256,798,392 "," 6,180,030,757,200 "," 5,844,747,746,165 "," 6,123,261,453,276 "," 5,741,346,635,246 "," 5,714,921,425,530 "," 5,580,430,745,112 "," 5,491,438,451,667 "," 4,453,226,856,338 "," 4,679,073,316,648 "," 4,999,588,721,446 "," 4,846,372,630,736 "," 5,245,995,001,770 "," 5,255,126,642,361 "," 5,679,412,973,934 "," 5,519,848,739,702 "," 5,376,066,871,921 "," 5,357,632,354,824 "," 5,566,568,815,503 "," 5,423,435,959,601 "," 5,551,138,505,338 "," 5,533,652,339,853 "," 5,525,694,562,971 "," 5,497,180,036,504 "," 5,447,529,409,519 "," 5,841,810,358,266 "," 5,108,714,579,193 "," 5,111,353,471,138 "," 5,039,315,406,549 "," 6,260,236,214,540 "
자산총계,," 9,149,553,924,689 "," 10,093,103,701,001 "," 9,969,272,949,774 "," 9,543,776,838,218 "," 10,223,917,265,282 "," 9,114,299,295,551 "," 9,360,725,173,992 "," 8,965,418,419,357 "," 9,007,170,987,465 "," 9,084,031,928,034 "," 9,110,145,915,720 "," 9,382,221,503,013 "," 12,018,137,081,138 "," 12,449,899,540,863 "," 11,877,631,077,778 "," 12,347,572,328,146 "," 12,932,793,934,525 "," 13,596,381,422,597 "," 13,455,723,258,396 "," 12,878,863,208,936 "," 13,419,303,764,506 "," 13,933,032,148,241 "," 13,588,106,607,125 "," 13,118,486,307,658 "," 13,304,911,000,221 "," 13,404,770,265,240 "," 13,410,549,242,841 "," 13,353,471,078,397 "," 14,103,485,480,950 "," 13,644,592,125,762 "," 13,503,359,053,133 "," 13,108,550,142,754 "," 15,066,170,684,945 "
차입금의존도,(차입금/총자산)*100, 21.1 , 20.8 , 22.3 , 23.6 , 24.0 , 19.7 , 19.0 , 20.9 , 21.9 , 25.9 , 27.3 , 26.6 , 41.2 , 40.9 , 39.1 , 35.3 , 37.7 , 36.8 , 37.9 , 35.6 , 37.8 , 38.5 , 38.1 , 37.2 , 38.3 , 39.4 , 39.9 , 38.6 , 37.4 , 41.0 , 40.8 , 39.6 , 37.4 
