구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기 3개월,당기 1분기 누적,전기 1분기 3개월,전기 1분기 누적,전기,전전기
ifrs_Revenue수익 (매출액),매출액,01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_Revenue,수익 (매출액),"768,902,200,313","768,902,200,313","710,299,889,467","710,299,889,467","3,152,300,110,386","3,067,640,038,239"
ifrs_CostOfSales매출원가,매출원가,02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_CostOfSales,매출원가,"586,609,171,452","586,609,171,452","521,668,055,659","521,668,055,659","2,358,197,294,181","2,316,252,063,382"
ifrs_GrossProfit매출총이익,매출총이익,03,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_GrossProfit,매출총이익,"182,293,028,861","182,293,028,861","188,631,833,808","188,631,833,808","794,102,816,205","751,387,974,857"
dart_TotalSellingGeneralAdministrativeExpenses판매비와관리비,판매비와관리비,04,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,"120,862,944,766","120,862,944,766","117,737,232,470","117,737,232,470","518,330,131,852","494,583,718,257"
dart_OperatingIncomeLoss영업이익(손실),영업이익,05,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_OperatingIncomeLoss,영업이익(손실),"61,430,084,095","61,430,084,095","70,894,601,338","70,894,601,338","275,772,684,353","256,804,256,600"
entity00105271_udf_IS_2011526104859578_StatementOfComprehensiveIncomeAbstract순금융손익,순금융손익,06,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_2011526104859578_StatementOfComprehensiveIncomeAbstract,순금융손익,"-21,588,641,656","-21,588,641,656","-9,150,025,320","-9,150,025,320","-12,885,463,488","-23,657,614,193"
entity00105271_udf_IS_201152610490921_StatementOfComprehensiveIncomeAbstract금융수익,금융수익,06-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201152610490921_StatementOfComprehensiveIncomeAbstract,금융수익,"58,932,479,418","58,932,479,418","29,503,537,242","29,503,537,242","85,081,424,559","177,175,136,481"
entity00105271_udf_IS_201543154418169_StatementOfComprehensiveIncomeAbstract금융원가,금융원가,06-02,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201543154418169_StatementOfComprehensiveIncomeAbstract,금융원가,"-80,521,121,074","-80,521,121,074","-38,653,562,562","-38,653,562,562","-97,966,888,047","-200,832,750,674"
entity00105271_udf_IS_201543154532749_StatementOfComprehensiveIncomeAbstract기타영업외손익,기타영업외손익,07,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201543154532749_StatementOfComprehensiveIncomeAbstract,기타영업외손익,"-99,649,936","-99,649,936","-848,035,821","-848,035,821","-70,683,730,471","-18,617,071,089"
entity00105271_udf_IS_201543162920715_StatementOfComprehensiveIncomeAbstract기타 이익,기타이익,07-01,"포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_IS_201543162920715_StatementOfComprehensiveIncomeAbstract,기타 이익,"9,287,074,710","9,287,074,710","8,236,988,406","8,236,988,406","33,843,261,419","54,236,944,077"
