구분자,구분자,구분자,재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 1분기,전기 1분기,전기,전전기,
ifrs_CashFlowsFromUsedInOperatingActivitiesⅠ.영업활동으로 인한 현금흐름,영업활동현금흐름,01,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_CashFlowsFromUsedInOperatingActivities,Ⅰ.영업활동으로 인한 현금흐름,"73,646,603,266","53,290,366,630","384,355,124,280","227,094,905,519",
dart_ProfitLossForStatementOfCashFlows   (1)당기순이익(손실),당기순이익(손실),01-01,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_ProfitLossForStatementOfCashFlows,   (1)당기순이익(손실),"32,782,227,260","47,472,432,148","132,305,136,003","157,017,135,982",
ifrs_AdjustmentsForReconcileProfitLoss   (2)비현금비용(수익)조정,당기순이익조정을 위한 가감,01-02,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_AdjustmentsForReconcileProfitLoss,   (2)비현금비용(수익)조정,"71,578,204,981","86,071,813,939","387,183,893,932","297,250,081,167",
ifrs_AdjustmentsForIncomeTaxExpense      법인세비용,법인세비용,01-02-01,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,ifrs_AdjustmentsForIncomeTaxExpense,      법인세비용,"6,959,565,243","13,424,108,049","59,898,354,391","57,512,435,336",
dart_AdjustmentsForInterestExpenses      이자비용,이자비용,01-02-02,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForInterestExpenses,      이자비용,"12,278,726,680","11,171,922,531","48,015,417,686","33,887,949,314",
entity00105271_udf_CF_20133615958350_AdjustmentsForReconcileProfitLoss      통화스왑평가손실,통화스왑평가손실,01-02-09,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20133615958350_AdjustmentsForReconcileProfitLoss,      통화스왑평가손실,"25,204,535,018","12,057,173,436","7,264,160,988","5,527,072,819",
entity00105271_udf_CF_20115261159510_AdjustmentsForReconcileProfitLoss      파생상품평가손실,파생상품평가손실,01-02-11,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20115261159510_AdjustmentsForReconcileProfitLoss,      파생상품평가손실,"36,697,647","145,091,876","265,142,331","184,635,634",
entity00105271_udf_CF_201286153813333_AdjustmentsForReconcileProfitLoss      파생상품거래손실,파생상품거래손실,01-02-13,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201286153813333_AdjustmentsForReconcileProfitLoss,      파생상품거래손실,"325,890,946","516,940,843","2,008,872,589","3,977,612,956",
entity00105271_udf_CF_20115261203187_AdjustmentsForReconcileProfitLoss      감가상각비(투자부동산포함),감가상각비,01-02-23,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20115261203187_AdjustmentsForReconcileProfitLoss,      감가상각비(투자부동산포함),"46,622,276,619","43,799,931,097","184,393,912,869","140,739,914,589",
entity00105271_udf_CF_201182413315171_AdjustmentsForReconcileProfitLoss      운휴자산상각비,운휴자산상각비,01-02-24,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201182413315171_AdjustmentsForReconcileProfitLoss,      운휴자산상각비,"1,036,156","1,036,156","4,144,629","255,867,305",
dart_AdjustmentsForAmortisationExpense      영업권 이외의 무형자산상각비,무형자산상각비,01-02-26,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForAmortisationExpense,      영업권 이외의 무형자산상각비,"262,781,178","286,490,563","1,154,556,532","766,102,538",
dart_AdjustmentsForProvisionForSeveranceIndemnities      퇴직급여,퇴직급여,01-02-31,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForProvisionForSeveranceIndemnities,      퇴직급여,"10,431,396,037","9,626,242,686","44,915,587,263","35,308,146,632",
entity00105271_udf_CF_20115261348093_AdjustmentsForReconcileProfitLoss      기타장기종업원급여,기타장기종업원급여,01-02-52,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20115261348093_AdjustmentsForReconcileProfitLoss,      기타장기종업원급여,"95,148,006","83,177,206","850,187,989","332,382,487",
dart_AdjustmentsForLossOnForeignExchangeTranslations      외화환산손실,외화환산손실,01-02-07,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForLossOnForeignExchangeTranslations,      외화환산손실,"15,662,133,857","11,857,774,319","15,200,473,109","24,954,740,304",
dart_AdjustmentsForLossOnDispositionOfTangibleAssets      유형자산처분손실,유형자산처분손실,01-02-32,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForLossOnDispositionOfTangibleAssets,      유형자산처분손실,"468,762,390","63,000","103,064,285","198,235,629",
entity00105271_udf_CF_201389111827299_AdjustmentsForReconcileProfitLoss      영업권 이외의 무형자산처분손실,무형자산처분손실,01-02-33,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201389111827299_AdjustmentsForReconcileProfitLoss,      영업권 이외의 무형자산처분손실,"16,670,969","11,647,645","34,479,523","15,200,427",
entity00105271_udf_CF_201152612216921_AdjustmentsForReconcileProfitLoss      수선비등,수선비 등,01-02-40,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201152612216921_AdjustmentsForReconcileProfitLoss,      수선비등,"188,592,085","143,396,849","1,039,757,401","5,789,829,774",
entity00105271_udf_CF_20115261372146_AdjustmentsForReconcileProfitLoss      하자보수충당부채전입액,충당부채전입액,01-02-44,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20115261372146_AdjustmentsForReconcileProfitLoss,      하자보수충당부채전입액,"1,179,172,931","1,092,125,629","4,877,199,824","9,284,916,290",
entity00105271_udf_CF_2016310105838915_AdjustmentsForReconcileProfitLoss      산림훼손복구충당부채전입액,충당부채전입액,01-02-44,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2016310105838915_AdjustmentsForReconcileProfitLoss,      산림훼손복구충당부채전입액,"134,314,802",,"4,452,164,423","28,918,649",
entity00105271_udf_CF_20141110105825507_AdjustmentsForReconcileProfitLoss      매도가능금융자산처분손실,금융자산처분손실,01-02-18,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_20141110105825507_AdjustmentsForReconcileProfitLoss,      매도가능금융자산처분손실,,"1,000","135,404,348","117,762,470,233",
dart_AdjustmentsForBadDebtExpenses      대손상각비,대손상각비,01-02-27,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForBadDebtExpenses,      대손상각비,"4,056,379,708","4,209,150,556","13,036,152,231","1,986,707,404",
dart_AdjustmentsForInterestIncome      이자수익,이자수익,01-02-03,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForInterestIncome,      이자수익,"2,804,494,321","1,502,375,680","6,555,727,577","8,922,553,941",
entity00105271_udf_CF_201182413633953_AdjustmentsForReconcileProfitLoss      배당금수익,배당금수익,01-02-04,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_201182413633953_AdjustmentsForReconcileProfitLoss,      배당금수익,"-14,797,730,200","-12,023,579,150","-12,123,579,150","-11,385,280,314",
entity00105271_udf_CF_2011526115948828_AdjustmentsForReconcileProfitLoss      통화스왑평가이익,통화스왑평가이익,01-02-10,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526115948828_AdjustmentsForReconcileProfitLoss,      통화스왑평가이익,"-4,564,320,916",,"-9,014,308,201","-18,374,541,672",
entity00105271_udf_CF_2011526115958296_AdjustmentsForReconcileProfitLoss      파생상품평가이익,파생상품평가이익,01-02-12,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2011526115958296_AdjustmentsForReconcileProfitLoss,      파생상품평가이익,"-77,599,884",,"-347,315,896",,
entity00105271_udf_CF_2012223161837434_AdjustmentsForReconcileProfitLoss      파생상품거래이익,파생상품거래이익,01-02-15,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,entity00105271_udf_CF_2012223161837434_AdjustmentsForReconcileProfitLoss,      파생상품거래이익,"-639,317,204","-596,559,959","-2,485,856,972","-2,748,098,679",
dart_AdjustmentsForGainOnForeignExchangeTranslations      외화환산이익,외화환산이익,01-02-08,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForGainOnForeignExchangeTranslations,      외화환산이익,"27,830,940,918","7,694,237,324","16,132,706,953","6,484,764,703",
dart_AdjustmentsForGainOnDispositionOfTangibleAssets      유형자산처분이익,유형자산처분이익,01-02-34,"현금흐름표, 간접법 - 별도재무제표",[002380],케이씨씨,유가증권시장상장법인,204,기타 화학제품 제조업,12,2017-03-31,1분기보고서,KRW,dart_AdjustmentsForGainOnDispositionOfTangibleAssets,      유형자산처분이익,"35,794,812","58,352,394","278,154,256","526,647,520",
