차입금 (단위: 천원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구? 분,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
 유동성 차입금 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ?단기차입금 ," 918,788,553 "," 1,085,017,833 "," 1,201,780,645 "," 1,248,242,729 "," 951,594,259 "," 786,605,774 "," 768,254,610 "," 564,361,598 "," 657,138,605 "," 1,046,147,502 "," 1,180,875,299 "," 1,190,212,175 "," 1,624,547,248 "," 1,671,916,458 "," 1,362,577,980 "," 972,445,146 "," 1,324,034,598 "," 1,317,352,858 "," 1,322,391,393 "," 842,904,954 "," 908,175,699 "," 860,033,973 "," 534,984,785 "," 514,339,274 "," 1,029,631,907 "," 992,103,179 "," 995,063,724 "," 1,217,352,890 "," 1,062,722,709 "," 898,223,237 "," 937,948,960 "," 910,081,138 "," 1,008,542,409 "," 976,434,865 "," 995,194,049 "
 ?유동성장기부채 ," 101,007,851 "," 216,230,997 "," 217,117,958 "," 309,641,913 "," 309,248,295 "," 201,691,275 "," 201,822,784 "," 101,830,365 "," 101,944,457 "," 101,926,762 "," 101,689,579 "," 101,026,827 "," 111,158,005 "," 110,062,059 "," 110,736,094 "," 109,173,870 "," 109,568,743 "," 89,539,197 "," 189,955,610 "," 189,935,036 "," 190,147,061 "," 110,779,128 "," 11,866,186 "," 10,544,148 "," 411,082,300 "," 450,542,800 "," 451,774,800 "," 553,484,415 "," 286,454,988 "," 249,607,075 "," 243,863,355 "," 150,080,700 "," 12,465,250 "," 11,529,400 "," 11,918,700 "
 ?유동성사채 ,," 391,851,230 "," 393,238,084 "," 380,724,009 "," 380,067,878 ", - , - , - ,,," 199,936,799 "," 199,953,501 "," 499,701,110 "," 499,790,197 "," 299,877,572 "," 579,747,851 "," 279,858,084 "," 279,918,905 "," 279,979,726 ", - ," 199,890,045 "," 349,778,512 "," 349,846,700 "," 669,746,220 "," 469,846,388 "," 519,761,611 "," 519,858,278 "," 369,805,197 "," 369,893,482 "," 439,748,483 "," 439,853,201 "," 319,909,994 "," 464,798,166 "," 469,645,831 "," 1,170,380,852 "
 소? 계 ," 1,019,796,404 "," 1,693,100,060 "," 1,812,136,687 "," 1,938,608,651 "," 1,640,910,432 "," 988,297,049 "," 970,077,394 "," 666,191,963 "," 759,083,062 "," 1,148,074,264 "," 1,482,501,677 "," 1,491,192,503 "," 2,235,406,363 "," 2,281,768,714 "," 1,773,191,646 "," 1,661,366,867 "," 1,713,461,425 "," 1,686,810,960 "," 1,792,326,729 "," 1,032,839,990 "," 1,298,212,805 "," 1,320,591,613 "," 896,697,671 "," 1,194,629,642 "," 1,910,560,595 "," 1,962,407,590 "," 1,966,696,802 "," 2,140,642,502 "," 1,719,071,179 "," 1,587,578,795 "," 1,621,665,516 "," 1,380,071,832 "," 1,485,805,825 "," 1,457,610,096 "," 2,177,493,601 "
 비유동성 차입금 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ?장기차입금 ," 323,983,410 "," 210,927,908 "," 210,567,170 "," 110,174,920 "," 109,750,967 "," 109,295,139 "," 112,282,584 "," 111,755,154 "," 111,406,847 "," 110,974,987 "," 110,648,121 "," 110,214,897 "," 2,111,142,626 "," 2,056,583,676 "," 2,117,037,671 "," 1,976,222,404 "," 2,446,632,584 "," 2,396,906,662 "," 2,387,426,693 "," 2,388,006,265 "," 2,800,149,785 "," 2,930,951,936 "," 3,161,330,063 "," 2,888,547,003 "," 2,387,341,435 "," 2,400,285,649 "," 2,464,805,120 ","2,261,570,424","2,230,189,340","2,946,903,091","2,836,327,929","2,499,421,726","2,594,514,913","2,480,885,354","1,594,349,558"
 ?비유동성사채 ," 587,482,456 "," 199,791,537 "," 199,806,987 "," 199,822,438 "," 698,473,566 "," 698,576,775 "," 698,679,983 "," 1,097,730,884 "," 1,097,926,833 "," 1,098,122,782 "," 898,381,932 "," 898,561,179 "," 599,013,762 "," 748,683,789 "," 748,831,620 "," 718,668,794 "," 718,791,940 "," 918,374,014 "," 918,539,507 "," 1,168,017,832 "," 968,354,809 "," 1,117,873,449 "," 1,118,099,157 "," 798,493,508 "," 798,672,519 "," 918,134,684 "," 918,321,732 "," 748,637,262 "," 1,327,304,968 "," 1,057,792,356 "," 1,058,013,448 "," 1,307,469,090 "," 1,561,826,923 "," 1,287,383,694 "," 1,287,652,904 "
 소? 계 ," 911,465,866 "," 410,719,445 "," 410,374,157 "," 309,997,358 "," 808,224,533 "," 807,871,914 "," 810,962,567 "," 1,209,486,038 "," 1,209,333,680 "," 1,209,097,769 "," 1,009,030,053 "," 1,008,776,076 "," 2,710,156,388 "," 2,805,267,465 "," 2,865,869,291 "," 2,694,891,198 "," 3,165,424,524 "," 3,315,280,676 "," 3,305,966,200 "," 3,556,024,097 "," 3,768,504,594 "," 4,048,825,385 "," 4,279,429,220 "," 3,687,040,511 "," 3,186,013,954 "," 3,318,420,333 "," 3,383,126,852 "," 3,010,207,686 "," 3,557,494,308 "," 4,004,695,447 "," 3,894,341,377 "," 3,806,890,815 "," 4,156,341,836 "," 3,768,269,048 "," 2,882,002,462 "
