순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
1,자산,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1-1,   유동자산,"2,146,276,443,846 ","2,330,469,860,624 ","2,515,715,769,715 ","2,452,254,425,449 ","2,655,839,453,170 ","2,551,773,334,887 ","2,521,621,158,553 ","2,645,608,937,749 ","2,699,461,310,526 ","2,388,997,542,957 ","2,508,003,540,254 ","2,059,589,238,830 ","3,445,732,843,832 ","3,507,795,050,946 ","3,298,359,825,044 ","3,372,155,707,442 ","4,030,019,967,509 ","3,876,922,519,120 ","3,987,358,118,748 ","3,668,126,354,343 ","4,388,794,552,319 ","4,604,773,485,862 ","4,303,363,807,323 ","4,029,782,763,437 ","4,221,561,500,916 ","4,296,128,539,384 ","4,348,879,039,763 ","4,178,192,966,688 ","4,390,977,840,982 ","4,398,761,946,970 ","4,372,544,177,119 ","3,994,488,398,577 ","4,495,684,993,844 ","4,012,252,101,374 ","4,018,869,302,400 "
1-1-01,      현금및현금성자산,"500,723,954,466 ","550,531,504,691 ","302,264,463,533 ","380,048,384,854 ","428,254,215,453 ","559,095,009,578 ","617,297,226,851 ","337,235,223,877 ","435,327,505,431 ","232,033,134,822 ","294,467,120,749 ","214,364,777,780 ","563,111,797,648 ","946,045,234,138 ","628,283,078,020 ","492,511,997,839 ","509,223,201,952 ","461,687,002,970 ","503,289,797,888 ","541,200,616,648 ","328,395,519,792 ","394,154,024,442 ","467,291,366,393 ","776,747,673,687 ","830,350,616,562 ","973,610,321,732 ","1,029,439,410,872 ","1,045,142,107,132 ","1,083,647,853,394 ","1,072,629,692,307 ","1,040,909,621,574 ","501,329,763,430 ","906,545,127,761 ","781,684,859,067 ","915,207,590,363 "
1-1-02,      단기금융상품,"205,370,374,657 ","271,136,641,959 ","556,368,743,743 ","443,348,282,559 ","564,160,897,167 ","322,725,106,950 ","331,644,166,562 ","800,311,047,566 ","779,319,774,322 ","678,703,949,057 ","742,274,235,679 ","638,485,534,852 ","677,617,716,463 ","478,523,480,508 ","615,514,529,428 ","904,435,355,205 ","1,267,588,225,086 ","1,118,129,808,433 ","1,089,605,155,159 ","604,744,648,838 ","1,125,966,991,314 ","1,207,028,880,989 ","722,731,818,346 ","408,423,843,767 ","488,875,351,352 ","540,229,586,636 ","514,967,228,866 ","509,868,880,834 ","548,928,526,189 ","436,662,924,063 ","486,318,585,918 ","510,145,132,540 ","531,205,280,620 ","374,098,574,572 ","216,899,414,351 "
1-1-03,      정부보조금,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1-1-04,      매출채권,"823,032,586,485 ","889,074,414,846 ",0 ,0 ,"978,798,481,880 ","987,805,596,551 ","894,094,488,199 ","838,156,901,581 ","784,576,996,368 ","811,209,357,250 ","751,153,758,973 ","600,451,081,714 ","987,811,662,098 ","948,568,133,921 ","964,249,619,730 ","916,898,552,715 ","1,003,223,084,121 ","1,069,296,273,670 ","1,078,858,449,782 ","1,024,255,841,051 ","1,189,204,170,369 ","1,239,219,980,859 ","1,255,329,181,982 ","1,077,382,573,724 ","1,104,325,411,304 ","1,082,310,224,311 ","1,110,217,600,813 ","1,039,818,291,729 ","1,131,244,948,722 ","1,255,106,356,834 ","1,201,619,288,258 ","1,213,492,615,213 ","1,215,685,432,942 ","1,192,692,646,869 ","1,207,092,900,633 "
1-1-05,      기타채권,"40,882,514,645 ","24,460,665,590 ",0 ,0 ,"75,363,530,435 ","75,347,722,963 ","43,890,503,409 ","44,109,879,972 ","93,961,161,262 ","55,079,618,202 ","61,760,334,226 ","103,388,380,687 ","145,165,439,798 ","69,728,787,702 ","81,686,278,480 ","95,276,316,477 ","166,529,989,023 ","89,812,303,027 ","93,716,877,010 ","103,882,636,928 ","176,538,679,470 ","98,384,674,211 ","93,908,479,278 ","123,926,242,471 ","146,978,767,040 ","105,148,467,060 ","79,681,837,522 ","89,234,553,349 ","131,177,246,354 ","96,689,224,491 ","85,891,380,575 ","95,247,085,439 ","179,967,706,392 ","99,302,744,257 ","109,069,523,752 "
1-1-06,      매출채권 및 기타유동채권,0 ,0 ,"1,027,018,693,994 ","1,049,419,430,224 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
1-1-07,      선급금,"26,376,269,034 ","40,491,400,878 ","61,805,824,350 ","22,207,410,963 ","36,990,167,227 ","26,606,631,261 ","22,651,275,687 ","27,588,804,722 ","18,215,126,785 ","28,025,034,903 ","48,105,410,907 ","10,753,428,610 ","18,975,565,977 ","14,226,508,473 ","20,371,903,968 ","13,844,348,432 ","14,948,762,531 ","16,443,852,657 ","16,496,882,286 ","21,880,211,833 ","20,911,890,841 ","26,966,863,385 ","24,710,223,931 ","16,748,692,808 ","17,795,191,736 ","20,965,915,528 ","16,992,426,121 ","16,696,258,276 ","18,973,964,646 ","19,135,569,870 ","15,662,254,479 ","16,911,153,066 ","15,380,795,883 ","14,394,720,407 ","15,964,327,764 "
1-1-08,      선급비용,"6,601,074,086 ","7,832,283,137 ","7,944,281,310 ","7,401,548,768 ","5,296,841,058 ","7,428,646,160 ","5,688,296,675 ","4,537,384,457 ","6,021,626,300 ","8,636,311,089 ","7,333,114,710 ","5,663,386,405 ","25,765,481,707 ","25,416,988,442 ","36,811,046,015 ","29,499,738,038 ","58,362,796,473 ","34,081,359,415 ","43,454,943,401 ","39,685,841,398 ","75,298,021,133 ","41,106,867,844 ","49,778,739,595 ","43,757,887,283 ","41,385,872,114 ","34,288,576,520 ","40,272,546,272 ","45,249,447,613 ","35,926,705,405 ","31,787,441,469 ","33,278,755,016 ","50,561,936,755 ","40,337,400,683 ","32,750,884,576 ","42,244,879,613 "
