,(단위 : 원),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누적 기준,제출시점 기준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
순번,계정명,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30
01,매출액,"842,957,205,657 ","1,813,257,894,498 ","2,838,315,106,274 ","3,863,990,044,651 ","916,547,968,014 ","1,921,127,688,014 ","2,852,397,571,231 ","3,782,162,955,964 ","781,696,046,167 ","1,649,616,678,134 ","2,469,794,627,506 ","2,719,563,984,151 ","1,256,453,047,059 ","2,499,945,770,403 ","3,742,915,783,889 ","5,083,631,492,987 ","1,362,496,816,355 ","2,875,170,872,259 ","4,365,159,295,688 ","5,874,899,292,339 ","1,637,578,459,759 ","3,393,460,889,910 ","5,133,586,095,444 ","6,774,793,651,227 ","1,564,942,775,374 ","3,153,287,609,551 ","4,706,012,146,796 ","6,288,442,613,717 ","1,588,371,739,025 ","3,367,099,454,223 ","5,001,307,129,947 ","6,658,762,417,820 ","1,599,305,256,419 ","3,304,569,223,667 ","4,927,401,754,396 "
02,매출원가,"633,636,276,627 ","1,365,513,378,069 ","2,140,758,718,423 ","2,939,064,835,947 ","719,812,113,287 ","1,482,329,810,122 ","2,201,844,285,155 ","2,936,557,694,914 ","616,791,414,510 ","1,282,824,196,484 ","1,917,092,674,418 ","2,080,778,154,377 ","1,007,816,652,886 ","1,986,278,177,004 ","2,991,463,917,884 ","4,041,786,668,156 ","1,061,855,766,520 ","2,227,170,045,834 ","3,370,257,168,343 ","4,548,334,870,339 ","1,253,044,597,274 ","2,594,541,376,510 ","3,976,554,482,061 ","5,289,884,894,107 ","1,251,543,338,762 ","2,493,415,514,046 ","3,716,455,863,537 ","4,959,942,844,934 ","1,228,576,492,332 ","2,576,775,740,122 ","3,772,167,485,678 ","5,028,041,458,944 ","1,204,395,861,118 ","2,472,392,074,170 ","3,678,646,753,714 "
03,매출총이익,"209,320,929,030 ","447,744,516,429 ","697,556,387,851 ","924,925,208,704 ","196,735,854,727 ","438,797,877,892 ","650,553,286,076 ","845,605,261,050 ","164,904,631,657 ","366,792,481,650 ","552,701,953,088 ","638,785,829,774 ","248,636,394,173 ","513,667,593,399 ","751,451,866,005 ","1,041,844,824,831 ","300,641,049,835 ","648,000,826,425 ","994,902,127,345 ","1,326,564,422,000 ","384,533,862,485 ","798,919,513,400 ","1,157,031,613,383 ","1,484,908,757,120 ","313,399,436,612 ","659,872,095,505 ","989,556,283,259 ","1,328,499,768,783 ","359,795,246,693 ","790,323,714,101 ","1,229,139,644,269 ","1,630,720,958,876 ","394,909,395,301 ","832,177,149,497 ","1,248,755,000,682 "
04,판매비와관리비,"138,118,695,833 ","284,508,891,450 ","422,196,447,065 ","595,090,237,504 ","141,240,114,166 ","297,207,410,493 ","432,079,125,989 ","602,080,896,474 ","142,070,141,489 ","290,900,027,446 ","426,924,434,714 ","505,576,307,536 ","228,045,901,113 ","450,161,739,670 ","671,458,568,598 ","907,999,320,805 ","223,287,567,977 ","453,660,111,291 ","680,522,482,625 ","937,794,654,032 ","235,126,092,083 ","485,278,099,409 ","747,010,645,748 ","1,017,247,228,182 ","237,571,687,810 ","493,660,626,818 ","734,915,271,069 ","1,015,969,564,854 ","252,888,207,159 ","542,855,744,531 ","856,343,132,135 ","1,159,602,723,692 ","291,465,554,896 ","588,352,615,218 ","887,666,912,467 "
05,영업이익,"71,202,233,197 ","163,235,624,979 ","275,359,940,786 ","329,834,971,200 ","55,495,740,561 ","141,590,467,399 ","218,474,160,087 ","243,524,364,576 ","22,834,490,168 ","75,892,454,204 ","125,777,518,374 ","133,209,522,238 ","20,590,493,060 ","63,505,853,729 ","79,993,297,407 ","133,845,504,026 ","77,353,481,858 ","194,340,715,134 ","314,379,644,720 ","388,769,767,968 ","149,407,770,402 ","313,641,413,991 ","410,020,967,635 ","467,661,528,938 ","75,827,748,802 ","166,211,468,687 ","254,641,012,190 ","312,530,203,929 ","106,907,039,534 ","247,467,969,570 ","372,796,512,134 ","471,118,235,184 ","103,443,840,405 ","243,824,534,279 ","361,088,088,215 "
06,지분법손익,"-590,579,755 ","-2,903,588,446 ","-5,166,503,276 ","-9,636,873,104 ","7,208,160,929 ","13,544,214,479 ","16,604,207,962 ","16,631,711,225 ","6,900,691,420 ","-4,127,916,906 ","-42,089,606,063 ","-240,890,866,732 ","17,229,038,659 ","24,993,356,474 ","29,437,399,779 ","11,213,434,522 ","7,348,450,505 ","241,571,424,679 ","244,398,369,882 ","191,594,760,466 ","11,768,318,393 ","21,469,238,686 ","21,420,069,359 ","25,053,021,457 ","-14,433,145,668 ","-19,304,862,734 ","-33,798,426,195 ","-200,302,508,287 ","-2,633,100,231 ","63,038,148,217 ","70,216,150,018 ","72,334,833,254 ","6,099,351,127 ","8,883,977,581 ","8,678,955,793 "
07,순금융손익,"-22,973,143,362 ","-15,356,599,990 ","-19,090,724,739 ","-142,645,394,179 ","443,485,725,195 ","-80,754,162,308 ","270,617,593,832 ","-251,362,339,604 ","28,024,346,052 ","-175,656,513,997 ","-293,527,539,490 ","-12,589,744,623 ","-568,180,894,741 ","-92,661,636,327 ","-332,529,387,909 ","314,620,020,735 ","-42,758,624,608 ","164,388,103,646 ","-231,415,996,271 ","-373,141,046,282 ","-77,425,137,362 ","43,322,475,164 ","-353,599,253,904 ","-303,181,552,299 ","-36,760,697,668 ","7,074,857,230 ","-2,300,683,627 ","169,089,678,961 ","523,045,662,621 ","325,237,599,007 ","186,163,729,409 ","-60,460,337,713 ","-50,669,574,461 ","1,078,613,284,391 ","1,442,894,824,408 "
07-01,   금융수익,"58,062,269,243 ","67,961,696,429 ","78,421,601,731 ","290,676,824,164 ","499,529,934,133 ","203,049,535,805 ","422,581,494,839 ","317,187,413,021 ","105,123,250,384 ","116,049,395,528 ","134,149,330,897 ","184,248,795,635 ","123,352,364,021 ","284,881,443,116 ","184,341,485,059 ","758,999,815,768 ","284,939,729,230 ","345,555,049,466 ","260,476,158,918 ","321,136,216,374 ","172,654,131,955 ","322,998,577,821 ","343,656,839,953 ","368,732,734,027 ","194,455,258,193 ","441,750,493,811 ","517,888,771,155 ","723,338,387,403 ","656,804,143,838 ","593,860,768,220 ","566,457,550,093 ","709,372,460,765 ","179,435,717,777 ","1,431,890,745,913 ","1,972,118,650,886 "
